id,created_at,text
1337248895395512320,2020-12-11 04:12:36,its not a knife its a sword
1321653297917222913,2020-10-29 03:21:16,please send me bitcoin
1321490195749896193,2020-10-28 16:33:09,if bitcoin hits k usdtoken i hope that doubles his beard length
1315749539479908352,2020-10-12 20:21:50,if your feed looked like mine you would buy more bitcoin too
1315337715399815169,2020-10-11 17:05:23,rt in light of brifitdances bitcoin rap i must present to you the actual best crypto bangerdigital gold by
1308753257888530432,2020-09-23 13:01:06,rt for example ive made some great bets before but nothing compares to my bitcoin bet in and sizing upslugging percen
1307743539497820160,2020-09-20 18:08:51,i got kicked out of the james joyce class is high school maybe its been long enough for me to read it now
1307740111728115712,2020-09-20 17:55:13,ill definitely try this
1307739182295441408,2020-09-20 17:51:32,whats a speed writing challenge
1265308278528987137,2020-05-26 15:46:16,dm me
1265308182894669824,2020-05-26 15:45:53,dm me
1261364194634420224,2020-05-15 18:33:53,rt okay were doing this tbtc is being deployed to mainnetbuckle up bitcoin ethereum
1235031153129615360,2020-03-04 02:35:47,respect
1225602916603617281,2020-02-07 02:11:20,boston im speaking at harvard with my siblings on venture capital it should be awesome
1210393847676600321,2019-12-27 02:55:55,then they can track me anywhere
1196271726125965313,2019-11-18 03:39:39,buy bitcoin
1174346121696571393,2019-09-18 15:35:08,well before today i would wager that no one had ever associated john mcclane and venture capital today i did
1160234294092021760,2019-08-10 16:59:46,you are so like ross from friends
1153517710308851714,2019-07-23 04:10:28,rt how much did it cost to invent bitcoinone satoshi
1148308201374248960,2019-07-08 19:09:44,rt if libra exists will it boost the adoption of bitcoinlibrajuly
1146800774791356416,2019-07-04 15:19:45,happy to hang bitcoin
1139170096679489536,2019-06-13 13:58:10,rt would you switch airlines to get rewarded in bitcoin rather than airline miles bitcoin rewards
1125487786843181056,2019-05-06 19:49:33,rt my son adam draper is a fount of bitcoin knowledge drapervc boostvc
1113254961784057864,2019-04-03 01:40:40,physical
1113107838937649153,2019-04-02 15:56:04,well if it even lands at m great headsets flooding the market our market triples y
1113104079968821248,2019-04-02 15:41:07,m active today selling m quests and indexs will more than make the m number
1112955224308604932,2019-04-02 05:49:37,this year wider adoption m active users snow crash in
1112228620393537536,2019-03-31 05:42:21,
