id,created_at,text
1266360545076224000,2020-05-29 13:27:36,ive been to many protests police are usually very cautious in interactions with journalists especial
1246224207198990336,2020-04-03 23:52:59,i hope thats a joke thats a lot of btc
1222578131745329153,2020-01-29 17:51:55,sorry but why should any person or organization be prevented from shari
1222554772479397893,2020-01-29 16:19:06,i helped write the doc and its geared to inform people building on top of open p
1177000621989388288,2019-09-25 23:23:10,the user stories just keep coming
1166852225144164352,2019-08-28 23:17:04,it is aubrey plazatier awesomeness but not her alas
1155795417189244929,2019-07-29 11:01:15,my mom used to use me as a leg press and youre right on all counts also it was mad fun pretending to be an airplane
1151593165020942336,2019-07-17 20:43:00,i dont know what youre on about but i think bitcoin is great chillax
1139672021892313090,2019-06-14 23:12:38,rt this girl taking selfies while this guy talks about bitcoin is like peak
1100063328741801984,2019-02-25 16:01:50,they are the largest opener amp custodian of us retail accounts holding bitcoin and some other coins fo
1052231409782415361,2018-10-16 16:14:52,ps heres the quote i had provided whether or not bitcoin maximalists think its a good idea companies are tryin
1027274983851155457,2018-08-08 19:26:56,rt announcing days of your fave crypto people and no hype talks by
1021519806921629696,2018-07-23 22:17:55,awesome thank you
1018870978535985153,2018-07-16 14:52:25,in your future will androids dream of electric sheep
1018861320287019011,2018-07-16 14:14:02,here you go
1018860681972633602,2018-07-16 14:11:30,no its not cypherpunks advocate for strong cryptography cyberpunks are largely a fictionalized
