id,created_at,text
1344484189282811906,2020-12-31 03:23:04,baja motor institute and bitcoin magazine had some stuff like that from many years ago from a cryptol
1344461506029658112,2020-12-31 01:52:56,ive been a bitcoin proselytizer for almost half a decade now but even my thinking is changing i dont think i e
1344449394502987777,2020-12-31 01:04:48,again bitcoin is owned as private keys which are described as par
1344441689516240897,2020-12-31 00:34:11,of course it isownership of bitcoin is ownership of an encrypted p
1344303718016167940,2020-12-30 15:25:56,the bitcoin citadels will be much larger and more secure but the ethereum citadels will be a lot more fun and serv
1343915783966097408,2020-12-29 13:44:26,you can use bitcoin on a computer ive just been exchanging paper wallets with people
1342546869562593280,2020-12-25 19:04:51,lol thats not at all what i said i said even bitcoiners are donating fiat not bitcoin
1342464805932830720,2020-12-25 13:38:46,a to regulators and legislators to enact smart rules so that most people can globally can use bitcoin without r
1342464804972355584,2020-12-25 13:38:45,we used to educate and promote bitcoin to potential users and buyers to help bitcoin succeed that train has left
1341028458005196800,2020-12-21 14:31:14,sat will equal at m bitcoin
1340990327109414914,2020-12-21 11:59:43,this is like saying gox exchange hack showed you shouldnt buy bitcoinit takes less additional effor
1340741055323508736,2020-12-20 19:29:12,of coursethats unrelated to your claim as a bitcoin user i can simply choose to use bitcoin w
1340653145937088515,2020-12-20 13:39:52,yes but only for withdrawals from centralized exchanges if bitcoin is being used as moneynot
1340009297510608897,2020-12-18 19:01:27,its certainly possible that we get a contentious fork with two competing bitcoins r
1339959001321226240,2020-12-18 15:41:35,stop buying bitcoin kenji cant drink any more seriously though some consolidation or mild retracement would b
1339943881065062401,2020-12-18 14:41:30,pacino wasnt using a rolled up bitcoin
1339925851996078081,2020-12-18 13:29:52,assets are worth what you can sell them for theres b of bitcoin sold and bought daily at current p
1339921393924923394,2020-12-18 13:12:09,isnt trading bitcoin worse than trading alts if youre probitcoin in this way you want someone
1339752551537905665,2020-12-18 02:01:14,dont know i like the ethos i worry that as anonymizing tools for bitcoin improve monero make
1339418392730759170,2020-12-17 03:53:24,i think this cycle will look very roughly similar to past bitcoin cycles i could be wrong
1339368811670118400,2020-12-17 00:36:23,im an investor im not pretending i built bitcoin a good idea for an investor is a good investment
1339365908276383744,2020-12-17 00:24:51,theres only million bitcoin i dont even have figs
1339313244171886593,2020-12-16 20:55:35,imo tether was just one of a half dozen large fiat onramps to bitcoin at least a few of th
1339305067128696833,2020-12-16 20:23:05,amy let me ask this if bitcoiners trick savvy financiers pensions and billionaires into buying btc a
1339261392495501315,2020-12-16 17:29:32,i have one really good idea a decade not sure whenif ill discover the next bitcoin level investment
1338947211330252806,2020-12-15 20:41:06,this is the equivalent to btc retaking the gox high in early retaking old highs doesnt gen
1338550989541040130,2020-12-14 18:26:39,back in early there were maybe a half dozen people publicly providing decent bitcoin commentary through a tra
1338114646809735170,2020-12-13 13:32:47,soi should sell my socks for bitcoin but wont my feet get cold and chaffed
1338109882701115393,2020-12-13 13:13:51,those are just a scam to get bitcoiners to spend their coin
1337905931380731915,2020-12-12 23:43:25,the criteria was genuine value being created on nonbitcoin platforms noting that value was
1337904906611650566,2020-12-12 23:39:21,why would that be a counter argument the success of a bitcoin based project doesnt negate the success
1337903261584646145,2020-12-12 23:32:49,i debated at length in with maximalists whether any project outside of bitcoin would ever gain meaningf
1337536900865937408,2020-12-11 23:17:02,i wasnt referencing altcoin trading fees but even bitcoin trading fees if everyone j
1337481145995440128,2020-12-11 19:35:29,overall financial exposure peter is presumably already heavily long bitcoin in h
1337478151245606914,2020-12-11 19:23:35,my answer yes bitcoin is riskier than gold in terms of chance of absolute collapse it also has x
1337420687305289748,2020-12-11 15:35:14,dont overpromise a lot of the cries of scam targeted at bitcoin at ethereum etc are based on inflated mar
1337391477631102977,2020-12-11 13:39:10,my feed had separate articles calling bitcoiners and anyon
1337242154251546629,2020-12-11 03:45:48,neither would kraken nor almost any other bitcoin or crypto related business
1335931474248421386,2020-12-07 12:57:38,roubini does the same chart just including bitcoin in the mix if yo
1335671836156321800,2020-12-06 19:45:55,the question of bitcoins security model is imo an unknown unknown by the time it m
1334989771622518785,2020-12-04 22:35:39,i like that still need to address the followup question of so if i have bitcoin i get a vote
1334988312260595714,2020-12-04 22:29:51,in the event that there was some reason that bitcoin stakeholders near unanimously felt increasing the inflation
1334987950711590913,2020-12-04 22:28:24,these stakeholders correctly believe that increasing the inflation rate and ultimate supply of bitcoins woul
1334987332634730498,2020-12-04 22:25:57,when someone makes a meaningful change to the bitcoin code we get multiple networks with bitcoin owners now ow
1334986664855412739,2020-12-04 22:23:18,anyone can change the bitcoin code they run to change anything about it doing so immediately pushes them off t
1334986271702331392,2020-12-04 22:21:44,the most frequent question asked by new investors exploring bitcoin why should we be confident in the m coin li
1334985422737436685,2020-12-04 22:18:22,ie you can wrap bitcoins and move them on the ethereum network for exam
1334517770776686599,2020-12-03 15:20:05,could the endowment just custody the bitcoin itself how lets say b of bitcoin is on a hardware wallet
1334191260421271553,2020-12-02 17:42:39,please ask the board of bitcoin to consider doing a share split at the next quarterly meeting
1334187759616073733,2020-12-02 17:28:44,imo something like millibitcoins is the ideal unit but a bit of a mouthfull
1333783305314054145,2020-12-01 14:41:35,here was my take with that same friend in i think bitcoins are in the final stage of a classical bubble
1333471356030218246,2020-11-30 18:02:00,agree that its a hyperbolic brush to paint all bitcoiners or cryptocurrency investors
1333195898516627457,2020-11-29 23:47:26,i forget what it was called bitcoin diamond or something there was a pos fork of bitcoin i
1332323891289657346,2020-11-27 14:02:23,sureso censorship resistance for individuals who canwill run a
1332059606223368197,2020-11-26 20:32:13,i have less of a feel for defi holders almost unrelated to bitcoin holders points of overlap account
1332011638015266818,2020-11-26 17:21:36,algos are but humans arent a lot of traders away from desk for thanksgiving and dont want
1331960878640623617,2020-11-26 13:59:54,china bans bitcoin in very similar dynamics to this treasury threat in that market wasnt massively overle
1331723038052798465,2020-11-25 22:14:49,a few pieces to this the first same as the bitcoin security model that if the assets btc or ar
1331255390902874115,2020-11-24 15:16:33,its things like this that test my conviction as a bitcoin bull gotta keep reminding myself that its not the top
1329477906414915595,2020-11-19 17:33:28,thats what roubini says about people peddling bitcoin youve been proven wrong fo
1329445699637927941,2020-11-19 15:25:29,for a few other reasons if a critical bug was found in bitcoin code people will distrust other protocols wit
1328746548952522755,2020-11-17 17:07:18,hi we chatted about bitcoin for maybe minutes at the greenwich economic forum
1328721965486665728,2020-11-17 15:29:37,i was eager to cheerlead bitcoin in the bear market frankly now i feel no compulsion this was me defendingadvo
1328720326650433536,2020-11-17 15:23:06,most of the innovation will happen via higher layers imo with atomic swaps every protocol is a bitcoin layer
1328704253272141824,2020-11-17 14:19:14,yes thats how a fee auction market works the solution for general scalability will be moving bitcoin o
1328699376726839297,2020-11-17 13:59:52,before discussions of bitcoin were filled with engineering and cryptography concepts even in talks to wall s
1328698032762855425,2020-11-17 13:54:31,exactly half of the volume was buying and half was selling for real though it was mine
1328691194847694850,2020-11-17 13:27:21,youre right my mistake
1327648841206738944,2020-11-14 16:25:24,thats not why is important the vast vast majority of holders and users of bitcoin and e
1327110554180268032,2020-11-13 04:46:27,none of these analogies are perfect geth isnt canonical the way bitcoin core is but it does have mar
1327110242057007106,2020-11-13 04:45:12,a better analogy is to other bitcoin clients if someone using bitcoin knots or bitcoind has an accidental
1327109923386372097,2020-11-13 04:43:56,people have routinely had problems transferring bitcoin on ln we dont typically say that bitcoin transact
1327107626598096897,2020-11-13 04:34:49,sure but that pool is competing against total hashpower if majority hashpower wants to it can orphan
1326956295191212034,2020-11-12 18:33:29,bitcoin could probably get to a value of at least k maybe m like a supergold
1326913708224811008,2020-11-12 15:44:15,stablecoins play that role far better than bitcoin for the foreseeable future if you want to simply tr
1326576277613125634,2020-11-11 17:23:25,you dont think ethereum can functionally transfer bitcoin thats all layer means in this context
1326553778191888393,2020-11-11 15:54:01,ethereum transfers had no problemsthis is like saying that bitcoin went down when a lightning transfer fai
1325453930298535938,2020-11-08 15:03:37,yes all this was proved at the overwhelming four seasons landscaping press conference
1324392582361866240,2020-11-05 16:46:12,an even more complex topic is if a state level attack on the bitcoin network itself could succeed and
1324386879500886016,2020-11-05 16:23:32,with all the price hype ill take a moment to reflect on why i want bitcoin to succeed bitcoin is freedom free
1324008561517711360,2020-11-04 15:20:14,as for politicians and bureaucrats for many its probably this when in power those in power don
1324008359889145856,2020-11-04 15:19:26,for reasons i dont fully understand a lot of election experts including polisci professors who clai
1321925705735655424,2020-10-29 21:23:43,a major part of my mental model of bitcoin adoption was seeing fund managers and endowment professionals persona
1321548269076520963,2020-10-28 20:23:55,both bitcoin and ethereum can be hard forked in
1321260423849586690,2020-10-28 01:20:07,againpeople say the exact same about bitcoin
1321243320899801089,2020-10-28 00:12:09,again same answer as to critics of bitcoin b
1321225699370455043,2020-10-27 23:02:08,what do you think the bitcoin protocol is as distinguished from the database
1318952288803848193,2020-10-21 16:28:25,its been years will ethereum ultimately fail will bitcoin who knows but anyone looking
1318658595383279618,2020-10-20 21:01:23,squirrels can smell bitcoin and gravitate to people who own a lot
