id,created_at,text
1343257726802128897,2020-12-27 18:09:33,must say im amused by all the surprised bitcoin commentary some of us have been expecting this for a decade
1284666591104454657,2020-07-19 01:49:17,rt openais gpt may be the biggest thing since bitcoin
1225217394978820099,2020-02-06 00:39:25,rt today were one step closer to bringing bitcoin to a billion peoplelightning is making this a reality cant believe
1178776590710427655,2019-09-30 21:00:14,the people who dm me asking me to send them bitcoin and call me sir
1174501551337103366,2019-09-19 01:52:45,in this kind of a macro environment holding bitcoin is a hedge against the failings of fiat currencies
1174314274753265664,2019-09-18 13:28:35,rt were joined by sharon goldberg of which provides cryptocurrency users a way to securely trade on
1166081360295006208,2019-08-26 20:13:55,developer expectations are rightly much higher today than they were when bitcoin or even ethereum launched pa
1166081358554390528,2019-08-26 20:13:55,if syphoning off bitcoin only netted you a few hundred bucks it would hardly be worth the trouble this let bit
1166081356343992322,2019-08-26 20:13:54,while wed all like to think that bitcoin came into the world fully formed perfect and entirely bugless that
1164285670673620992,2019-08-21 21:18:29,so in sum i believe claims that alts are dead and bitcoin alone will make it are nonsensical i am most defin
1164285593322491906,2019-08-21 21:18:11,the general crypto narrative seems to be drifting back to bitcoin maximalism so i wanted to share a few thought
1161744343218171909,2019-08-14 21:00:10,oh wait what i thought the story everyones been pushing is that bitcoin and other asset classes were inversely correlated
1151583490628038661,2019-07-17 20:04:34,i was positive on libra as an onramp for crypto i hadnt fully considered that it would push bitcoin into the arm
1143981558048669696,2019-06-26 20:37:12,so distracted by bitcoin that i just spent seconds looking for airpods that were in my ears
1143947796111929345,2019-06-26 18:23:02,lol bitcoin up in hours with no obvious catalyst will never be able to work in any other industry way too boring
1141075783533899778,2019-06-18 20:10:41,there is literally no universe in which that group of orgs attacks btc
1141026836710866948,2019-06-18 16:56:11,no i dont think libra is a threat to bitcoin what it means for things like ripple and stellar however is a different story
1125994043538722816,2019-05-08 05:21:14,uhhhh thats not how bitcoin works
1116341680943378433,2019-04-11 14:06:12,so yeah agree
1116341632973123585,2019-04-11 14:06:00,actually never mind i disagree with myself because even if the mkr holder end
1116341217288228864,2019-04-11 14:04:21,well across the board they do increase the cost of borrow there may be edge c
1116339534361395201,2019-04-11 13:57:40,well yes thats basically the whole point of hiking it putting the peg back
1116336945037291526,2019-04-11 13:47:22,ok but have you considered other projects will need to use dai could they act as sinks
1116333055080390656,2019-04-11 13:31:55,yeah agreed this will be even more true once stability fee stops accruing to peth
1116331962975825921,2019-04-11 13:27:35,hmm yeah but its hard to assume that cdp folks also own mkr and in what quantity very
1116191375664529408,2019-04-11 04:08:56,hmmm yes and no the point is that regardless this is also pushing up the compound apr which means
1103380587467948032,2019-03-06 19:43:26,wait i want to be on this show haha
1103380493888823297,2019-03-06 19:43:04,yah i mean it pretty clearly boils down to we need to keep the peg and right now its too low
1103379633196728320,2019-03-06 19:39:39,haha much appreciated wow it is such an uneven vote crazy
1103378847775551488,2019-03-06 19:36:31,i wrote that in my original tweet but then cut it due to character limit lol
1095809863433650176,2019-02-13 22:20:05,im vegetarian
1091189622917554176,2019-02-01 04:20:54,for the last time there is no bitcoin better than bitcoin
1068951282872799232,2018-12-01 19:33:40,the fact that miners are shutting down and difficulty is decreasing is a feature not a bug of bitcoins design
1067824746040082432,2018-11-28 16:57:13,im looking for the best amp funniest bitcoin crypto cartoons preferably not about it being a scam what are your favorites
1066456154698600448,2018-11-24 22:18:55,oy vey just broke through k good thing a bitcoin is still a bitcoin
1063121262011207686,2018-11-15 17:27:15,the folks shouting bitcoin is dead are full of shit but so are the people screaming yay weak hands are
1059470636022751232,2018-11-05 15:40:58,i had a fun conversation with on his podcast recently covering everything from bitcoin to books to b
1031751548584378368,2018-08-21 03:55:12,if youre all so concerned about bitcoins environmental impact perhaps youd also like to become vegetarianyeah
1027911700023001093,2018-08-10 13:37:01,buy bitcoin
1026931355572166656,2018-08-07 20:41:29,somebody asked me today what made bitcoin click for me a little over five years ago it was the weirdness of it i
1025517110997340160,2018-08-03 23:01:47,thats only true if i believe its better to hold euros or gold than btc which i dont
1025475328377061377,2018-08-03 20:15:45,if i use it then i have to buy more to replace the amount im spending why use btc for somethi
1025444519225913344,2018-08-03 18:13:19,i cant fathom why you would want to use bitcoin to buy coffee thats not because i because i dont love bitcoin
999109189073960960,2018-05-23 02:06:07,go home bloomberg youre drunkdefinitely not the first bitcoin transaction ever more like th most expensive p
997606045982904321,2018-05-18 22:33:10,im sorry could you say that again i cant hear your argument for why bitcoin is the devil based on its environme
991413457386848256,2018-05-01 20:26:02,oh boy am i glad i sold the little bit of snap i had in favor of bitcoin
988838655019175937,2018-04-24 17:54:41,rt hey female developers want to build the future of bitcoin and cryptocurrency and i organized scholarships fo
984888845542965248,2018-04-13 20:19:33,big congrats to one of my all time bitcoin favorites hope you take some well deserved time off a
981666019486793728,2018-04-04 22:53:12,i just reported it thanks
981653289312792576,2018-04-04 22:02:37,haaaa yeah no believe me nobody is quoting soros to me
978474589780025344,2018-03-27 03:31:36,lol i would bet every bitcoin i own that his luck was very deliberate agree w on this one for sure
974375517552955392,2018-03-15 20:03:21,rt after countless late nights lines of code bug fixes and memeswe finally released lightning for bitcoin mainnet
973317030211338240,2018-03-12 21:57:18,thoughtful review of and outlook for bitcoin amp broader crypto by
