id,created_at,text
1344408654611681288,2020-12-30 22:22:55,rt bitcoin
1344323577697370113,2020-12-30 16:44:51,i am so happy for you youve been negotiating to be paid in bitcoin for a whileand you made it happen
1342234945557843968,2020-12-24 22:25:23,rt hfsp entering bitcoin lexicon made it so maybe a shorter form of the gem satoshi quote if you dont believe
1340465109848662017,2020-12-20 01:12:41,time to start registering for backup platforms that dont censor bitcoin just in case twitter ever censors
1339320895525941248,2020-12-16 21:25:59,rt hey folks we just bought a billion dollars worth of bitcoin and our extensive analysis shows that its worth x the current pr
1339315592495472642,2020-12-16 21:04:55,rt there are two kinds of people those who already own bitcoin and those who will own it at a higher price
1339296973040467970,2020-12-16 19:50:55,yes thats how wyoming spdis are designed crypto intermediaries excl spdis do leverage bitcoin b
1339278609710661632,2020-12-16 18:37:57,rt bitcoin ath
1339245440944861184,2020-12-16 16:26:09,rt i guess today is as good a day as any for it bitcoin
1338929396128776193,2020-12-15 19:30:18,rt chart update bitcoin sf time series only model btc price red dots moves nicely towards model line white line
1338682884836605952,2020-12-15 03:10:45,rehypothecation amp bitcoin dont mix rehypothecation bitcoin leveraged gsibs especially dont mix
1338682883687366656,2020-12-15 03:10:45,imho theres only one way to mix bitcoin amp leverage in a compatible way that doesnt pose financial stability
1338598464154787840,2020-12-14 21:35:18,yep wyoming has already enacted a law allowing its insurance compani
1338537138363584513,2020-12-14 17:31:37,rt bitcoin looking strong rsi here we come
1337175948530130944,2020-12-10 23:22:44,its not a big mistake amp his basic point is rightits good for bitcoin its not evidence
1337148624174632960,2020-12-10 21:34:09,yepinteresting note life insurance cos dont need fed approval to invest in bitcoin tho theyre sta
1336685403823206402,2020-12-09 14:53:29,rt i just published worlds collide bond issuance and bitcoin buying
1336339138824470528,2020-12-08 15:57:33,some thoughts about crypto in bitcoin
1336112351032954882,2020-12-08 00:56:22,rt apparently there is some kind of bitcoin buying race between microstrategy and game on
1336112235257589761,2020-12-08 00:55:55,rt reminder to thank the person who introduced you to bitcoin
1335418704822030337,2020-12-06 03:00:04,how did i miss this article welcome back to bitcoin you helped me figure it out in we
1335283754466758662,2020-12-05 18:03:50,rt great podcast with on bitcoin valuation frameworks the analysis planb has done is very i
1333798018831720458,2020-12-01 15:40:03,rt my fellow bitcoiners the bull market is upon us like clockwork november red dot closed above all other red dots
1332785051726123009,2020-11-28 20:34:52,rt dips exist to transfer bitcoin from weak hands to stronger hands
1329904478359744512,2020-11-20 21:48:30,supply shortage in bitcoin is v real right now watch out things can happen in liquidity crunches intermed
1329138715260719105,2020-11-18 19:05:38,rt bitcoin k big difference with is that most btc sold today will never see the daylight again they disappear i
1327708946497380353,2020-11-14 20:24:15,rt i dont think bitcoin will be used to buy a cup of coffee s said but for highvalue transfers the
1326532993884712960,2020-11-11 14:31:26,rt bitcoin monthly rsigt momentum is building
1326527624210915328,2020-11-11 14:10:05,rt so individual x of the billion dollar bitcoin forfeiture had a lawyer and apparently good privatekey management pr
1325600378424090624,2020-11-09 00:45:33,whats fascinating abt the collapse of intermediaries in bitcoin is that theyve usually
1325598153517764609,2020-11-09 00:36:42,rt go ahead lend out your bitcoin this is the risk you face
1325597371393331200,2020-11-09 00:33:36,this is what can happen to a fractionalreserve bitcoin lenderbc theres no lenderofl
1325578824134742017,2020-11-08 23:19:54,
1325541521756622848,2020-11-08 20:51:40,rt people ask if i still believe in my model to be clear i have no doubt whatsoever that bitcoin sfx is correct and b
1324392340107112454,2020-11-05 16:45:14,
1324384106843529216,2020-11-05 16:12:31,rt bitcoin k
1324357842183155712,2020-11-05 14:28:09,congrats nik i cant wait to read this bitcoin
1323021518755057664,2020-11-01 21:58:05,rt a huge congratulations this is exactly what bitcoin wanted a reserved bank that can custody
1321575518127480833,2020-10-28 22:12:11,rt breaking avanti unanimously wins bitcoin banking charter by
1321295145099251712,2020-10-28 03:38:05,again i cant stress enuf how wyoming has helped pave way for us institutional investors to invest in bitcoin
1319700938836176896,2020-10-23 18:03:17,as you read this rule i suggest you consider it in the context of the govt will ban bitcoin narrative and as
1319659271911428097,2020-10-23 15:17:43,rt bitcoin
1319288174464565253,2020-10-22 14:43:06,yep bitcoin is already being rehypothecated aka fractionally reserved good newstheres no lender
1314192400026279936,2020-10-08 13:14:19,rt today announced that it has purchased m in bitcoin square believes cryptocurrency is an instrument of economic e
1311754002028277761,2020-10-01 19:44:59,rt today like every day is a good day to withdraw your bitcoin from exchanges
1310232324622098432,2020-09-27 14:58:23,here is replay of stunning speech abt bitcoin made by at yest w intro by
1309903814271492097,2020-09-26 17:13:00,whoa what a speech by almost certainly about to become a us senator re why bitcoin is a store of
1309901429830639617,2020-09-26 17:03:32,listen live to who is very likely to be wyomings next us senator amp the most probitcoin us senat
1308033003231215619,2020-09-21 13:19:04,rt beautiful to see bitcoin network effect keeping btc on the same stockflowvalue track as other monetary commodities l
1306189480517271553,2020-09-16 11:13:34,rt do you think it is pure coincidence that bitcoins historical sfmarketvalue path orange dots aligns perfectly with
1305886344875393024,2020-09-15 15:09:01,rt on september microstrategy completed its acquisition of additional bitcoins at an aggregate purchase p
1304041818720333824,2020-09-10 12:59:32,rt twitter ceo tells bitcoin is still the most viable internetnative currency
1301994046840164352,2020-09-04 21:22:25,rt scammers want your bitcoin dont give it to them submit a report to the scamdb to raise awareness or if you suspect a
1300441676134006784,2020-08-31 14:33:51,rt broke bitcoin mining is boiling the oceanswoke bitcoin mining is reducing global warming
1297639140473704448,2020-08-23 20:57:34,rt im always up for talking bitcoin and wyoming
1297521249652838401,2020-08-23 13:09:07,plus you have all the direct messaging history of these bitcoin scam accounts so you k
1297519083504537602,2020-08-23 13:00:30,hey yet again the same lookalike impersonator handle is reused by a bitcoin scammer why
1296438213553389569,2020-08-20 13:25:31,rt heirarchy of feelings towards bitcoin some constituents own bitcoin your children or family own bitcoin yo
1296116358027988993,2020-08-19 16:06:35,rt congrats if youre in wyoming be sure to help seat a bitcoiner in the us senate
1296095118538072064,2020-08-19 14:42:11,huge congrats to who will be the most bitcoinfriendly us senatorby far she cleaned up in a co
1295078165497417728,2020-08-16 19:21:10,rt rd red dot currently above nd red dot bitcoin july close and above st red dot june close
1294464234667905024,2020-08-15 02:41:38,rt shes also a dedicated grandmother long time bitcoin advocate and taught me how to gut a trout wyoming through and throug
