id,created_at,text
1344508044152082432,2020-12-31 04:57:52,someday we will stop measuring the value of bitcoin or any crypto in our local fiat that will be the price this ultimately leads to
1343951185552793602,2020-12-29 16:05:06,we dont even have to do any of those things for btc to hit k
1343275057666281477,2020-12-27 19:18:25,i still feel bitcoin is way undervalued
1342862413671100416,2020-12-26 15:58:43,almost years ago i discovered bitcoin and made a conscious decision to make it my lifes work i had a vision t
1342852190445182976,2020-12-26 15:18:05,happy saturday to everyone bitcoin at k and gobucs are going all the way this year
1341424906609844228,2020-12-22 16:46:34,youll enjoy it maybe they will finally put bitcoin in their markets section
1340652421643644929,2020-12-20 13:37:00,bitcoin is the antithesis of money printing sound money with a fixed supply that nobody controls
1338975763731767297,2020-12-15 22:34:33,when you taste freedom when you can control your futurewhen you finally understand bitcoin you never wanna give it back
1338246162420281345,2020-12-13 22:15:23,thank you thank you thank you i love you all so much bitcoin and crypto is freeing us all
1338110201816358913,2020-12-13 13:15:07,the year was today and hundreds of other bitcoiners descended on buenos aires f
1337817445021741061,2020-12-12 17:51:48,usually at conferences local dealers and collectors meetup we had a bitcoin m
1337806570906906627,2020-12-12 17:08:36,i have a router that mined bitcoin
1333791794979487748,2020-12-01 15:15:19,it is kinda silly to be honest buying our home is the only better decision ive made other than buying bitcoin
1333790446217097216,2020-12-01 15:09:57,people who are starting families are changing the conversations from being first time homeowners to first time bitcoin owners
1333515487112798208,2020-11-30 20:57:22,all governments fiservs and corporations will soon be mining bitcoin to guarantee their own supply
1332002276991512576,2020-11-26 16:44:24,my mother in law hasnt sold bitcoin since diehard hodlers here
1331309795236843528,2020-11-24 18:52:44,if bitcoin breaks k on my birthday tomorrow thatll be verrryyy nicceeeeee
1331241482007752706,2020-11-24 14:21:17,thank you satoshi and mostly thank you to the early bitcoin chat room members who were nice to this kid from brooklyn
1330959242212372484,2020-11-23 19:39:46,if i could sell bitcoin into a perpetual quality of life increase i would
1330956633502068736,2020-11-23 19:29:24,what do you sell into every other asset i could think of except for real estat
1330926202358525954,2020-11-23 17:28:28,the bitcoin blockchain is not only larger and more secure than paypals infrastructure it also deleverages and re
