id,created_at,text
1344496228801810435,2020-12-31 04:10:55,nio now accepts bitcoin as payment wen tesla
1344280948611796994,2020-12-30 13:55:28,wen crypto baby mai
1344151897410658304,2020-12-30 05:22:40,from wsj this made bitcoin essentially a hedge against the dollar its interesting to how the backbone of walls
1341799617680220160,2020-12-23 17:35:32,that imaginary line sir
1334957406778867714,2020-12-04 20:27:02,and he compeletely missed out the entire giga shitcoin alpha too after smh
1334285063052148737,2020-12-02 23:55:23,being a chinese i have no freaking idea what this great buy wall metaphor is care to expl
1330220941092265986,2020-11-21 18:46:01,me planning to go to wuhan for a big blockchain summit held by in abt weeks and hang out with friend
1314244560797659137,2020-10-08 16:41:35,rt today announced that it has purchased m in bitcoin square believes cryptocurrency is an instrument of economic e
1305310497219047424,2020-09-14 01:00:48,very unlike here on ct that farmers are mostly defietherum native most of my farming buddies are bitcoiners like
1304480028239867904,2020-09-11 18:00:49,rt trams were first installed years ago in hong kong first bitcoin atm in the world was also in hk
1303314104883400704,2020-09-08 12:47:51,ya for now sure we all know that so i dont expect bitcoin being noncorrelated tho i hope so also the
1303313281713467392,2020-09-08 12:44:35,rt its not negligible k eth is actually pretty huge and would cause a disaster if dumped on ma
1303292695293566977,2020-09-08 11:22:47,its not the root of early bitcoin meme but that defeats the purpose of entire defismart contract mov
1302981055805177856,2020-09-07 14:44:26,ser but defi is always rainbow and unicorns
1302976355961729031,2020-09-07 14:25:46,ya i think its near the top that the biggest bear case for eth imo if couples with a few more de
1302946468928471041,2020-09-07 12:27:00,the best way to trade trx is never taas this thing got too much front running its following jus
1302945652876259328,2020-09-07 12:23:45,so now im confirmed post nuts syndrome its actually a kinda of protective mechanism both phys
1302944730771152899,2020-09-07 12:20:06,just google what post nut syndrome is tweeted similar things a few days ago when took pro
1302570796011802626,2020-09-06 11:34:13,over colleterallized does give some level of protection but that depends on whether t
1301298232245411845,2020-09-02 23:17:30,a few top bitcoin mining pools started their own vault on a custodial way to help bitcoin miners harvest defi miner
1297258158839042048,2020-08-22 19:43:41,rt i never liked steem and im sure many bitcoiners would prefer to dismiss this story as uninteresting shitcoiner nonsense but tr
1296504503215312899,2020-08-20 17:48:56,there is also a pun among chinese bitcoiner as its a very poetic pun which is hard to translate
1295991673097318401,2020-08-19 07:51:07,wrapped bitcoin is not sex with a condom is sex with a dildo but you know when ppl quarantine alone theyve got v
1295989827616178177,2020-08-19 07:43:47,wrapping bitcoin is not sex with a condom is sex with dildo but if that can give you orgasm it works
1290320310349082624,2020-08-03 16:15:09,bitcoiners value is donominated by btc hence looking for bitcoin donaminated alpha is nothing to be ashamed from
1287952247029022720,2020-07-28 03:25:19,bitcoin investors have been doing it for years
1286705808596590592,2020-07-24 16:52:25,being a shitcoin minimalist minimize in shitcoin position but instead most bitcoiner knows how to make shitcoi
1284432804898459648,2020-07-18 10:20:18,rt
1284105379366895616,2020-07-17 12:39:14,was planning for japan visit this summer now has been on held forever cant wait see you soon mai
1281615584556249089,2020-07-10 15:45:41,code is baked does not matter who decide just like the nuke box
1280410343513051136,2020-07-07 07:56:29,the infighting is coming too soon within hr againthe schrdingers bitmain it is
1280408592638545921,2020-07-07 07:49:31,hmmm whos its investor maybe should flag to them first
1280341275141476359,2020-07-07 03:22:02,can we officially congrats micree now not sure jihan has any room to maneuver this time
1275740743823310848,2020-06-24 10:41:10,
1268554235886497792,2020-06-04 14:44:33,rt staff at bitcoin miner manufacturer are being forced to choose between its two cofounders as their longrunning
1267642048569434113,2020-06-02 02:19:50,isnt bitcoin built for all these moments k is not worth mentioning looking back in years
1266772233218740224,2020-05-30 16:43:30,rt in case you missed it yesterday goldman published a research piece on inflation gold and bitcoindeep breaths
1266409432646217730,2020-05-29 16:41:52,ya it was much better years ago google
1265642994176155656,2020-05-27 13:56:18,loomdart has been chatting with a fishing botscammer obviously im been offline for quite a while
1261366993409568769,2020-05-15 18:45:00,rt i dont understand bitcoin please explain it to me
1260769242879717376,2020-05-14 03:09:46,rt bitcoin
1258706497581707265,2020-05-08 10:33:09,real og with real skin in the game most respected and underrated bitcoiner on earth a dedi
1251772827193053184,2020-04-19 07:21:13,rt latest appears to have lost control of million in bitcoin btc and ether eth held in its decentralized l
1251593724208877569,2020-04-18 19:29:31,oh shit its k btc not k wtf but hard to validate the actual number tho unless you
1251590495299465217,2020-04-18 19:16:42,it generates unique add for you to send that btc for contract confirmation
1240519666486743040,2020-03-19 06:05:10,in current macro only decoupling will makes bitcoin attractive to whoever still get cash in hand for investmen
1240236799869378560,2020-03-18 11:21:10,wow amazing bilingual job of my first zoom conf in chinese btc is the chinese bitcoin media ha
1236701033348222976,2020-03-08 17:11:17,rt icymi finding sustainable funding for bitcoin developers was the biggest challenge facing the ecosystem in thats why
1236580335564886019,2020-03-08 09:11:41,reading squares investor letter found this side note where they explained why deducting bitcoin revenue bet
1236019432754798593,2020-03-06 20:02:51,lets get the vr worldwide halving party started as a preparty to please coo
1233211269613670400,2020-02-28 02:04:13,facebook canceled f this year in sf due to covid concern any possibl
1231016507733241856,2020-02-22 00:43:01,
1227488896214171648,2020-02-12 07:05:33,rt bitcoin will feature a diverse group of talented people all taking the stage to discuss one thing bitcoin sp
