id,created_at,text
1343153087415017472,2020-12-27 11:13:45,bitcoin passe les dollars what a ride
1328759035097718786,2020-11-17 17:56:55,when i tweeted this bitcoin was going down in flames around i was super bullish at the time despite the m
1243112482077650944,2020-03-26 09:48:06,bitcoin
1240369095998144523,2020-03-18 20:06:52,resilience by designbitcoin ledger
1238526482491858945,2020-03-13 18:04:58,rt this is the first time in a while ive felt like buying bitcoin that drop was too much panic and too little reason
1233058681211772928,2020-02-27 15:57:53,trs heureux de rendre visite lquipe de que jaccompagne depuis le dbut spot rvolutionne lex
1230959292498563072,2020-02-21 20:55:40,quel plaisir de dner dans un bon restaurant et de dcouvrir quil accepte le bitcoin le bien aller aubignys
1228004320551079947,2020-02-13 17:13:39,vierzon entre la sologne valley et le silicon berry bitcoin
1227341255341957125,2020-02-11 21:18:52,si vous voulez vous faire plaisir avec un sachez que vous pouvez aussi les acheter en bitcoins
1224674368434921473,2020-02-04 12:41:37,ils nauront pas le choix je crois bitcoin
1209450691070218240,2019-12-24 12:28:09,rt et si on dcidait daccepter les bitcoin ou tout autre forme de cryptomonnaie sur un vrai d
1120669055269122048,2019-04-23 12:41:38,rt vierzon place tous ses espoirs dans le bitcoin bitcoin blockchain
920723508946198528,2017-10-18 18:49:25,rt fautil vraiment acheter du bitcoin techco h sur avec
847441498262122496,2017-03-30 13:32:52,rt startup ledger lve millions pour scuriser les bitcoins des entreprises
732896497390505985,2016-05-18 11:31:56,un monde sans cash non merci je tiens au respect de ma vie prive bitcoin welovecash
720658401861177344,2016-04-14 17:02:06,rt avec chez pour une session de pitchs blockchain bitcoin deloittepitch
669924121342513152,2015-11-26 17:02:11,rt vous cherchez une ide originale pour les ftes de fin danne offrez des bitcoins en boite de conserve coinbells http
669643692895035393,2015-11-25 22:27:52,rt catch speakers amp many more at bitcoinmiami b
595955732794728448,2015-05-06 14:18:13,rt ledger hw a low cost nano hardware wallet for free worldwide shipping immediate availability bitcoin
569230768502902785,2015-02-21 20:22:45,rt eric larcheveque fondateur de la maison du bitcoin nous interpelle sur monnaie confiance etat
558574625127682048,2015-01-23 10:39:03,rt ledger is an example of an innovation that could make it much easier and safer to use bitcoins http
557672618040782850,2015-01-20 22:54:47,rt the french bitcoin expert confirmed as speaker during ictspring europe summit on may
557672499488772099,2015-01-20 22:54:19,rt caf numrique paris avec inscription
556195980836892672,2015-01-16 21:07:10,rt very proud to have been selected as a sxsw accelerator finalist austin march bitcoin
545237710626369536,2014-12-17 15:22:54,rt making of ble to secure element apdu bridge hardwarewallet bitcoin ledgerlabs
544538231665336321,2014-12-15 17:03:26,rt todays orders of ledger wallet nano are out bitcoin security
539843230230401024,2014-12-02 18:07:10,rt just ordered a secure usb bitcoin wallet viagreat customer service from et
538278618955542529,2014-11-28 10:29:58,rt protgez vos bitcoins avec le ledger wallet avec le code lw bitcoinblackfriday http
530752242010562560,2014-11-07 16:02:50,rt le bitcoin ne disparatra pas gtgt lopinion du fondateur de par
517594682080387072,2014-10-02 08:39:23,rt fautil avoir peur du bitcoin rponse ce samedi h sur arte
514077188715741186,2014-09-22 15:42:07,rt our interview with founders amp about bitcoin in france
512935629823680512,2014-09-19 12:05:58,rt bitcoin aprs le rapport du une grande confrence paris via eu
509725000857706496,2014-09-10 15:28:05,rt coinhouse buy with bitcoins at any european merchant public beta is starting today feedback
490184145583472640,2014-07-18 17:19:42,rt dell is now the worlds largest ecommerce business to accept bitcoin
489668625671159808,2014-07-17 07:11:12,rt jwtfr parle du bitcoin ce matin smartbreakfast avec et
487155207395348480,2014-07-10 08:43:47,rt france propositions pour un dveloppement responsable de bitcoin par bitcoin france
482615946591633408,2014-06-27 20:06:22,rt la brasserie ocaire rue du caire accepte dsormais les bitcoins
477475160891854848,2014-06-13 15:38:44,rt le hackathon bitcoin cest ce soir h weareready
474823896915783681,2014-06-06 08:03:33,rt la maison du bitcoin hosts the first french bitcoinhackathon
463604576634302464,2014-05-06 09:01:59,rt video le bitcoin un investissement risqu mais valable sur le long terme selon
463400839345086464,2014-05-05 19:32:24,rt eric larchevque cofondateur de la maison du bitcoin est linvit du grandsoir
456847236261888001,2014-04-17 17:30:43,rt great bitcoinbased authentification system by
444975353753534464,2014-03-15 23:16:06,cest un mineur scrypt qui convertit ensuite en bitcoins plusieurs modles mais en gros mhs w ttc
443410092437028864,2014-03-11 15:36:18,rt are you a bitcoin investor
441699647979913216,2014-03-06 22:19:37,rt ok so nakamoto denies being the the creator of bitcoin yes denied
441688529467637760,2014-03-06 21:35:26,sur le scrypt cest diffrent car on peut miner des dizaines de coins la difficult augmente pas comme le btc
441683458604417024,2014-03-06 21:15:17,conception dun nouveau rig de mining sur chssis aluminum stackable mhs w prix de vente ttc bitcoin
435176628638216193,2014-02-16 22:19:28,environ w mhs btc du mhs par jour sur middlecoin ou quivalent bien entendu les perfs passes nassurent pas etc
427141741422981120,2014-01-25 18:11:41,coinflash un atm bitcoin qui utilise coinbase pour le kyc pice btcmiami
427140504396890112,2014-01-25 18:06:46,le stand de bitcoin magazine btcmiami
427131662023925760,2014-01-25 17:31:38,rt bitcoin reprsente la sparation de largent et de ltat roger ver btcmiami
427097444501831682,2014-01-25 15:15:40,rt heureusement il reste des mthodes sres pour payer sarcasme btcmiami
425529034769203201,2014-01-21 07:23:22,rt le reportage du le bitcoin estil la monnaie du futur a enqut dcrypte replay http
