id,created_at,text
1344009366849138689,2020-12-29 19:56:18,literally no bitcoiner believes the state will take no action against bitcointhe entire system is d
1343719594524106752,2020-12-29 00:44:51,youre making the exact same argument that antibitcoin folks made about bitcoin in the early days and
1343287462517493760,2020-12-27 20:07:42,as bitcoin rises we should become more humble and more helpful to those who are interested in learning about it
1341816371802501120,2020-12-23 18:42:07,fully transparent huh okay how many bitcoins do i have and where are they
1339973931529322497,2020-12-18 16:40:55,this account is gold
1339606777936158723,2020-12-17 16:21:59,if bcash isnt bitcoin because its a fork then forks of bcash arent bcash be consistent
1339209131576713217,2020-12-16 14:01:52,all time highbitcoin
1339071988191682560,2020-12-16 04:56:55,fantastic piece from bitcointhe empire strikes back some years ago when i first began by omi
1338345525658128385,2020-12-14 04:50:13,yeah and the internet is only for porn and bitcoin only for drugsthis is what frontier looks like
1338345326118236160,2020-12-14 04:49:25,i think that might be how all new things begin
1338220973011705856,2020-12-13 20:35:17,compilation for fun tracks while watching bitcoin markets well start here
1338207094567276547,2020-12-13 19:40:08,cash bitcoin portfolio outperforms all other assets in terms of both return and risk yet the vast major
1337121509307977744,2020-12-10 19:46:24,pretty powerful speech today from lagarde ecb mentions bitcoin
1336802959246712833,2020-12-09 22:40:36,look what happened after filecoins ico it dumped not sure what youre talki
1336788489388630025,2020-12-09 21:43:06,if youre unable to see the difference between a project like onecoin and a projec
1336758679413141505,2020-12-09 19:44:39,filecoin has outperformed bitcoin since its ico btc invested at ico k would be
1336346575744995329,2020-12-08 16:27:06,great chat thank you jake bitcoin
1335000377402548232,2020-12-04 23:17:47,how do you define bitcoin maxithe value of any blockchain is never just the su
1334135188369104896,2020-12-02 13:59:50,bitcoin an overnight success a decade in the making opinion bitcoin
1333480401361391621,2020-11-30 18:37:57,i thought bitcoiners only eat meat of animals that only eat meat
1331752692054712321,2020-11-26 00:12:39,you cant
1331749907162652673,2020-11-26 00:01:35,how does
1331655344792154112,2020-11-25 17:45:49,
1331652989061386241,2020-11-25 17:36:28,whats be
1331651772427997187,2020-11-25 17:31:38,alex you
1331647867136716802,2020-11-25 17:16:07,correct
1331647266344538113,2020-11-25 17:13:43,its curr
1331622652788797441,2020-11-25 15:35:55,you honestly interpret a handful of bitcoin startups v
1326949158775877632,2020-11-12 18:05:07,when the money supply is fixed time becomes a dividend payment bitcoin
1326627222422163456,2020-11-11 20:45:52,no banks no bailouts no borders bitcoin
1326609421414391810,2020-11-11 19:35:07,its hard to take advice about bitcoins from people that profit off of bitcoins the incen
1326566464485273602,2020-11-11 16:44:26,there is already a tax on working from office
1325889555095023616,2020-11-09 19:54:38,rt billionaire stanley druckenmiller says that hes placed a bet on bitcoin
1325858689220284416,2020-11-09 17:51:59,i shilled bitcoin when it was after which it dropped down to within months was
1325521133119139841,2020-11-08 19:30:39,it will also mean the ability to earn yield on native bitcoin again nonwrapped with no custodian involved
1324048095827628033,2020-11-04 17:57:20,where you shop matters see live rates vs our competitors at bitcoin ethereum
1323785656850677761,2020-11-04 00:34:29,bitcoin just hit buy bitcoin instantly with debit card at shapeshift on iphone
1319282096838332417,2020-10-22 14:18:57,billionaire hedge fund managerpaul tudor jones has turned more bullish on bitcoin calling it the best inflation
1319131910505902081,2020-10-22 04:22:10,yes dude you control your keys period
1317332562906402817,2020-10-17 05:12:12,haha cool well you know now ahead of of worlds population
1317330850309091329,2020-10-17 05:05:24,kinda like every big government program
1317324867780444161,2020-10-17 04:41:37,amazing story something tells me you might end up getting it back
1316014000203730945,2020-10-13 13:52:42,rt exclusive billion asset manager stone ridge reveals million bitcoin position as part of a larger plan
1315717148401111047,2020-10-12 18:13:07,the modern fiat financial system ladies and gentlemen bitcoin
1315671236849041408,2020-10-12 15:10:41,rt in the bitcoin supply will inflate in the usd supply will inflate
1315356229699547136,2020-10-11 18:18:57,let me make sure im understanding youyour position is that bitcoin maximal
1315353434476949505,2020-10-11 18:07:51,im also curious to meet a maxi that needs to google how to buy bitcoin
1315351516937674754,2020-10-11 18:00:14,the maximalist position continually portrays this absurd binary position bitcoin is grea
1314397505895964672,2020-10-09 02:49:20,and i didnt say bitcoin nodes are centralized like ethereum i said most btc nodes r
1310583108983492608,2020-09-28 14:12:17,rt i get the same feeling explaining nfts to people in crypto as i used to get explaining bitcoin to finance types pre
1309160932174688258,2020-09-24 16:01:03,rt my latest focuspiece on iran i had the great pleasure of speaking with some incredible people iran was a bitcoin minin
1307702659466571776,2020-09-20 15:26:24,then there is no bitcoin on any centralized exchange eitherin both cases the bitcoin is a pro
1306380467873230848,2020-09-16 23:52:29,some feel protected by licenses i guess others feel protected by open source code
1306342610274004994,2020-09-16 21:22:03,to be clear there are many types of wrapped bitcoin and so the specific parameters depend on the s
1303321086512312320,2020-09-08 13:15:36,rt in africa bitcoin the original and biggest cryptocurrency is finding the practical use that it has largely failed to e
1299019712811151362,2020-08-27 16:23:28,rt unveiling our th subsidiary foundry a bitcoin mining and crypto staking businesswe have committed to invest an addit
1298438714629206018,2020-08-26 01:54:48,i dont think its fair to group the two of them together like that lopp is definitely in the
1298010751198793728,2020-08-24 21:34:13,you kinda sound like a bitcoin maximalist pretty sure theyve used precisely those ar
1297980921371660288,2020-08-24 19:35:41,rt another company has decided to diversify its cash holdings into bitcoin to avoid a loss of purchasing power via inflation
1296153021177573376,2020-08-19 18:32:16,rt transporting bitcoin vs transporting gold
1294286374762426369,2020-08-14 14:54:53,rt there are some serious tailwinds coming for bitcoinpaul tudor jones puts of his wealth into btcmicrostrategy bu
1293717814327554050,2020-08-13 01:15:37,rt microstrategy bought bitcoin which is of the total supply considering hodlers whales lost coins etc we
1291774656895164417,2020-08-07 16:34:12,the vast majority of both bitcoin and ethereum users dont and wont ever r
1291739976716161024,2020-08-07 14:16:24,their tribalism is depressing huh
1290713797204873223,2020-08-04 18:18:44,how captain bitcoin integrated to grow crypto users much faster bitcoin ethereum defi dapp
1290299583986163712,2020-08-03 14:52:48,the gainz are but the kindling for revolution for we fight not with guns but with capital bitcoin
1287790098034176002,2020-07-27 16:41:00,in the coming months gold bitcoin and ethereum will all rise as they are constituent complimentary pieces of t
1287757314406129665,2020-07-27 14:30:43,rt coincap mobilethe best place for realtime crypto prices by bitcoin ethereum
1286003388870791169,2020-07-22 18:21:15,this is part of the hydra that is bitcoin not everyone wants the same thing let it grow an
1283882675502231559,2020-07-16 21:54:17,rt i published a new research piece for bitcoin explaining why im currently bullish from a macrogeneralist investor pe
1283851166422568962,2020-07-16 19:49:05,advocating for segwit and a larger blocksize is as antibtc as it could get okay
1283841496911929344,2020-07-16 19:10:40,which antibtc tweet are you referring to
1280575277538689025,2020-07-07 18:51:52,im genuinely curious why you think its wrong to take money fr
1280572689183387653,2020-07-07 18:41:35,criminal organization takes from uswe take backyou
1280570824391634951,2020-07-07 18:34:11,as ive stated elsewhere weve had millions of dollars stolen
1278048349338263552,2020-06-30 19:30:46,bitcoin
1275829116265132032,2020-06-24 16:32:19,big fan of fio and edge wallet today is doing an address amp bitcoin giveaway for those who try it out
1275122421000032256,2020-06-22 17:44:10,paypal venmo to roll out crypto buying and selling sources via bitcoin
1273293195460227072,2020-06-17 16:35:29,most of them are garbage no doubt thats a very different statement than saying everything that isnt bitcoin is garbage
1273108348951502849,2020-06-17 04:20:58,has actual usage or actual potential for usage many coins in will still fail but th
1268316648563339266,2020-06-03 23:00:27,when you imagine that bitcoin is illiquid what do you mean exactly how illiquid do you believe it to be
1262757192677027842,2020-05-19 14:49:10,its not for marketing purposes
1261307219494068224,2020-05-15 14:47:29,rt okay were doing this tbtc is being deployed to mainnetbuckle up bitcoin ethereum
1260643839154417664,2020-05-13 18:51:27,transaction size now available for btc ltgt usdt usdc amp tusd at selfcustody bitcoin crypto
1259829481683869697,2020-05-11 12:55:29,rt the digitization of the world clearly benefits bitcoin says paul tudor jones on btc we are clearly digitizing the glo
1259159294148149256,2020-05-09 16:32:24,getting started with fio bitcoin ethereum
1258240935974010883,2020-05-07 03:43:10,this was a fun trip down memory lane bitcoin
1257519325293891584,2020-05-05 03:55:45,rt whats going to happen to bitcoin after the halving read our blog for insights into past events amp how this halving
1255957585586302978,2020-04-30 20:29:57,andreessen horowitz doubles down on crypto with new million fund bitcoin ethereum
1255238507917987841,2020-04-28 20:52:36,rt this is what i saw in model when he first revealed it it gives a great valuation for not only bitcoin but go
1254892041181392896,2020-04-27 21:55:52,rt my third bitcoin article bitcoin stocktoflow cross assetmodel sfx looking at stocktoflow phase transition
