id,created_at,text
1339205189392162817,2020-12-16 13:46:13,k the real ath is in bitcoin btc
1328936751956713473,2020-11-18 05:43:06,we deployed a fix fo
1295509049450958849,2020-08-17 23:53:21,rt it was a pleasure to chat on new podcast and share about the history and future of cryptocurrencybitcoin
1286627396360089603,2020-07-24 11:40:50,when government spending knows no limits buy bitcoin
1257179705171521536,2020-05-04 05:26:13,rt as we get closer to one of the most awaited technical events in the crypto space this year bitcoinhalving i would like t
1255733902116700160,2020-04-30 05:41:07,this is your last chance to buy bitcoin under
1233939945909129216,2020-03-01 02:19:43,rt as we leap out of february from bayswater to north greenwich time for plan btc is in the london underground looking
1228846989950894081,2020-02-16 01:02:07,raise your hand if youre buying the dip bitcoin btc
1226365664287285251,2020-02-09 04:42:13,unstoppable force bitcoin btc
1225597946206359559,2020-02-07 01:51:35,bitcoin in london timeforplanb
1152539682820857856,2019-07-20 11:24:08,all credit for the progress were making goes to our incredible team thank you for supporting us
1152222318929727488,2019-07-19 14:23:02,rt our cmo spoke with on the sidelines of about among other things his first bit
1102835097206611968,2019-03-05 07:35:51,chain making huge progress was just talking with about the importance of
1068834935241207808,2018-12-01 11:51:21,rt great for the team seans to meet with and share mcovisacards in seoul which
943797647525134336,2017-12-21 10:57:48,rt we are happy to announce that mco will be listed on cryptocurrency market in the world daily trading volum
868514699670724608,2017-05-27 17:10:15,rt brand new show introducing announcements with dr episode with ceo of
