id,created_at,text
1344127694250786818,2020-12-30 03:46:29,rt day left yall up and at it tomorrow ok
1343672604670849024,2020-12-28 21:38:07,instead of just new pronouns they are going to need an entire new dictionary
1343671263382814720,2020-12-28 21:32:48,nobody actually says the word out loud they only read or write it on twi
1343668532354064386,2020-12-28 21:21:56,latinx is an english word not a spanish word
1343659708448575488,2020-12-28 20:46:53,rt one of the best bitcoincrypto podcasts of alltimeheres the entire episode brok
1341633182936928257,2020-12-23 06:34:11,rt bitcoin is bearer ecash as you have a wallet and your own keys you dont need middlemen to transactsaying selfhosted wa
1340353090982092803,2020-12-19 17:47:34,rt getting rich by holding bitcoin is not an unfair reward for doing nothing its the markets just reward for divesting your
1340087332314050560,2020-12-19 00:11:32,mark cuban is on a lowinterest loan spigot he doesnt need anyone or anything except his cantillon insider friends
1339641867726536705,2020-12-17 18:41:25,rt i got the bitcoin epiphany amp tripped on a gaping rabbit hole on july all thanks to
1339258186461638656,2020-12-16 17:16:48,rt running bitcoin
1338559427108950016,2020-12-14 19:00:11,rt imagine but without the existence of bitcoin
1336807304692318208,2020-12-09 22:57:52,theres some odd regulatory arbitrage going on here why is it that mstr can buy bitcoin but other ins
1335301474448916483,2020-12-05 19:14:14,rt spoke to btctimes editor about why he believes that the best way for bitcoin to become a widely adopted
1335055396210241537,2020-12-05 02:56:25,rt microstrategy has purchased approximately bitcoins for million in cash in accordance with its treasury rese
1334221764008628224,2020-12-02 19:43:51,rt long time fan of on youtube really appreciate giving me the chance to talk about a
1331492955681550336,2020-11-25 07:00:33,rt the in bitcoin i bought weed with in is now worth
1331454509122428928,2020-11-25 04:27:46,rt the main distinction between analog monetary commodities and digital ones why bitcoin isnt mere digital goldbuggery it
1331138117160472576,2020-11-24 07:30:33,computer science not computer magic shows
1331118578809016320,2020-11-24 06:12:54,rt bitcoin computer science secures money far better than accountants police and lawyers
1331098472305487877,2020-11-24 04:53:01,rt this will be the tenth full calendar year in which bitcoin has tradedif the year ends with the price where it is now the
1331096912921968640,2020-11-24 04:46:49,rt as bitcoin hits the mainstream again im going back to some of the first principles on crypto amp moneys blog
1331042566200979457,2020-11-24 01:10:52,if there was a good audit trail you could count the ballots and count the env
1331032514144583681,2020-11-24 00:30:55,they could at least try
1330934246383337472,2020-11-23 18:00:26,rt you cant secure gold in collaborative custody multisig is native to bitcoin
1330004551923974144,2020-11-21 04:26:10,rt the sc should rule all dominion votes invalid unless the source code is provided
1329545701722783744,2020-11-19 22:02:51,rt as users convert trustbased onexchange bitcoin to their own trustminimized bitcoin their own holdings and the bitcoin
1329514030902300673,2020-11-19 19:57:00,as users convert trustbased onexchange bitcoin to their own trustminimized bitcoin their own holdings and the
1329268734863712257,2020-11-19 03:42:17,rt i jotted down some thoughts on the points brought up yesterdayi am just a simple bitcoiner but heres the respon
1328410567682363392,2020-11-16 18:52:14,rt theres million sats per bitcoin decimal places bitcoin to sats you add commas from the right bitco
1328259865920172033,2020-11-16 08:53:24,
1328256627363835904,2020-11-16 08:40:32,an adhoc unel
1328255985941581824,2020-11-16 08:37:59,vitalik is quit
1327823213565411328,2020-11-15 03:58:18,the democratic mind at work
1324496430052995072,2020-11-05 23:38:51,rt btc is a central bank in cyberspace that separates money and state while respecting the laws of thermodyna
1324462847200391169,2020-11-05 21:25:24,rt announcing lightning pool a noncustodial marketplace to buy and sell bitcoin liquidity on lightningwith pool users ca
1320601796633477121,2020-10-26 05:42:58,thanks
1319404489791606785,2020-10-22 22:25:18,rt i use bitcoin to transfer my money everyday not to another party but to my future self because if i were to store it o
1319048383839916032,2020-10-21 22:50:16,rt eat meat lift weights hodl bitcoins
1319010475623890944,2020-10-21 20:19:38,rt bitcoin denominated deposits are not bitcoin
1318994702062899201,2020-10-21 19:16:57,rt trusted third parties are security holes learn about the history of money and then decentralized dig
1318974063780401152,2020-10-21 17:54:56,rt new mode global holdings plc a uklisted company has announced it will place of its cash reserves into bitcoin as par
1316225450562134020,2020-10-14 03:52:56,rt hay phrasal verbs que tienen orgenes interesantes desconoca el phrasal verb shell out y su historia que forma par
1312474882068803585,2020-10-03 19:29:31,rt bitcoin computer science secures money far better than accountants police and lawyers
1311918466182443010,2020-10-02 06:38:31,rt interested in bitcoin reading materialbullish case for bitcoin boyapatishelling out szabogradually then sud
1310967802384142337,2020-09-29 15:40:55,they teach that critical thinking is to be destructively critical of ones family ones
1308476604700483584,2020-09-22 18:41:47,rt replacing ads and identitybased payments with payments that dont require identity such as bitcoin can greatly reduce these w
1306824578732191744,2020-09-18 05:17:13,rt to invest hundreds of millions of dollars in bitcoin i dont want to hear that youve got a new idea and youre upset ove
