id,created_at,text
1339992800318943232,2020-12-18 17:55:54,rt buying bitcoin is easy holding it is hard
1339261253076840450,2020-12-16 17:28:59,on this glorious ath day consider donating some fiat or btc to help educate the next generation of crypto believ
1336294511279038472,2020-12-08 13:00:13,my understanding is that segwit is a soft fork and opt in well opt in wh
1336108327277916161,2020-12-08 00:40:23,rt from and onwards bitcoins become inevitable bet on bitcoins inevitability
1330906125978374144,2020-11-23 16:08:42,rt with all the buzz surrounding bitcoin reaching i think the more interesting development is the market cap of bit
1329503317647634435,2020-11-19 19:14:26,lt isnt bitcoin tho
1327173856205959169,2020-11-13 08:57:59,bitcointalk
1324279292369489920,2020-11-05 09:16:01,the one thing ive learned about bitcoin is you never know what bitcoin will do for a day or two
1314194635317673984,2020-10-08 13:23:12,huge move by welcome to the bitcoin balance sheet club
1306296992360882177,2020-09-16 18:20:47,rt did we get these right behold the top crypto memes from bitcoin crypto
1293286491452395520,2020-08-11 20:41:42,rt crypto twitter is all googling kamala harris bitcoin right now
1287474782829604864,2020-07-26 19:48:03,do you like math markets crypto bitcoin risk and super smart people this job could be a great challenge and
1274064168648355840,2020-06-19 19:39:03,bitcoin twitter bitcoin users holders the data i reference above is onchain and quite possible to verify
1268422549743910912,2020-06-04 06:01:16,millions around the world use it to generate more bitcoin txns onchain than any other produc
1267514956951416839,2020-06-01 17:54:49,st round of interest payments out already earn on your bitcoin in the wallet today
1266091900592721920,2020-05-28 19:40:06,product launch alert earn interest on your bitcoin right from your wallet in fast clicks
1265308804297572353,2020-05-26 15:48:21,rt fact since the beginning of may has made up of all bitcoin transactions within the blockchai
1262875583446282240,2020-05-19 22:39:36,if you had told me in that the would be advertising bitcoin options on our block explorer i woul
1262167851474935808,2020-05-17 23:47:20,hi all systems are good and ive just successfully done a bitcoin txn from both a
1255514885502500864,2020-04-29 15:10:49,rt a few years ago amp i made a second video about bitcoin and what the crypto movement stands for now it has ov
1251193448268472323,2020-04-17 16:58:58,thats means appx of all bitcoin transactions in q were from users who decided to beyourownbank
1251177032781684736,2020-04-17 15:53:45,in q wallet users also sent over m transactions to the bitcoin bitcoin network alone as a team w
1248626802324418563,2020-04-10 15:00:02,great thread from this morning sum were living in a rigged market world now buybitcoin
1227759677758271488,2020-02-13 01:01:32,update now accepts bitcoin bitcoincash ethereum
1214587564029558785,2020-01-07 16:40:15,fwiw thats exactly how i look
1214581055795150848,2020-01-07 16:14:24,its a big change across a few
1214580546887733248,2020-01-07 16:12:22,it just hasnt made it to the p
1214573798114115584,2020-01-07 15:45:33,
1209124832278806528,2019-12-23 14:53:19,nope thats a opt in thing rolled out by i think
1208188790851792896,2019-12-21 00:53:49,rt gbp and faster payments for bitcoin is live
1207606739941646338,2019-12-19 10:20:57,gbp and faster payments for bitcoin is live
1189542644298473472,2019-10-30 14:00:41,rt the th anniversary of the bitcoin whitepaper is tomorrow which always takes us for a trip down virtual memory lane see
1180060814675456000,2019-10-04 10:03:17,poignant reflection from a bitcoin pioneer tradehill was one of the first places many of us bought btc
1157700777470767104,2019-08-03 17:12:29,rt uber driver what do you dome i work in crypto currencyhim capital currencyme bitcoinhim buttcoinme bitcoinhim
1157319047731716098,2019-08-02 15:55:37,start your engines bitcoin bitcoincash ethereum crypto enterthepit
1152289115968139264,2019-07-19 18:48:28,did this week set the record for crypto and bitcoin related testimony on the hill
1144536851740581889,2019-06-28 09:23:44,the bitcoin network is quite busy at the moment
1112797920292753408,2019-04-01 19:24:33,bitcoin network is busy today
1112743472191229953,2019-04-01 15:48:12,rt us dollar plunged in value against bitcoin in q
1111671667921694722,2019-03-29 16:49:14,rt the average number of transactions per block is at ath source bitcoin
1080925833945075718,2019-01-03 20:36:16,no better way to celebrate the th birthday of bitcoin than by using your private today
1011580002821865472,2018-06-26 12:00:41,nifty little feature on a wayback machine for bitcoin purchases this one is from two yea
998588926809034754,2018-05-21 15:38:47,rt by age you should have an undisclosed amount of gold and bitcoin buried in various locations around the country
957924209073770496,2018-01-29 10:31:43,fyi its a great monday morning to get your bitcoin transactions done before the next difficulty increase
956268274261676032,2018-01-24 20:51:37,rt bitcoin cash addresses have a new format so you can easily distinguish them from bitcoin addresses as of today youll see
954323142893297665,2018-01-19 12:02:22,rt i chatted to ceo about the us launch of bitcoin selling and eventually buying
939913265118924800,2017-12-10 17:42:39,if you believe in the longterm value of digital currency the best way to buy bitcoin is a little bit at a time
938776006386683904,2017-12-07 14:23:36,rt you asked for it we built it recurring orders now available to make it easier than ever to squirrel away some bitcoin every
930170384426684422,2017-11-13 20:27:56,the endless accusations of social media campaigns by both the bitcoin and bitcoincash camps is getting tiresome
928893533678854144,2017-11-10 07:54:11,very doubtful theyd be able to have an impact on the things in bitcoin core that impact infrastru
926906014338834432,2017-11-04 20:16:29,in my case all my bitcoins are in nor do i trade on market news buyhold which produ
926847992568655872,2017-11-04 16:25:56,of course
924371642532466689,2017-10-28 20:25:48,insightful analysis from a longtime bitcoin lawyer and friend re decentralization swx and the overall market r
918876684866244608,2017-10-13 16:30:48,rt the bitcoin market cap now surpasses goldman sachs and morgan stanley the future of money is here tothemoon
915508207199670272,2017-10-04 09:25:40,weve dedicated our lives to building bitcoin products introduced millions to bitcoin evangelized long before it
913425769635840000,2017-09-28 15:30:48,its an easy way to get some press at the moment go on tv proclaim your bitcoin stance
895575976297496576,2017-08-10 09:22:06,rt want to setup your first bitcoin wallet and buy bitcoin the tells you how with
888389124444606465,2017-07-21 13:24:07,want to setup your first bitcoin wallet and buy bitcoin the tells you how with
884877035717480450,2017-07-11 20:48:20,rt buying bitcoin is now available on android for our users in europe
835153700104650753,2017-02-24 15:45:33,easy to forget how far its come when your in the trenches great read on the bitcoin ecosystem from
827099528436281344,2017-02-02 10:21:09,buy bitcoin while your at it
825025448803520512,2017-01-27 16:59:29,fun interview with on at davos on digital currency and bitcoin mark
824741548688543744,2017-01-26 22:11:22,its hard for folks to reconcile the reality that led bitcoin to success w the steady stream of bs
817754783620665344,2017-01-07 15:28:28,a quick one on to talk about the strong six months bitcoin has been having
806941219846811648,2016-12-08 19:19:13,as of today you can buy bitcoin from inside your wallet in european countries instantly
798870520716521473,2016-11-16 12:49:09,i just published how bitcoin can help you protect against political risk
796462852899008512,2016-11-09 21:21:56,rt some electionday thoughts about monetary independence macro risk and bitcoin in
796114631618076672,2016-11-08 22:18:13,some electionday thoughts about monetary independence macro risk and bitcoin in
