id,created_at,text
1344568409288282112,2020-12-31 08:57:44,the price chart hurts bitcoin maximalists feelings
1343676934639726592,2020-12-28 21:55:20,rt new ig filter is livewhat crypto are youbtc eth hex xrp dogecoin monero tether h
1341866024157798402,2020-12-23 21:59:25,well look who wants bitcoin now
1340016572279222273,2020-12-18 19:30:21,wat is bitcoins
1339459163504717824,2020-12-17 06:35:25,rt watch this very important video about emergency unstaking your hex right nowbitcoin btc e
1337515387555082241,2020-12-11 21:51:32,i hope they do what they said they will or well be reminded why satoshi invented bitcoin in the first
1336139519893057542,2020-12-08 02:44:20,nice i wrote it to get people that like bitcoin to understand why they should like hex some people really dont understand it
1330054101032464385,2020-11-21 07:43:03,thank you yes that is indeed worse
1328064545802362880,2020-11-15 19:57:16,rt in someone auctioned bitcoin for the first reply almost a half an hour later was ill offer
1327997886995501056,2020-11-15 15:32:23,totally crushes everything else yobit hitbtc and bitmart would be the most liquid after it
1327996415663071232,2020-11-15 15:26:33,possibly airdrop many more currencies beyond bitcoin
1327595693427609601,2020-11-14 12:54:13,yeah bitcoin is down there at the bottom if you zoom in really really far
1326129173933543424,2020-11-10 11:46:48,compounded returns how do your bitcoin returns compound speaking as a person that founded somethi
1325522907729158144,2020-11-08 19:37:42,ledger users addresses email and other data leaked then used to phishing attack themalso the bitcoin electrum
1321561897804746752,2020-10-28 21:18:04,oh i forgot to send this if you understand bitcoin maybe this works for you
1320127114465738752,2020-10-24 22:16:45,try you needed to have bitcoin before dec rd check the date tho
1319092277382385665,2020-10-22 01:44:41,yeah no
1317234494810681345,2020-10-16 22:42:31,rt hex is this easy to buy and stake even a baby can do it hex hex btc eth xrp polk bnb
1317210686276182018,2020-10-16 21:07:54,opyn hackedimbtc hackedheres some more lol
1317149970735267841,2020-10-16 17:06:39,electrum users phished for a few thousand btc with fake upgrade notices
1317149189948821504,2020-10-16 17:03:32,binance sued for laundering a thousand or more btc by another exchange that got hacked
1317148591304155136,2020-10-16 17:01:10,willy woo fund bustthat other btc kid fund bust toowhat was his name u said he was good
1316582749914959872,2020-10-15 03:32:43,of all btc sits in addresses google bitcoin rich list
1315356079279267840,2020-10-11 18:18:22,one day bitcoin will be the alt
1314993559200727041,2020-10-10 18:17:50,bitgo counterparty risk when you try to redeem the wbtc erc back for btc would be my guess
1314725920964587521,2020-10-10 00:34:20,ethereum is better than bitcoin correct
1309611768977727490,2020-09-25 21:52:31,i invented one
1296539285592711172,2020-08-20 20:07:08,bitcoin twitter is like uh the most momentum bitcoin has though
1295160124374421506,2020-08-17 00:46:51,i would also rather that
1295155113548537863,2020-08-17 00:26:56,maybe watch the hour livestream i just did
1294804380487688192,2020-08-16 01:13:15,also bitcoin could have a problem from no audits and no bug bounty program rising tide lifts all ships and such
1294011391981035520,2020-08-13 20:42:12,example btcp did this but with no staking iirc both it and the input cheap coin went to about after
1291877896089370632,2020-08-07 23:24:27,tuur demeesters bitcoin alpha fund adamant capital has quietly shut down
1290769453773393921,2020-08-04 21:59:53,lightning has m in itwrapped bitcoin wbtc erc has m i
1290344975864037377,2020-08-03 17:53:10,this is the comparison page of btc and hexeth
1288768162079682561,2020-07-30 09:27:28,upgrade from win
1283936689057136645,2020-07-17 01:28:55,i dont think that thing is accurate heres an exampleswapping eth for hex at
1283806979304181762,2020-07-16 16:53:30,bitcoin has had bugs where someone could mint infinite free bitcoin for themselves the cv
1283592275659030528,2020-07-16 02:40:21,bitcoin has had inflation bugs where someone could mint infinite free bitcoin for themselves the cve
1283491431080919041,2020-07-15 19:59:37,i bet the recent crypto bitcoin twitter hacks are bad opsec by the companies allowing another service to post on
