id,created_at,text
1342365054612561920,2020-12-25 07:02:23,rt merry christmas amp happy holidays litecoin fam litecoin litecoinfam ltc crypto blockchain bitcoin
1341132433018638336,2020-12-21 21:24:23,rt ep w mike offers to help buy bitcoin buys bitcoin
1341118939531657220,2020-12-21 20:30:46,rt microstrategy has purchased an additional bitcoins for million at an average price of per bitcoin
1339991020453294081,2020-12-18 17:48:49,rt id be a billionaire now if i hadnt sold the bitcoins i mined on my laptop in way too early mostly be
1337140489754034176,2020-12-10 21:01:50,rt american insurance company massmutual has purchased million worth of bitcoin reports
1336005936763179009,2020-12-07 17:53:31,rt going live in minutes with charlie lee and jonny litecoinlitecoin bitcoin cryptocurrency youtube link below ht
1335435863648477192,2020-12-06 04:08:15,rt bitcoin bits gt sats time for a bits reboot imo
1334945343511822336,2020-12-04 19:39:06,rt the best thing to do is simply to hodl bitcoin litecoin monero hodl
1331847828356808705,2020-11-26 06:30:41,rt looking to join in on the bitcoin boom a new report from says could be your best bet mi
1328642755568910337,2020-11-17 10:14:52,rt litecoin jumped to ninemonth highs above early on tuesday moving above bitcoin cash to become the seventhlargest crypt
1328537645882904576,2020-11-17 03:17:12,rt toss a bitcoin to ur witcher
1328427861695287296,2020-11-16 20:00:57,rt one of the largest banks in belarus is launching a bitcoin buying service with more cryptocurrencies to be added soon
1328099013002870784,2020-11-15 22:14:14,rt when anyone mentions bitcoin within earshot of me
1324583081546637312,2020-11-06 05:23:10,rt bitcoin vs us dollar bitcoiners assemble
1323451045964439552,2020-11-03 02:24:52,rt announcing lightning pool a noncustodial marketplace to buy and sell bitcoin liquidity on lightningwith pool users ca
1319709159592321027,2020-10-23 18:35:57,rt holy cowmost bullish commentary for bitcoin that i have read from jp morganeven modest crowding out of gold takes bitc
1314700124099018752,2020-10-09 22:51:50,rt today on money talks the creator of litecoin the bitcoin rubber band is winding up long arm of us law
1314359629778829312,2020-10-09 00:18:50,when you buy bitcoin someone else is selling bitcoin
1314238905860857856,2020-10-08 16:19:07,rt meet while playing light nite amp talking about bitcoin topics next wednesday google calendar http
1309282039334490112,2020-09-25 00:02:18,see you guys tomorrow at mccvrhang out in our awesome magical crypto vr world with bitcoiners litecoiners
1308675686521921537,2020-09-23 07:52:52,rt hang out with your favorite bitcoiners on a tropical islandmccvr the first fullvr bitcoin conferenceexpl
1305230429511770112,2020-09-13 19:42:39,so thats what happened to satoshi he took his bitcoins and went to the future
1298922680985571328,2020-08-27 09:57:54,rt opinion id call ethereum a dumpster fire but a dumpster implies containment thats why its odd that sane and sensible bitc
1296604053997158400,2020-08-21 00:24:30,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1292191132965715968,2020-08-08 20:09:08,rt today marks the third anniversary of the day segwit reached lockin threshold on the bitcoin networktoday also marks the laun
1288995436284452866,2020-07-31 00:30:35,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1281381291464650752,2020-07-10 00:14:41,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1278843718720647168,2020-07-03 00:11:16,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1276307044572647424,2020-06-26 00:11:26,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1273770579393277952,2020-06-19 00:12:26,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1272692558766858241,2020-06-16 00:48:46,we can
1271233624931569664,2020-06-12 00:11:29,rt live bitcoin poker game in collaboration with follow for our weekly live stream show ht
1268696278696775680,2020-06-05 00:08:58,rt live bitcoin poker game follow for weekly live stream games
1263525145563430912,2020-05-21 17:40:44,
1263261875862532097,2020-05-21 00:14:36,rt live bitcoin poker game watch the action and listen to epic crypto chats follow for weekly live stream
1259149254670479366,2020-05-09 15:52:30,
1257825620756590593,2020-05-06 00:12:51,rt announcing episode live bitcoin poker game thursday pm et on twitterbuy in bitcoin blinds kk s
1257503267300335617,2020-05-05 02:51:56,rt the c code in bitcoin core client that will make the bitcoin halving happen constant valuesnsubsidyhalvinginterval
1256937148176990210,2020-05-03 13:22:23,by tiny i just meant small compared to his whole paper wallet balance he lost most of his
1250682051294105600,2020-04-16 07:06:52,rt today im comparing the two currently most popular bitcoin price models rainbow chart vs sfrainbow chart tried amp t
1246766414775480321,2020-04-05 11:47:31,its obviously a scam
1246766332512571393,2020-04-05 11:47:12,its obviously a scam
1238386171962523649,2020-03-13 08:47:26,rt this is the first time in a while ive felt like buying bitcoin that drop was too much panic and too little reason
1233516599920992258,2020-02-28 22:17:29,double spends and orphaned blocks are all counterfeit bitcoins
1232236509173972993,2020-02-25 09:30:52,after seeing your diagram i now know why youre starving
1213360004704563200,2020-01-04 07:22:22,rt lets show the world the power of bitcoin all donations are going to the rural fire service australiaburning
1193739868414730240,2019-11-11 03:58:57,we have talked to major exchanges and they wont be
1190727848979394560,2019-11-02 20:30:16,rt the most important feature of altcoins is competing technologies the best way to improve bitcoin is to let someone else
1186473279638228993,2019-10-22 02:44:08,rt the newest blockchain phone from the exoduss features full bitcoin node capabilities and the highest level of cry
1185904383449427968,2019-10-20 13:03:32,sure you can use rbtc or twitter or hundreds of other online communities
1184510795129872384,2019-10-16 16:45:55,
1183940655120142338,2019-10-15 03:00:23,
1183928358351933440,2019-10-15 02:11:31,thanks
1179271769628303360,2019-10-02 05:47:54,it makes business sense for exchanges to list litecoin as ltc is
1174337665254092800,2019-09-18 15:01:32,its alt szn
1169348079033536512,2019-09-04 20:34:42,its a tweet with a link get over it people can stop following me if they dont like it
