id,created_at,text
1343871022756483072,2020-12-29 10:46:34,not releasing evidence of your daily life
1343868189940314112,2020-12-29 10:35:19,im not saying tether is fine you are ju
1343867284373299201,2020-12-29 10:31:43,love malta hope to bring the conf back in sept
1343864422922674179,2020-12-29 10:20:20,how am i on the same list with those
1343510812623822848,2020-12-28 10:55:13,hopefully in september
1342954182970646538,2020-12-26 22:03:22,he still has days to make good on that
1342875062559453185,2020-12-26 16:48:58,rt a k bitcoin in the near future overly conservative the price target expectation for is on track for k to
1341205265622786050,2020-12-22 02:13:48,yup
1336788628786307074,2020-12-09 21:43:40,so will covid with or without the masks
1336007890927292417,2020-12-07 18:01:17,im not mandating mask to be illegal you can put on as much protective gear as you like walk a
1334588627230355456,2020-12-03 20:01:38,
1334571975625289729,2020-12-03 18:55:28,of course it is possible just unlikely but we will never know cause the obvious electionfraud
1334497569116991495,2020-12-03 13:59:48,how do they know you have bitcoin if you dont understand how bitcoin is
1334492126764281858,2020-12-03 13:38:11,only if you dont know how to protect it
1332705977318207491,2020-11-28 15:20:40,actually its easy to tell which og bitcoiners got lucky and which did not if you became a shitcoiner at
1331830220106698753,2020-11-26 05:20:43,agreed dont travel to usa they dont deserve your tourist money
1331210211969953793,2020-11-24 12:17:01,i meant tree house not free haha
1331205828255363073,2020-11-24 11:59:36,there will be a free house version for you soon
1330935261371494400,2020-11-23 18:04:28,cant afford it maybe when btc is m and even then probably wont do it often guess
1330732518316892160,2020-11-23 04:38:50,that sounds like something said to prisoners going into the hole for a month
1330728653471277057,2020-11-23 04:23:29,now what about for people that are single and live alone
1330726452258541568,2020-11-23 04:14:44,you should not need a mandatory lockdown for that if you have successfully worked from home this year
1329631616264761348,2020-11-20 03:44:15,what was in that tweet that made you talk about trump amp the election
1329628151828385793,2020-11-20 03:30:29,clearly you want to watch people under commit suicide from depression its ok just admit it
1329619526447730689,2020-11-20 02:56:12,death rate is outright bullshit
1328448406856097798,2020-11-16 21:22:36,probably closer to monthly bases dont forget smoking
1327617453652910080,2020-11-14 14:20:41,intend to underestimate the stupidity if crypto people you got me
1325580466536243201,2020-11-08 23:26:25,i have been a bull since march when btc dropped under k and i won my bet with crypto man ran
1318988363005857795,2020-10-21 18:51:46,thats what it said on january st please base your investing advice on cha
1311639343312838657,2020-10-01 12:09:23,its not the american spirit its the rule of law building your innovation in coun
1311496077972049920,2020-10-01 02:40:06,yup ive always said that us being a superpower is not going anywhere but this changes it the tril
1311113664003485697,2020-09-30 01:20:31,
1311046319469985797,2020-09-29 20:52:55,decentralized video hosting does not exist but you probably have no idea its bullshit
1309632211721826304,2020-09-25 23:13:45,yeah that was any bad i added a by mistake already mentioned it above
1307635164542128133,2020-09-20 10:58:12,number go up there will be no more concerns of what if satoshi dumps a million bitcoin
1307404922435100677,2020-09-19 19:43:18,yesterday we discussed who first got us exited about bitcoin for me it was watching in how
1306754673467064320,2020-09-18 00:39:27,this is a really important point if you go back and look at who was defending bitcoin in most of those peop
1303718588856119296,2020-09-09 15:35:08,your comment explain why you are zcash maximalist
1300799255976632321,2020-09-01 14:14:44,wow great explanation
1296521700226588672,2020-08-20 18:57:16,free bitcoin i dont think you understand how bitcoin works
1295034113351651330,2020-08-16 16:26:07,provide a product or service others what to pay btc for is the best way
1294399556654899201,2020-08-14 22:24:37,actually i dont agree if your shitcoin is used for speculation then it does cut i to bitcoins dominance
1294243888392220672,2020-08-14 12:06:03,i plan to interview someone from very soon to see how they are handling this
1291019135128866817,2020-08-05 14:32:02,no its not bitcoins only use case is money so if people hoard bitcoin it increases the value of oth
1285721932114034688,2020-07-21 23:42:50,but still windows or you think lightning is not bitcoin haha
1283894451753099264,2020-07-16 22:41:05,you get your revenue from month how does netflix su
1281189362311368704,2020-07-09 11:32:01,i can learn for free on youtube can actually be stated about any subject including driving cars
1276357843461996545,2020-06-26 03:33:18,
1273599885342912516,2020-06-18 12:54:09,its always the anonymous trolls with
1273463014604374017,2020-06-18 03:50:17,thanks rabbi inhad to jim on a call with asia right after the tweet and
1273299655208636418,2020-06-17 17:01:09,
1272508097047773184,2020-06-15 12:35:47,thats not how markets work its just conspiracy theories from those that always end
1271056336902553607,2020-06-11 12:27:00,bitcoin
1270553003733520389,2020-06-10 03:06:56,you probably wont see this but since i was tagged want to reply there are very few bitcoin conf
1267109023037480961,2020-05-31 15:01:47,trading bitcoin lets just do some more fan qampa from the woods
1266778072646332416,2020-05-30 17:06:42,ok so you have identified the problem has been fighting against bitcoin devs e
1266428872511414272,2020-05-29 17:59:06,no thats not how it works bitcoin has brought physical scarecity into the d
1264293849905725441,2020-05-23 20:35:17,this is a bitcoin pizza day celebratory treasure huntbelow is of pizza slicessolve the
1260798460023930881,2020-05-14 05:05:52,right i was just saying that chamath is getting into bitcoin to hedge inflation with ptj is getting into
1260698778706808832,2020-05-13 22:29:46,over per hour for corporate consultancy way cheaper
1259066971532013568,2020-05-09 10:25:33,will stream all day bitcoin halving halvening
1259066422522757120,2020-05-09 10:23:22,will stream all day bitcoin halving halvening
1259066277668311041,2020-05-09 10:22:47,will stream all day bitcoin
1258432302092292099,2020-05-07 16:23:36,but bitcoin is not involved in my business i sell trading education courses
1258177656035708928,2020-05-06 23:31:43,and as more and more realize this silver will continue to lose value vs gold i am currentl
1257846287124267009,2020-05-06 01:34:59,rt more graphic art this time for the halving coming to your screens may th on youtube channel bitcoin halvin
1257341438930620417,2020-05-04 16:08:53,rt bitcoin
1256264880316911616,2020-05-01 16:51:02,rt live at pm baltimore time this week in bitcoin and talk halving hyperbitcoinization
1256201211000258561,2020-05-01 12:38:02,rt my latest embily metal bitcoin credit card design now with silver gold duotone sign up and message me to get a customi
1256033324142911489,2020-05-01 01:30:55,you retweet tweets from ri
1256031017745428480,2020-05-01 01:21:45,you should never pay more
