id,created_at,text
1324776500290228224,2020-11-06 18:11:45,sure thanks for asking
1322641734153629696,2020-10-31 20:48:57,big fax
1321946805110665216,2020-10-29 22:47:33,big fan of the show erik lets have a conversation about bitcoin and macro plenty to talk about
1321134432200216576,2020-10-27 16:59:28,remember when all anyone would talk about was whether the bitcoin halving was priced in
1293640926208745473,2020-08-12 20:10:06,rest easy nipsey
1228368314734235648,2020-02-14 17:20:02,
1224913017025912832,2020-02-05 04:29:55,i hope the first country that buys bitcoin as a reserve currency is already a great country bc theyre going to be
1224056590266880000,2020-02-02 19:46:47,you cannot overstate how much has done for the bitcoin ecosystemwhen the history books are written about
1180910728833667072,2019-10-06 18:20:32,paging dr
1166011630221529089,2019-08-26 15:36:50,haha
1163969746330669056,2019-08-21 00:23:07,do we know why bch lost
1116530001665331200,2019-04-12 02:34:31,if you want to know my thoughts on the market just hit me up directly no need to wait unti
1115397928317739009,2019-04-08 23:36:03,yup i hear you the day after i wrote that tweet jay powell capitulated to trump talking sht on twitte
1109207876155789312,2019-03-22 21:39:00,this is awesome thank you and
1048233066898944000,2018-10-05 15:26:53,not trying to toot my horn or anything by saying i told you so but yale just sat down
1047271875645042688,2018-10-02 23:47:27,rt it will be like playing musical chairs when the first central bank lets say switzerland longs bitcoin the music stops
1047271841021095936,2018-10-02 23:47:18,central bankssovereigns are playing musical chairs at one level and large financial institutions pens
1042852309393268736,2018-09-20 19:05:40,thank you sir
1013340903732154368,2018-07-01 08:37:53,no one is using
1013339595742720000,2018-07-01 08:32:41,the incentive to do this relative to creating your own token that encompas
991727622047453184,2018-05-02 17:14:25,whats the source of this list
974329767888551938,2018-03-15 17:01:33,rt big day for bitcoin lightning goes live on mainnet announcing the first lightning beta release for the live bitcoin ne
970776956777259008,2018-03-05 21:43:57,rt a comprehensive list of bitcoin debit cards includes price supported currencies withdrawal fees limits and more
965851374343700481,2018-02-20 07:31:26,rt if of all offshore tax heaven bank accounts moved into bitcoin the price of bitcoin would be million ep
949160497449971712,2018-01-05 06:07:51,rt xrp explained for bitcoiners imagine satoshi premined all m bitcoins kept m for himself and only allowed himself an
943560672025210880,2017-12-20 19:16:09,rt nyse files to list bitcoin etfs bringing cryptocurrency a step closer to mainstream
