id,created_at,text
1322973755623141376,2020-11-01 18:48:17,yes
1273685490479161344,2020-06-18 18:34:19,dont think in terms of time think in terms of compute power this is scalecost equation not time
1269815320790700035,2020-06-08 02:15:39,runs libbitcoin which is a bitcoin client
1245707026958651393,2020-04-02 13:37:54,rt podcast vinny lingham on civic bitcoin covid and living in san diego
1238151517539954688,2020-03-12 17:15:00,rt apparently bitcoin is a correlated asset
1237799622921179136,2020-03-11 17:56:41,population demographics are substantively different data lies if you dont drill down
1217230359424712705,2020-01-14 23:41:47,because a lot of people tend to believe its a store of value not that i agree
1209640226471075840,2019-12-25 01:01:18,rt there is a very real possibility the price of bitcoin does not go up after halving for the first time there is a robus
1204487884083875840,2019-12-10 19:47:44,rt too difficult to use too easy to hack way too easy to losemark cuban says there is no chance bitcoin becomes a rel
1175870001338667008,2019-09-22 20:30:29,rt comparing the great bitcoin triangles of and using volume profiles measuring from the originating breakout
1126324117383155712,2019-05-09 03:12:50,best ta ive seen so far fortnite bitcoinroyale
1116356305617178631,2019-04-11 15:04:18,rt ceo of blockchainbased identity platform charts amp technicals aside i dont believe this rally is
1116049809108901888,2019-04-10 18:46:24,truestory
1104400620130164736,2019-03-09 15:16:41,rt my sentiment read on here makes it seem like a lot of people believe theres some magical price level where if bitcoin can j
1100522155543015425,2019-02-26 22:25:03,thanks but i actually said it in november on
1100417479325741056,2019-02-26 15:29:06,he blocked me for calling out how he lets his relig
1091171738132590597,2019-02-01 03:09:50,rt bitcoin adoption still low for anyone thinking we hit peak market in the next wave will be bigger as we build better
1090964166234591233,2019-01-31 13:25:01,rt the term crypto winter has been thrown around a lot lately to describe the morethanyearlong bear market in the crypt
1090770516712013826,2019-01-31 00:35:31,rt murad thinks the week simple moving average will be the bottom of this bitcoin bear market would be worse than many
1083479061475672065,2019-01-10 21:41:52,rt with bitcoin continuing its freefall and dropping below what can be expected in the coming months ceo
1081620963291160578,2019-01-05 18:38:27,rt the mainstream has almost entirely forgotten about bitcoin again
1070485837689679873,2018-12-06 01:11:27,apple
1067845353884405760,2018-11-28 18:19:06,rt on episode of reflects on the current state of the crypto market and its implications for
1067287129653297153,2018-11-27 05:20:55,still doesnt align with the accusation that i confuse bitcoin and satoshi
1067286749968162816,2018-11-27 05:19:25,ive been consistent about the view that i believe that payments was the origi
1067286435823157248,2018-11-27 05:18:10,
1067282015509082112,2018-11-27 05:00:36,i geniunely want an example there is too much hearsay in crypto
1067277934967238656,2018-11-27 04:44:23,show me an example
1067276524552839168,2018-11-27 04:38:47,youre confusing bearish with hyperesistance
1067276026894405632,2018-11-27 04:36:48,
1067275678456864769,2018-11-27 04:35:25,i wasnt bearish on the way up i gave up trying to convince everyone that the fundamentals
1067249636199477253,2018-11-27 02:51:56,shhh dont explain the absurdity of it to him
1067186875343880192,2018-11-26 22:42:33,rt has been one of the most reasoned cryptocommunity voices on bitcoin ive followed the past year kudos to a
1066750102738333696,2018-11-25 17:46:58,rt proofed that hes still the bitcoin oracle he warned us and still does
1065665343211749376,2018-11-22 17:56:31,rt who is the real bitcoin oracle crypto bitcoin
1058493473307803648,2018-11-02 22:58:04,at least more years anyways
1058493187872813056,2018-11-02 22:56:56,a year isnt enough time give it years
1055175081159061504,2018-10-24 19:11:58,
1039963701162328064,2018-09-12 19:47:22,rt the humans of bitcoin podcast tells the stories of people whose lives have been impacted by cryptocurrency and bl
1036843316610924544,2018-09-04 05:08:04,rt you said people dont want to spend bitcoin becaus
1036360373945827328,2018-09-02 21:09:02,the plot thickens bitcoin storeofdrama popcorntime
1032394002203521025,2018-08-22 22:28:05,rt breaking sec rejects proposed bitcoin etfs from direxion proshares and graniteshares bitcoin etfs
1031001369023377408,2018-08-19 02:14:16,can everyone in crypto focus on adoption and not scaling please scaling is a succ
1027413455765164033,2018-08-09 04:37:10,startups hodl the bitcoinsuntil they need to sell them
1027175200813707264,2018-08-08 12:50:26,
1025878172468957184,2018-08-04 22:56:30,rt bitcoin falls below hitting lowest since midjuly bitcoin cryp
1023677699582255104,2018-07-29 21:12:37,strawman alert
1021878598192361472,2018-07-24 22:03:38,
1021878111288193025,2018-07-24 22:01:41,ive made this point before
1021829908127920128,2018-07-24 18:50:09,rt weve added bitcoin price data going back to july check it out on the chart and in the pr
