id,created_at,text
1343374967589629952,2020-12-28 01:55:25,also i hold more in fiat than i do in bitcoin so if you think hedging is a fo
1338391068073578497,2020-12-14 07:51:11,isnt the microstrategy thing just them trying to turn their company into a defacto bitcoin etf for r
1338385950305624064,2020-12-14 07:30:51,i can barely read what the bitcoin maximalists are saying about me on twitter because so many of them have just blo
1333551057222258692,2020-11-30 23:18:42,is btc money is not a question of economics its a question of signaling do bitcoiners get to pl
1332971064905719808,2020-11-29 08:54:01,right but i mean what are the arguments against j
1332965007114391554,2020-11-29 08:29:57,wait im confused cant you guys just uasf it
1332891514180038659,2020-11-29 03:37:55,if the attack fails then the coinbase to devs thing
1332889370290896899,2020-11-29 03:29:24,ok yes that is really dark and definitely increases my opinion of t
1332850349460254729,2020-11-29 00:54:21,i always thought of the stuff in the whitepaper about voting as being inside
1332843612627865601,2020-11-29 00:27:34,yeah i get that what im saying is the social contract of eth and its not
1332839058045689858,2020-11-29 00:09:29,oh i definitely dont think that miners have any kind of propertylike right
1332835467654361090,2020-11-28 23:55:13,thats a fair point
1331863076040110080,2020-11-26 07:31:16,n
1331862881038524416,2020-11-26 07:30:30,c
1331809451351785475,2020-11-26 03:58:11,id say bsv
1331758509130612736,2020-11-26 00:35:46,id disagre
1331474463192334337,2020-11-25 05:47:04,the main subreddit of discussion and bitcointalk too
1331468155663785984,2020-11-25 05:22:00,i dont think its fair to call the bitcoin core develop
1329027143049781250,2020-11-18 11:42:17,how does optimizing for the hash rate solve wireheading a futarchy optimizing for hash rate w
1329020098980446212,2020-11-18 11:14:18,how do we choose the objective function
1328259148148969472,2020-11-16 08:50:33,the overwhelming ma
1328255927779168262,2020-11-16 08:37:45,much less disputed than the opposite claim
1328255631401226240,2020-11-16 08:36:34,hav
1328255214529306624,2020-11-16 08:34:55,hmm isnt it his
1328253614163312641,2020-11-16 08:28:34,curious do you hav
1328253160792547328,2020-11-16 08:26:45,if we had a good de
1328249351395688450,2020-11-16 08:11:37,i actually support what twitter is d
1326877736485445634,2020-11-12 13:21:19,
1320689317174333442,2020-10-26 11:30:45,huh i realize it well the fallacy on the bitcoin side is not that conservatism is valuable
1319161013518749698,2020-10-22 06:17:49,ie if you think bitcoin ethereum tron will take over but it would be a great tragedy
1315889183034990593,2020-10-13 05:36:43,in general ethereans are perfectly capable of evaluating the arguments that i raise for themselves
1315889028852375552,2020-10-13 05:36:07,yeah i would much like i publicly admitted my realization that plasma cant solve all scaling p
1312318724020428802,2020-10-03 09:09:00,hmm that was back in i kinda forgot whether or not stealing everyones bitcoin was my sole int
1307602475092828160,2020-09-20 08:48:18,its totally possible that eventually bitcoin miners will institute a soft fork where they reje
1305325068742881282,2020-09-14 01:58:42,i know that theres a substantial bitcoin maximalist european contingent too
1305142163504652289,2020-09-13 13:51:54,pretty much all bitcoin maximalists i talk to eventually call me a socialistcollectivist for one
