id,created_at,text
1299753126757625856,2020-08-29 16:57:48,rt if your bank offered an fdicinsured up to k custodial bitcoin wallet would you deposit bitcoin in it
1261630085196656640,2020-05-16 12:10:26,its simplebitcoin is an open uncensorable payment system its payment token is called a bitcoin
1252161241214267392,2020-04-20 09:04:38,rt doing a lockdown without building up capacity to do massive testing full population mask distribution and large scale conta
1241135470316146688,2020-03-20 22:52:09,question for crypto twitter would it be possible to build a decentralized whatsapp that uses a public bitcoin or e
1240014035191582726,2020-03-17 20:35:58,if the financial crisis led to bitcoin what will be the major technology innovation that we see from the coronacrisis
1213585240721121285,2020-01-04 22:17:23,what are the coolest dapps should i know aboutethereum bitcoin blockchain
1212520502608171012,2020-01-01 23:46:30,what are your biggest blockchain predictions for the sbitcoin ethereum
1205928617215221760,2019-12-14 19:12:42,are there any stats on the growthvolume of stablecoinsim doing some researchethereum bitcoin
1192924928712073219,2019-11-08 22:00:41,interesting argument i get the logic completely time will tellbitcoin
1188516950009434113,2019-10-27 18:04:57,lol i think that will become a standard reply to many of the ludicrous claims put forward by the bitcoin maxies
1187508630976974848,2019-10-24 23:18:15,incepted is not a word that i know clarification please
1179737097898463232,2019-10-03 12:36:57,a digital representation of valuea better defn cover everything from btc to tokenized rockd
1171868857205739521,2019-09-11 19:31:22,your definition pr
1171861135877951489,2019-09-11 19:00:41,the is implication
1171859059181596673,2019-09-11 18:52:26,the problem with
