id,created_at,text
1344092010140086273,2020-12-30 01:24:41,where is the liquidity gonna flow i wonder bitcoin
1344091143408119808,2020-12-30 01:21:15,bitcoin is gonna start buying super bowl ad production quality memes could get interesting
1344089676626472962,2020-12-30 01:15:25,did it anyway its tired debunked old conspiracy now not sure yet another china ban bitcoin wo
1344086195677097987,2020-12-30 01:01:35,right and theyd switch to bitcoin payments or use another stablecoin
1343841105046077441,2020-12-29 08:47:41,actually that is for lightning channels for bitcoin its noncustodial i think deleted the op to avoid confusion
1343833455034064898,2020-12-29 08:17:17,ofc despite being a bitcoin maximaliat yourself capital allocated mostly to bitcoin youre talking
1343724296351473665,2020-12-29 01:03:32,well fwiw hes almost allin bitcoin its just talking his book as his business is shifting altcoins
1343722912839315459,2020-12-29 00:58:02,also it is far cheaper to transact and assay bitcoin no costs gold
1343682865985368064,2020-12-28 22:18:54,decisions decisions to bury a bitcoin safe in house foundations
1343667566171062279,2020-12-28 21:18:06,stay humble a constructive version of step aside of bitcoin freight train any
1343529925668720640,2020-12-28 12:11:10,its not good to have white collar criminals stealing newcomers money and getting bitcoin rich via eth rug
1343522355583315968,2020-12-28 11:41:05,blocked him for misinformation of comparing bitcoin with shitcoin with political centralis
1343298013490515968,2020-12-27 20:49:38,diversification alts icos and forks are a mechanism to transfer bitcoin from newcomers to shitcoin
1343293663133265921,2020-12-27 20:32:21,help people focus on bitcoinsaved them getting rekt on alts
1343183091003764737,2020-12-27 13:12:58,lols hearn failed experiment ragequit bitcoin x up since then
1343137223584186368,2020-12-27 10:10:43,because bitcoin is narrative stuff shitcoiners day
1342941733127118849,2020-12-26 21:13:54,that was sweet but as observed paid for in brand damag
1342915861460475905,2020-12-26 19:31:06,i think there is one funded btc coin left someone posted pic on bitcoin talk a while b
1342511843160584196,2020-12-25 16:45:40,satoshi said that to the infamous larimer yes lols on bitcointalk
1342389485141684225,2020-12-25 08:39:28,happy crimbo bitcoiners
1342388658612150272,2020-12-25 08:36:11,finally an alt innovation adopted by bitcoin the first i think
1342267090443489281,2020-12-25 00:33:07,was reminiscing adding up fork value in btc with some bitcoiners insane how much money th
1342265459022839809,2020-12-25 00:26:38,not me and its good that we dont know and imo like never well as it helps bitcoin be decentra
1342234112837492737,2020-12-24 22:22:04,hfsp entering bitcoin lexicon made it so maybe a shorter form of the gem satoshi quote if you do
1342228461444882432,2020-12-24 21:59:37,around this time years ago satoshi was putting the finishing touches on the first bitcoin release
1342146370539556866,2020-12-24 16:33:25,anyone who was buying shitcoins on the next bitcoin thesis has to introspect institutions are conserv
1342068405742923776,2020-12-24 11:23:37,a
1342064776948543488,2020-12-24 11:09:11,a
1341916486261157889,2020-12-24 01:19:56,diversification bitcoin alts bitcoin wobble alts
1341764990592794624,2020-12-23 15:17:57,look what turned up in malta thanks seems like a new cypherpunk zine maybe co
1341730629600178178,2020-12-23 13:01:24,well notably with ltc there are no insiders nor profit seeking company with a m
1341729203964690433,2020-12-23 12:55:45,yes probably more are concerned about misselling fraud dumping on retail systema
1341725033492742148,2020-12-23 12:39:10,there is a unl and more validatornode diversity realistically a big chunk of eth
1341724303759327234,2020-12-23 12:36:16,to think many many people sold that for x current btcbch price for more bitcoin wealt
1341721245671432193,2020-12-23 12:24:07,most of eth was premined to this date similar percentages held by promoters and
1341679660879507456,2020-12-23 09:38:53,buy more bitcoin be an activist investor and miner with some allocation the market does not as much hear
1341534705561317377,2020-12-23 00:02:52,they hold bitcoin on their balance sheetbitcoin not crypto
1341331105811673090,2020-12-22 10:33:51,bitcoin is bearer ecash not opinion fact
1341305449291890688,2020-12-22 08:51:54,not crypto xrp if there is fall out on bitcoin from your scam thats on you
1341008205304967172,2020-12-21 13:10:45,just permabull logic bitcoin down cheap bitcoins btfd
1340993827927154688,2020-12-21 12:13:37,there are many self custosytrustless bitcoin ex
1340805312358608898,2020-12-20 23:44:32,if history taught them anything it is that they can ship garba
1340803158600282112,2020-12-20 23:35:58,any public ones curious to look i tend to have other people order such stuff for me and pay in bitcoin
1340786845140070403,2020-12-20 22:31:09,nooo do the opposite of what is saying the only investment grade crypto currency is bitcoin
1340776617677885446,2020-12-20 21:50:30,bitcoin is bearer ecash as you have a wallet and your own keys you dont need middlemen to transactsaying sel
1340690378769522693,2020-12-20 16:07:49,have a look at simplicity a bitcoin and targeted low level language designed fo
1340672538859479044,2020-12-20 14:56:56,youd be better off low leverage for risk margin long bitcoin
1340668500558405636,2020-12-20 14:40:53,still holding bitcoin bought in that dip advantage of the holder value investor mentalit
1340644900698775553,2020-12-20 13:07:06,it is not the st thing you see in a photo like that have to zoom in to see bitcoin saying anything but bitc
1340602037722079232,2020-12-20 10:16:47,gigasats btc bitcoin bits sats kees bits etc the street chooses its own names
1340455787148283906,2020-12-20 00:35:38,liquid is a bitcoin layer like lightning but optimized for traders and assets
1340452750723837953,2020-12-20 00:23:34,no because they invented selfhosted wallet a term which no one used resist language r
1340442932172779520,2020-12-19 23:44:33,haha decentralised shitcoin debunking
1340316840858402818,2020-12-19 15:23:31,bitcoin weekend thingsmore aths flashing
