id,created_at,text
1344130116226527232,2020-12-30 03:56:07,we need you on earth to send bitcoin to the moon
1342546481543340032,2020-12-25 19:03:19,yep you can withdraw to any bitcoin address or usd bank account
1341504527153975296,2020-12-22 22:02:57,bitcoin back at bulletproof
1340785304417005570,2020-12-20 22:25:01,rt elon contemplating how he can single handedly get bitcoin to
1340342915189657601,2020-12-19 17:07:08,bitcoin will last a lifetime
1339985482109882371,2020-12-18 17:26:49,big week for bitcoin
1339385334782672899,2020-12-17 01:42:03,there are definitely easier jobs but building a bitcoin company is so incredibly fun and i wouldnt trade it for anything
1337840954523459587,2020-12-12 19:25:14,bitcoin dividends for all
1337413500784795651,2020-12-11 15:06:41,on a mission to make bitcoin more accessible to all appreciate you and the shoutout
1334963205291077634,2020-12-04 20:50:05,rt a new episode of lolli tv is up on youtube talks about bitcoins new ath yellen as treasury secretary th
1334581414885470209,2020-12-03 19:32:59,is many peoples first experience with bitcoin but its also many retailers first bitcoin
1333577474320502785,2020-12-01 01:03:41,off bitcoin back at for cyber monday is an absolute gamechanger appreci
1333470035420045315,2020-11-30 17:56:45,breaking all kinds of records on today while bitcoin is breaking all time highsmonumenta
1333260926598963200,2020-11-30 04:05:50,rt if you earned in bitcoin by shopping on last cyber monday youd now have in bitcoinif y
1332767516532350982,2020-11-28 19:25:12,this is the stage were at with bitcoin adoption
1332470511268454403,2020-11-27 23:45:00,thanks for sharing and bitcoin with the world
1332445841282490368,2020-11-27 22:06:58,rt our good friend and fellow bitcoiner teaching million people how to stack satsthis is what bitcoin adopt
1332437241227075586,2020-11-27 21:32:48,this is definitely good for bitcoin
1332437040491851779,2020-11-27 21:32:00,our team put together a list of some of the best bitcoin back deals this weekend
1332383300380487686,2020-11-27 17:58:27,adorama bitcoin backmac of all trades macsales
1332368514016038912,2020-11-27 16:59:42,definitely in bitcoin
1331665779180318723,2020-11-25 18:27:17,this is very good for bitcoin
1331418759601524746,2020-11-25 02:05:43,thats how its done
1331261505640275970,2020-11-24 15:40:51,rt lolli was featured on today this is what bitcoin adoption looks likethank you to for telling o
