id,created_at,text
1344662905061593091,2020-12-31 15:13:13,
1344360023489736704,2020-12-30 19:09:41,can we get k bitcoin to end the year
1343761800924450817,2020-12-29 03:32:33,pomp requirement long btc
1342985880819085313,2020-12-27 00:09:20,people did more transaction volume on the bitcoin payment rails last year than they did on venmo paypa
1342958051570163712,2020-12-26 22:18:45,walked away for an hour and i miss you savages doing gods work
1342595073544957953,2020-12-25 22:16:24,appreciate you
1342589313159196678,2020-12-25 21:53:31,listen mr weak hands if the guy has bitcoin in his bio then he counts
1342541810305003521,2020-12-25 18:44:45,im donating bitcoin which is just under k
1342272049293783041,2020-12-25 00:52:49,
1342260535614697472,2020-12-25 00:07:04,im in for bitcoin
1342260020797386757,2020-12-25 00:05:01,we had to set up bitcoin donations in the payment flow it is live now
1342094645724131328,2020-12-24 13:07:53,rt the market has rendered a decisive victory for the bitcoiners says in a time of crisis in a time where p
1335968429208186882,2020-12-07 15:24:29,zero time left
1335738341753499658,2020-12-07 00:10:12,this depiction of the nyc skyline just sold for bitcoin to the digital art ma
1333916390533828612,2020-12-01 23:30:25,a bitcoin is priceless
1333066028121780225,2020-11-29 15:11:22,this has nothing to do with bitcoin just a factual statement that most investors dont like to recogn
1332172511136657409,2020-11-27 04:00:51,rt i bought more bitcoin last nighti bought more bitcoin this morningdollar cost averaging and multiyear time horizons
1332064376854089741,2020-11-26 20:51:10,only if winner gets bitcoin and loser gets gold
1332031360538644483,2020-11-26 18:39:58,bitcoin is already regulated you cant break the law with bitcoin or you get in trouble governm
1332030205607747600,2020-11-26 18:35:23,i bought more bitcoin last nighti bought more bitcoin this morningdollar cost averaging and multiyear time h
1331723072504795136,2020-11-25 22:14:57,the currency markets arent a settlement systembitcoins settlement system is different than bitcoin
1331560935580979201,2020-11-25 11:30:40,rt i dont think its that crazy to see k bitcoin price by the end of says on btc
1331367676397166595,2020-11-24 22:42:44,rt explaining why janet yellen is one big marketing campaign for bitcoin
1331247699782496263,2020-11-24 14:45:59,bang bang jimmy bitcoin bull
1330895648040902656,2020-11-23 15:27:03,rt new episode with is livewe discuss the gold thesis the bitcoin thesis the recent divergence whether they wil
1330853567666806785,2020-11-23 12:39:51,new episode with is livewe discuss the gold thesis the bitcoin thesis the recent divergence whether
1330249560820740099,2020-11-21 20:39:44,the asset bitcoin is different than the settlement system bitcoin same name but two different things
1327055261417267200,2020-11-13 01:06:44,yes only days in bitcoins history is unprofitable now if you bought and held till today
1327019924489986051,2020-11-12 22:46:19,ha dan is always two steps ahead i love that we both use the casebitcoin website though it is so well done
1326868566398955520,2020-11-12 12:44:52,smart th grader tho
1326147768163954689,2020-11-10 13:00:41,
1324517773154914304,2020-11-06 01:03:40,bitcoin bros
1324517051273256960,2020-11-06 01:00:48,bitcoin
1324481139793416203,2020-11-05 22:38:06,because peter is better than me at podcast things
1324342596576174085,2020-11-05 13:27:34,that is a good one
1321257161113165824,2020-10-28 01:07:09,i only own bitcoin
1321047565526278145,2020-10-27 11:14:18,bitcoin billionaires the bitcoin standard or digital gold
1320850404205318147,2020-10-26 22:10:51,
1319335468949975040,2020-10-22 17:51:02,
1319285298023460870,2020-10-22 14:31:40,lets go congrats
1319266693131141120,2020-10-22 13:17:45,i like bitcoin more now than i did at start i think were in the first inning and we have a long way to goi
1317087807697989633,2020-10-16 12:59:38,rt this is a great way to learn all about s new bitcoin mining subsidiary foundry
1316371890529804290,2020-10-14 13:34:50,haha probably
1315648213643415553,2020-10-12 13:39:12,in a hyperbitcoinization scenario governments will still be able to catalyze economic growththeyll just be for
1315379812794597379,2020-10-11 19:52:40,check out which lets you use a selfdirected ira to buy bitcoin without taking money o
1315378968351121415,2020-10-11 19:49:19,check out which lets you hold bitcoin and your private keys too
1314995595338186752,2020-10-10 18:25:56,of bitcoins circulating supply has not been moved in over a year according to these are strong
1314196738459213825,2020-10-08 13:31:33,bang bang smart family
1313537823358754816,2020-10-06 17:53:16,rt thanks for having us on pomp always enjoy it link below to our discussion on businesses adopting bitcoin and what were
