id,created_at,text
1341993986576142337,2020-12-24 06:27:54,if bitcoinonly people want to stand aside i certainly dont judge it is
1336065385368436737,2020-12-07 21:49:45,interesting my partner just pointed out that microstrategy is raising debt to buy bitcoin
1334245336018083840,2020-12-02 21:17:31,oh cool so they are giving you their coin and then you can convert that coin to btc im a little confused
1333896485709049856,2020-12-01 22:11:19,or its all in one bitcoin wallet
1327059492140249088,2020-11-13 01:23:33,rt most people have only two modes when it comes to bitcoin not paying attention am i too late
1324417161197056000,2020-11-05 18:23:52,rt the us dollar is collapsing in value against bitcoin today
1323090485691383808,2020-11-02 02:32:08,in most ways that matter bitcoin is at an all time high and has never been healthier
1318742021809479680,2020-10-21 02:32:53,well owes me btc if i make it one year without joining so
1316974325208129536,2020-10-16 05:28:41,i vote all over the place
1316541912812199937,2020-10-15 00:50:26,rt while everybody has been focused on our bitcoin accumulation the ethereum trust now holds over of all eth
1316209052322422784,2020-10-14 02:47:46,rt jpmorgan calls squares bitcoin investment a strong vote of confidence for the cryptocurrency in a new reportby
1312102139775205376,2020-10-02 18:48:22,rt me dont say itno oneme dont you dare say itno oneme whispers bitcoin fixes this
1307468887303176192,2020-09-19 23:57:28,rt ive been writing about bitcoin for years and never thought id see mainstream media publish such a beautiful magazine as
1301597735880069120,2020-09-03 19:07:37,i actually thank the politicians for their actions because those actions led inevitably to bitcoin also that s
1294379911172382720,2020-08-14 21:06:33,rt if your financial advisor hasnt recommended a small allocation of your portfolio to bitcoin by now its time to fire them and h
1293673413475614721,2020-08-12 22:19:11,rt just in will offer bitcoinbacked cash loans to select us customers beginning this fall repor
1291543186188324864,2020-08-07 01:14:25,year old family friend asked wherehow to buy bitcoin my dad pointed him to success
1290894452005855232,2020-08-05 06:16:35,rt square says cash app generated million in bitcoin revenue during q posting million in gross profit
1290388922933993472,2020-08-03 20:47:48,rt how can i see a bitcoin do i need bitcoin goggles can i mine it with the green hammer ddtg
1286063828296318976,2020-07-22 22:21:25,banks can now hold bitcoin behind the occs big decision and why it matters
1283511743474397184,2020-07-15 21:20:20,this is a bad look for bitcoin and crypto but its a much worse look for twitter
1283159226194358272,2020-07-14 21:59:34,rt did just become a validator luna btc defi
1253490492131532800,2020-04-24 01:06:36,rt its weird how hedge fund managers bankers and ceos have made fun of bitcoin for being a scam and now irresponsible maj
