id,created_at,text
1340304446992093185,2020-12-19 14:34:16,rt jefferies wood cuts gold exposure in favor of bitcoinby
1339965719983828993,2020-12-18 16:08:17,the year bitcoin went institutional via
1339218995044610048,2020-12-16 14:41:04,twitter is going to be so annoying today for nonbitcoiners
1337794570990612487,2020-12-12 16:20:55,i have a sneaking suspicion that a good chunk of the recent ipo windfalls are going to find their way into bitcoin
1337770641836154882,2020-12-12 14:45:50,rt looking for new ways to secure your financial future start growing your bitcoin today and earn interest pa with luno
1337446273226567688,2020-12-11 17:16:54,rt microstrategy raises m for bitcoin buys in boosted sale of convertible senior notesby
1337143659444232199,2020-12-10 21:14:25,i cant believe you still dont own any bitcoin
1337002117517766656,2020-12-10 11:51:59,not sure how i feel about having the bitcoin price ticker on the screen all day longbullish or bearish
1336635498509578243,2020-12-09 11:35:10,rt ray dalio founder of the worlds largest hedge fund says bitcoin can form part of a diversified portfolio though he may st
1336094067143348226,2020-12-07 23:43:43,rt new is raising million to buy more bitcoin reports
1334488552722354180,2020-12-03 13:23:59,rt imagine being a gold bug and waiting years for the end of fiat only to be demonetized by bitcoin right before it hap
1333770201398128641,2020-12-01 13:49:30,rt youre seeing more and more institutional pathways says on bitcoins bull run it is a digital gold story
1333209482365706242,2020-11-30 00:41:25,guess the black friday bitcoin sale is officially over hope you stocked up
1331611390692483075,2020-11-25 14:51:10,wow ceo of says that retail interest in bitcoin in africa and beyond has tripled over the past month
1331274856256724993,2020-11-24 16:33:54,rt gold is dropping as bitcoin heads for record highs
1329787970329726977,2020-11-20 14:05:33,rt cio of fixed income at investment management giant has said bitcoin could replace gold to a large
1329483375053320192,2020-11-19 17:55:11,this is a very big dealand one of the reasons im so bullish on bitcoin and bearish on gold
1329477606715125766,2020-11-19 17:32:16,going down memory lane this was my first bitcoin tweet i believe
1329074679575769088,2020-11-18 14:51:11,jamie dimon says hes still not a fan of bitcoin at s dealbook summit
1328706468644859904,2020-11-17 14:28:02,rt the surge in bitcoins continues today prices are nearing alltime highs with a notable difference compared to three years
1328298186675539970,2020-11-16 11:25:40,rt a senior executive at citibank has penned a client report suggesting bitcoin could shoot higher than by next decembe
1327687310545215490,2020-11-14 18:58:16,this is why bitcoin is going to destroy golddropgold
1326217283316887553,2020-11-10 17:36:54,according to bitmain and microbt are both sold out of new bitcoin mining equipment through april
1325883593474846720,2020-11-09 19:30:57,rt in a cnbc appearance monday billionaire investor stanley druckenmiller disclosed that he owns bitcoin re
1325874907641733120,2020-11-09 18:56:26,druckenmiller is a bitcoin bull bull bull
1325116411891560449,2020-11-07 16:42:26,rt the bitcoin story is very easy its supply and demand miller said bitcoins supply is growing around a year and th
1324487361972051969,2020-11-05 23:02:49,people will never again say bitcoin is dead never
1324387003883048962,2020-11-05 16:24:02,the us dollar is collapsing in value against bitcoin today
1323418449754918920,2020-11-03 00:15:21,once you realize that bitcoin is a movement more than anything else it is hard not to fall in love with it
1322958698076164099,2020-11-01 17:48:27,while stocks oil and gold prices careened last week bitcoin set new highs for the year via
1321595068214583297,2020-10-28 23:29:52,hey bitcoin sellers is that all youve got
1321434713354047489,2020-10-28 12:52:41,trump wins brrrbiden wins brrreither way bitcoin wins
1321178710553350146,2020-10-27 19:55:25,gold gt bitcoin will be the largest transfer of wealth in history
1321129139118710786,2020-10-27 16:38:26,rt new a survey from investments found more than half of us investors are interested in making a bitcoin allocati
