id,created_at,text
1225110427777949696,2020-02-05 17:34:22,alsothis is the same guy that said bitcoin will go to k in notnostradamushe did predict tom
962103829410951168,2018-02-09 23:20:02,rt are you seeing elon musk donald trump and jeff bezos asking you to send them bitcoin its a scam and one thats backed by t
947893299632893952,2018-01-01 18:12:28,rt here are the top cryptoassets of and bitcoins rise doesnt even make the list
940271720887447552,2017-12-11 17:27:02,historic day for crypto demand for bitcoin futures is so high it breaks the internet but critical to remember
920017078052098048,2017-10-16 20:02:19,rt bernanke at event blockchain has obvious benefits in payments not so much bitcoin swell
880394174293463040,2017-06-29 11:55:02,rt did you know xrp processes more transactions than bitcoin and ethereum combined at th the cost per tx un
864682891812290560,2017-05-17 03:24:01,what appears to have finally tipped bitcoin below the mark is the surge of xrp the token of the ripple ne
849113423254175744,2017-04-04 04:16:30,rt very proud of team for delivering two huge features escrow and payment channels xrp bitcoin lightning
849055171707404290,2017-04-04 00:25:02,as bitcoin transactions get slower with more volume were matching the throughput of visa welcome to the
845360030215917568,2017-03-24 19:41:51,rt the price of xrp continues to surge showing that people are looking for bitcoin alternatives via
