id,created_at,text
1334187720260857859,2020-12-02 17:28:35,i dont know its hard to ignore someone who wants to make your salary for example a talki
1324772660920963072,2020-11-06 17:56:30,i normally wouldnt care but these accounts usually solicit for btc and it makes me very sad when people fall for it
1237540149082198016,2020-03-11 00:45:38,rt is our guide to the decentralized ecosystem of teams building tezos as well as the tools and languages wh
1179729935440711682,2019-10-03 12:08:29,rt the tezos community has strong shared values arguably as strong as bitcoins thanks to all of those who p
1159185603885490177,2019-08-07 19:32:39,rt cryptosprings the hottest conference in bitcoin literally ill be there this september in palm springs ca
1151640668864954368,2019-07-17 23:51:46,rt after testifying on capitol hill explains what congress is getting wrong about bitcoin and facebooks libra
1130287021094608896,2019-05-20 01:40:00,rt asks narula of mit why bitcoin has value
1054416833175019521,2018-10-22 16:58:57,thanks for the kind words
1053299979647938560,2018-10-19 15:00:59,yes well its not without trade offs
1049710264034168832,2018-10-09 17:16:44,rt the latest podcast discussing tezos with and was fascinating here were some of the
1048529436176523265,2018-10-06 11:04:32,rt i really enjoyed having amp on to talk about a lot of contrarian views are driving th
1048206215090790402,2018-10-05 13:40:11,rt a supposed cheat for the massively popular video game fortnite turns out to be malware designed to steal bitcoin wallet login
1048169282885046272,2018-10-05 11:13:25,thanks claire it would be fun to catch up in paris or zurich soon
1043446058867720192,2018-09-22 10:25:01,yeah thats the most frustrating part for me
1041014270165540864,2018-09-15 17:21:57,rt i just published a short faq on tezos mainnet launch bitcoin tezos eth btc cryptocurrencyn
1018795717140406272,2018-07-16 09:53:21,rt why building robust distributed systems and cryptocurrency networks is so challenging and what aspects are we overlookin
989221481434505221,2018-04-25 19:15:54,rt female developers get in on the future of cryptocurrency and bitcoin and share the wealth have or
974664051803353088,2018-03-16 15:09:52,rt after countless late nights lines of code bug fixes and memeswe finally released lightning for bitcoin mainnet
936503031125995520,2017-12-01 07:51:36,well i think hubris is one part but the suspension of disbelief in the face of genius by cr
923413700349853696,2017-10-26 04:59:17,tezos is lucky that the news broke so late
923413561799426048,2017-10-26 04:58:43,i answered that on stage in a few days when the board convenes the ca
916098344513974272,2017-10-06 00:30:40,rt i hate headlines that begin with forget x and you definitely dont want to forget bitcoin but this is interesting
905839952084291584,2017-09-07 17:07:28,rt interviewer what aremost interesting to you beyond bitcoin and ethereum zcash tezos filecoin
890317416319795200,2017-07-26 21:06:28,adam is right the insight of tezos is that a blockchain is ultimately a coordination technology
857273245346668544,2017-04-26 16:40:43,we still have to revisit the gold bitcoin idea
852017132460056576,2017-04-12 04:34:48,rt john ferguson interviews on letstalkbitcoin about blockchains and governance
849805477730934785,2017-04-06 02:06:29,rt a good footnote from our original position paper bitmain bitcoin
837684127088300032,2017-03-03 15:20:33,rt today talks abt bitcoin the challenges she sees for private blockchain and her new project
836599275467386880,2017-02-28 15:29:45,rt just published the governance of blockchains featuring and
834085086496559104,2017-02-21 16:59:15,rt this is the worlds first cryptocurrency issued by a hedgefund bitcoin ethereum finance
831945096807329792,2017-02-15 19:15:42,broken lock fwiw i like these symbols for locks
830245655935201281,2017-02-11 02:42:44,rt glacier a stepbystep protocol for highsecurity cold storage of bitcoins
