id,created_at,text
1287415653318656002,2020-07-26 15:53:05,it depends look at the size of exchange custody balances gbtc etc the majority of main
1264135495061106688,2020-05-23 10:06:03,definitely need one of those to add to my eos closet
1206189497924276224,2019-12-15 12:29:20,a better way
1135291950783815680,2019-06-02 21:07:48,you cannot use bitcoin for this try the platform out someday we dont
1112958983659171840,2019-04-02 06:04:34,rt in the future most bitcoin will transact as a token on faster networks like eos while being ba
1110161732956127232,2019-03-25 12:49:17,yes bitcoin doesnt compete with fiat currencies it competes with goldpolicy will be
951086458336628736,2018-01-10 13:40:56,rt forgot my wallet password yesterday almost lost btc crypto will not go mainstream until balances are safe from lost pas
926091988407148544,2017-11-02 14:21:50,the usd has depreciated to bitcoin how low will it go
913374325025120256,2017-09-28 12:06:23,rt while jamie dimon of was bashing bitcoin his sf office was hosting a
894364900268548096,2017-08-07 01:09:43,bitcoin and ethereum are the largest continuous uncapped icos billion usd per annum
