id,created_at,text
1340304645332348929,2020-12-19 14:35:03,rt the honorable brock pierce paid us a visit at the advocates corner with clark pena bitcoin cryptocurrency
1340304515837341699,2020-12-19 14:34:32,rt the way i made my bitcoin money was when i met who convinced me he was an unstoppable force so i bought
1323438045127991297,2020-11-03 01:33:12,i think i can speak for bitcoin
1323417635414036481,2020-11-03 00:12:06,im not aware of anyone pushing for puerto rico being a bitcoin anything i invite you to educate me abou
1321107155290779650,2020-10-27 15:11:05,the most amazing and challenging experience of my life
1320558817742995456,2020-10-26 02:52:11,thank you full steam ahead
1318787519656435713,2020-10-21 05:33:41,thanks for your support bitcoin crypto blockchain brockthevote
1298039785462824960,2020-08-24 23:29:35,rt scoop is officially joining the presidential campaign for independent candidate and bitcoin billionaire
1282836482697261058,2020-07-14 00:37:06,rt thanks to for the amazing interview we discuss bitcoin and the us relationship potential running ma
1268710355796197382,2020-06-05 01:04:54,rt live bitcoin poker game follow for weekly live stream games
1258590810993377280,2020-05-08 02:53:27,rt we made the bitcoin halving song and got all our friends to join full video
1231221477636288517,2020-02-22 14:17:29,rt a huge thank you to for your inputs and amazing quote youre encouragement and investment into bitcoin and bl
1225817585712803840,2020-02-07 16:24:21,rt hey its been awhile since we chatted mostly because i i dont understand bitcoin but i finally got someth
1208021266332028928,2019-12-20 13:48:08,early bitcoiner
1189922243947593728,2019-10-31 15:09:05,rt spreading the good word on stage blockchain bitcoin constitution
1188914320723365890,2019-10-28 20:23:57,live w from in las vegas coinagenda blockchain bitcoin cryptocurrency
1184110843811815431,2019-10-15 14:16:39,rt and craig wright all on the same panel let the games begin bitcoin blockchain wear
1158146076865716224,2019-08-04 22:41:56,many people from the crypto community have moved here very few companies have moved
1157773446732009472,2019-08-03 22:01:14,still mostly in san juan and working on agriculture around the island
1149044906649739265,2019-07-10 19:57:08,rt
1149044870062825472,2019-07-10 19:56:59,rt
1137080875869442049,2019-06-07 19:36:21,brock pierce hails blockchain tech as a way to financial inclusion praises bear market cleansing via
1128661319979343872,2019-05-15 14:00:02,rt investing in crypto bitcoin crypto regulation nice video
1127213474650701824,2019-05-11 14:06:49,fluidity startup announces new system for ethereumbased mortgages in new york and california via
1126622919172313088,2019-05-09 23:00:10,rt i dont fully agree with that gox should stay a scar on bitcoins history im not sure if s pl
1124569746614177793,2019-05-04 07:01:35,
1124569676409966592,2019-05-04 07:01:19,
1124409627909722113,2019-05-03 20:25:20,
1124344447213477889,2019-05-03 16:06:20,
1124343607639539716,2019-05-03 16:03:00,
1119343496488521732,2019-04-19 20:54:20,rt real cool to see the bitcoin trading volume per exchange till today btc trading volume cryptolife thebitc
1116756628127145984,2019-04-12 17:35:03,most of us are big bitcoin believers but reco
1116059359010648064,2019-04-10 19:24:21,rt almost a decade ago who is an entrepreneur and venture capitalist was telling me a about bitcoin crypto and
1114243581248585728,2019-04-05 19:09:06,rt crypto trendsetter brock pierce has taken out the worlds first bitcoinbacked mortgage to buy a home in amsterdam h
1113901045996904448,2019-04-04 20:27:59,anythings possible i prefer to write my own script and perform on the main stage of life
1113900251012689920,2019-04-04 20:24:49,rt the first ever mortgage backed entirely by crypto assets by actor used bitcoin to buy a
1113834061884084224,2019-04-04 16:01:49,rt billionaire brock pierce takes out firstever bitcoinbacked mortgagebitcoin billionaire took out a cryptob
1113642560725999616,2019-04-04 03:20:51,rt go brock mighty ducks actor used bitcoin to buy m home in amsterdam foxbusi
1108667470234017792,2019-03-21 09:51:37,what have you built on bitcoin
1108636214079320064,2019-03-21 07:47:25,ive been in service to the bitcoin community a long time and also support other innovative derivatives th
1108526362443157504,2019-03-21 00:30:54,i think youre one of the only people who has suggested that im not actively supporting bitcoin
1106644479539183617,2019-03-15 19:52:59,i expect upward momentum in summer and fall with a strong bull run in
1104968860510281730,2019-03-11 04:54:40,rt rbitcoin bitcoin ampamp cryptocurrency security website does extensive research and lists proofs that craig wright is
