id,created_at,text
1339210949279043584,2020-12-16 14:09:06,time to party bitcoin style
1338155460281688065,2020-12-13 16:14:58,it does please check it again
1330586882217013249,2020-11-22 19:00:08,congrats to the top core core xrp xrp btc btc ltc
1330174205082603522,2020-11-21 15:40:18,tag those few friends who understand
1328818161194573825,2020-11-17 21:51:52,all looking good for bitcoin
1328776594090029061,2020-11-17 19:06:42,
1328685971135733761,2020-11-17 13:06:35,its all looking pretty bullish for bitcoin what price do you think we will see by thanksgiving
1328685199073406984,2020-11-17 13:03:31,time to party bitcoin style
1328095209138364416,2020-11-15 21:59:07,preach its looking very bullish for bitcoin
1327959985440104448,2020-11-15 13:01:47,always remember you can keep up with the latest bitcoin crypto market at cmc on the link below
1327017013718474755,2020-11-12 22:34:45,its looking all good for bitcoin
1326832943688523776,2020-11-12 10:23:19,you can always keep up to date with all the bitcoin altcoin prices on our homepage
1325898080877760520,2020-11-09 20:28:31,very bullish news for bitcoin seems every day more and more traditional investors companies are
1322353509375766528,2020-10-31 01:43:39,here are the top most searched on cmc this week bitcoinvault
1320168424232738816,2020-10-25 01:00:54,the mostviewed crypto assets this week are
1315877528305893376,2020-10-13 04:50:25,hey ritchie thats because youre looking at only one exchange with this market pair the price on our
1315778775372591105,2020-10-12 22:18:00,rt bitcoin
1314973000698007552,2020-10-10 16:56:09,
1314590330889678850,2020-10-09 15:35:33,rt according to bitcoin is still the market leader in cryptocurrency by a wide margin over nd place
1308997404004429824,2020-09-24 05:11:15,hi please submit conclusive evidence to and select feedb
1306467144000045057,2020-09-17 05:36:54,the bitcoin and black america session is not to be missed author isaiah jackson discusses
1304645837805555713,2020-09-12 04:59:41,were working on fixing it
1304502272257331201,2020-09-11 19:29:12,actually upgrade time
1297394953358921730,2020-08-23 04:47:15,hey the price of a cryptoasset on our site is the volumeweighted of all market pair prices for that
1296186320772108289,2020-08-19 20:44:35,great glad to help
1296186248009310208,2020-08-19 20:44:18,hi youre looking at coins only on our app please change your chart filter set
1296184611274448897,2020-08-19 20:37:47,hey clara thats because youre looking at coins only on the app change your filter set
1294684526325751809,2020-08-15 17:16:59,unfortunately when we asked no one on the team wanted to come forward and show off their crypto dance
1292150479317864452,2020-08-08 17:27:35,hi there would you be able to provide more details on the circumstances behind your case and concl
1288687290248835072,2020-07-30 04:06:07,were communicating with them
1288560280033734658,2020-07-29 19:41:25,may we know which project you are referring to thanks
1283128506331914246,2020-07-14 19:57:29,hi there we dmed you for more info
1268606799684554757,2020-06-04 18:13:25,hi there do you have any examples of this that we can relay to our team
1268251806372704263,2020-06-03 18:42:48,hi our confidence indicator detects and flags outliers where exchanges report far higher volumes than
1267583609575215105,2020-06-01 22:27:37,you should check our disclosure policy in regards to the acquisition he
1260400360545497091,2020-05-13 02:43:57,we report the data that exchanges report to us we understand that there are conc
1260301691364216833,2020-05-12 20:11:53,hi there have you checked out our liquidity score it was designed to combat exc
1259720446909362177,2020-05-11 05:42:13,fewer than blocks left to bitcoin halving from now until pm edt we are hosting a liv
