id,created_at,text
1342674948591124486,2020-12-26 03:33:48,rt k on the thbitcoinsee you on
1334717775898685441,2020-12-04 04:34:50,because basketball and bitcoin make the world go round very few items have universal app
1330348360805593088,2020-11-22 03:12:20,rt my idea of bitcoin succeeding is wealth generation for women
1317638106271666176,2020-10-18 01:26:19,
1312040089757929473,2020-10-02 14:41:48,rt me dont say itno oneme dont you dare say itno oneme whispers bitcoin fixes this
1305559456831299584,2020-09-14 17:30:05,were in ohio let us know how we can help you out
1291802192450469888,2020-08-07 18:23:37,
1291024037921976323,2020-08-05 14:51:31,hey why let amp be the only ones talking bitcoin lets make it h
1288538016022245382,2020-07-29 18:12:57,
1288396913251885056,2020-07-29 08:52:16,whats your sign im a bitcoin rising
1287797539169869826,2020-07-27 17:10:34,rt if you started a weekly recurring buy for of bitcoin on may st youd be up today for seconds of work you do
1284592234978070530,2020-07-18 20:53:50,this was gold or bitcoin i should have bought back then
1283585869996339200,2020-07-16 02:14:53,rt i love this bio of so much thrilled that shes working on bitcoin core and approaching some of bitcoins fundament
1281210810543595521,2020-07-09 12:57:15,withdrawing will go live later we will alert you when those are up and running deposits and trading vi
1278806548807065600,2020-07-02 21:43:34,rt have a bad habit of looking at the btc chart even more when it doesnt move and i know im not the only one
1277862947516223489,2020-06-30 07:14:02,rt buying my dad bitcoinbecause its never too early to invest in your parents future
1275422664912494593,2020-06-23 13:37:14,another deer sighting
1274729528829542400,2020-06-21 15:42:57,lauren begins her have you heard about bitcoin brunch manifesto
1274371445674696711,2020-06-20 16:00:03,never to late perfectly timed access to bitcoin
1274343445830778880,2020-06-20 14:08:48,hey and i would love to chat bitcoin with you looks like will get th
1261298451771469830,2020-05-15 14:12:39,no one more passionate that bringing bitcoin education t
1261139844991979520,2020-05-15 03:42:24,lets get as a bitcoin bar stool correspondent
1256658335207743490,2020-05-02 18:54:29,rt parisian bitcoiners are leveling upbitcoin
1254907308359987200,2020-04-27 22:56:32,was going to say too many characters for your bitcoin address
1235978626253770752,2020-03-06 17:20:42,rt are women less interested in bitcoin or is there an income gap behind the gender disparity in the space
1217609348303581185,2020-01-16 00:47:45,congrats the more managing directors with his level of understanding on bitcoin and cr
1214079870038241281,2020-01-06 07:02:52,ios and android thats the home screen after i just downloaded it
1212197632485068800,2020-01-01 02:23:31,rt this decade was bitcoin just warming up
