id,created_at,text
1296286135967080449,2020-08-20 03:21:13,you going to listen to me next time yfi gt bitcoin
1290085795802447872,2020-08-03 00:43:17,chicken rice for brekkie yum gotta be strong for the bitcoin rollercoaster ride price prediction down then up
1288630032433156097,2020-07-30 00:18:35,taking a break from watching the bitcoin charts nothing like a bowl of prawn noodles after crushing on the bike
1287902746532667392,2020-07-28 00:08:37,if you arent long bitcoin
1285490694111420418,2020-07-21 08:23:59,bitcoin awaken from thee slumber im getting fucking bored
1276300315361333249,2020-06-25 23:44:42,the return of the prodigal son of bitcoin welcome back
1272457533697871872,2020-06-15 09:14:51,spoos and bitcoin tanking at the same time what a shame take that jpow wampum and put it to good use
1260864412715347968,2020-05-14 09:27:56,stonks be rolling over bitcoin be mooning spx double bear market rally top at the retracement rut roh fire
1258528384025391109,2020-05-07 22:45:23,paul tudor jones just removed career risk from investing in bitcoin expect a lot of beta fund managers to begin c
1256462424691011584,2020-05-02 05:56:00,funding secured im taking bitcoin private at many thanks to the vision fund for their support
1255706879616888832,2020-04-30 03:53:44,this is what happens with bitcoin teams up with stonks thank you chairman powell you keep hope alive
1226350148017631233,2020-02-09 03:40:34,nothing can stop me im all the way up slow and steady wins the race lets take the staircase up to bitcoin
1189223017089523712,2019-10-29 16:50:36,went searching for bitcoin bears in the forest only saw carcasses thanks satoxi
1186009498508517377,2019-10-20 20:01:14,i had an awesome time in istanbul thanks for the bad ass football jersey i will definitely be back
1176985968349335552,2019-09-25 22:24:56,keep coming with these hits i cant wait for the ballad you produce once bitcoin retraces
1174542639796019200,2019-09-19 04:36:01,representing bitcoin at the singapore conference
1174200068683030530,2019-09-18 05:54:46,qeeva is coming once the fed gets religion again get ready for bitcoin
1103642368128020487,2019-03-07 13:03:39,look ma i can tell time real good with this bitcoin watch thanks to and for creating this
1066134916662874112,2018-11-24 01:02:26,dont be a grinch give it up
1021921285167665152,2018-07-25 00:53:15,take note this is what happens at k watch bitmex volumes when we near k bitcoin
1012803034206867456,2018-06-29 21:00:34,tune into right now to see me live in new york city to talk about bitcoin
1002750795236794368,2018-06-02 03:16:34,if you havent already peep the latest crypto trader digest bitcoin
996155485224042497,2018-05-14 22:29:10,rt bitmex ceo explains why bitcoin could hit btc
