id,created_at,text
1343496656520622080,2020-12-28 09:58:58,yo please check telegram
1343260245402021888,2020-12-27 18:19:33,dm
1342436891690414082,2020-12-25 11:47:50,breaking news joining our show on monday
1342435369929859072,2020-12-25 11:41:48,telegram dm
1338961626867888128,2020-12-15 21:38:23,rt bank of england governor said if you want to invest in bitcoin be prepared to lose all of your money bitcoin is
1338220478863962115,2020-12-13 20:33:19,rt peter schiff said what bitcoins lack is their own fundamental intrinsic value you cant do anything with a bitcoind
1271854011730333696,2020-06-13 17:16:40,today
1213846150484242433,2020-01-05 15:34:09,yes ok youre right these people that are actually working hard and building th
1181427898005229568,2019-10-08 04:35:35,rt check out hxro cofounder along with our friend and btc technical trading whiz break it down with
1175002440720158720,2019-09-20 11:03:07,this is how the joke would sound todaya boy asked his bitcoininvesting dad for bitcoin for his birthday
1173329750724620289,2019-09-15 20:16:26,rt btc bitcoin cryptocurrency
1165389052272623618,2019-08-24 22:22:56,rt sentiment is going to shits should be interesting alts btc
1143980288822792192,2019-06-26 20:32:09,rt heres what happens when you get all your bitcoin dorks in a row with and of course
1143630306110369793,2019-06-25 21:21:27,are you here
1143629632450596864,2019-06-25 21:18:46,shouldnt you be asleep
1143628156168839168,2019-06-25 21:12:54,but this tweet was published before the conference
1124690862523469824,2019-05-04 15:02:52,no way im not selling any bitcoin
1123683423925735426,2019-05-01 20:19:39,rt breaking united states tax payers have the option to receive their federal amp state refunds in bitcoin bitpay partner
1121604511544561665,2019-04-26 02:38:48,so far it seems to be a great call
1083616248070631424,2019-01-11 06:47:00,it was brilliant
1081431781398757381,2019-01-05 06:06:43,rt the block accused of yellow journalism apologizes to cnbc africas ran neuner bitcoin blockcha
1067466483188580352,2018-11-27 17:13:36,that would be true if i was the producer of the show im not the show is produced
1064952520437575680,2018-11-20 18:44:01,rt fuck your hodl fuck tafuck the next bitcoin fuck a bearfuck the rumors fuck the newsfuck your paid group leader a
1062729834797899784,2018-11-14 15:31:51,rt bitcoin btc jihani have no intention to start a hash war with csw because if i do by relocating hash power fro
1059855576023400449,2018-11-06 17:10:35,they are proposing using a currency where the kyc is built into the token not using btc
