id,created_at,text
1344644602569998336,2020-12-31 14:00:30,
1344161071305617409,2020-12-30 05:59:07,remember when some people asked why bitcoin halving didnt do anything to its pricewell now they know
1344158368877871104,2020-12-30 05:48:23,for those who asked why is bitcoin not a safe haven asset back in mar apr may this year now may be a good t
1343432819729596418,2020-12-28 05:45:18,rt bnb again bnb btc having a great hr candle
1343372685191958528,2020-12-28 01:46:21,bitcoin doesnt care lol
1343218553407696897,2020-12-27 15:33:53,often the first time people buy bitcoin they pay fees in fiat or btcthe nd time around they learn about th
1343212973486088194,2020-12-27 15:11:43,bitcoin will be the biggest fomo experience in human history in the next yearsdont be last
1343180528107675648,2020-12-27 13:02:47,btc quarterly futures already over
1343153036374339585,2020-12-27 11:13:33,btc on binance
1343134888925360128,2020-12-27 10:01:26,whats the worst bitcoin is going to predictions you have seen
1342687584917450752,2020-12-26 04:24:00,i rest just not on christmas i mean just not when bitcoin is making ath after ath
1342685528743768066,2020-12-26 04:15:50,rt whats good for bitcoin is good for bnb we let the king lead we follow
1342685339580657665,2020-12-26 04:15:05,whats good for bitcoin is good for bnb we let the king lead we follow
1342410975421452289,2020-12-25 10:04:51,learns something new everyday
1342374356228349953,2020-12-25 07:39:21,looks delicious i saw a bnb logo in one of the plates
1341381565524312065,2020-12-22 13:54:21,any companys treasury not buying bitcoin should be fired
1341095571688280064,2020-12-21 18:57:55,i was gonna ask what if my normal productive day involves bitcoin lol
1340845805293293568,2020-12-21 02:25:26,holding bitcoin gives you more than stimulusnot investment advice just what happened so far
1339961234402148355,2020-12-18 15:50:28,a friend just asked me how to buy bitcoin i asked back why now and not at he said all the news said bi
1339636922721816577,2020-12-17 18:21:46,
1339598297627938822,2020-12-17 15:48:17,microstrategy is up since announcing their investment in bitcoin acquired btc about mm in value
1339488445484343297,2020-12-17 08:31:46,rt binance charity
1339434444759781376,2020-12-17 04:57:11,years ago today bitcoin made its ath of and became the worlds largest exchange by hr tradin
1339240006234169344,2020-12-16 16:04:34,risk notice buying bitcoin is risky but so is not doing so
1339234375402049538,2020-12-16 15:42:11,if you are buying bitcoin on remember you get a discount on fees if you just hold some bnb in your
1339019916096069637,2020-12-16 01:30:00,imagine if you bought bitcoin at its ath at
1338690068974727169,2020-12-15 03:39:18,this is a bitcoin price chart yes btc not bnb
1337783473105354752,2020-12-12 15:36:49,nice michaels not selling his bitcoins any time soon those are effectively gone
1336321683586596866,2020-12-08 14:48:11,if you want to understandwhy you should be bullish on bitcoinor why company treasuries should allocate to
1335427654892179456,2020-12-06 03:35:38,nooo
1335077748641972224,2020-12-05 04:25:14,smart move just watch these bitcoins out perform almost all other businesses in the world over the next few mo
1333783640040300550,2020-12-01 14:42:54,rt this has happened a few times already in bitcoins short history
1333782423239225344,2020-12-01 14:38:04,this has happened a few times already in bitcoins short history
