id,created_at,text
1344334408271085568,2020-12-30 17:27:54,bn people have a smartphone the only requirement to use bitcoin in the long run its not obvious why most o
1343641075349536769,2020-12-28 19:32:50,tiger cub friend we dont invest in bitcoin because no cashflows to discountme therere no cashflows to eu
1341775709400748032,2020-12-23 16:00:32,we have a bitcoin shortage buyers like are buying more than of newlyissued bitcoin when you have
1340698683000557568,2020-12-20 16:40:49,the of people using bitcoin has grown by an order of magnitude every couple of years so has the pricei imag
1331242459402293249,2020-11-24 14:25:10,pantera bitcoin fund the bestperforming bitcoin fund is up it hit that in the confluence
1330910080569643012,2020-11-23 16:24:24,for billions of people the price of bitcoin is already at an alltime high bitcoinshortagemore on this here
1330560339126210573,2020-11-22 17:14:40,the price of bitcoin has been rising without one of the indicia of hype google searches for the word bitcoin
1329849238369542145,2020-11-20 18:09:00,paypalcashapp already buying more than of all newlyissued bitcoins paypal alone likely buying all within we
1321864820442976257,2020-10-29 17:21:46,rt now available our october blockchain lettertopics integrates crypto bitcoin on corporate balance sh
1291455975820419072,2020-08-06 19:27:53,tiger cub tmt friend we dont invest in bitcoin because there are no cash flows to discountme well therere
1275816871317475328,2020-06-24 15:43:40,rt will altcoins outperform bitcoin in the next bull marketwe discuss our portfolio weightings of bitcoin vs alts
1266790857715277825,2020-05-30 17:57:30,rt cme bitcoin futures provide a realtime proxy for the increase in institutional investment open interest recently surged
1266790717004931077,2020-05-30 17:56:57,cme bitcoin futures provide a realtime proxy for the increase in institutional investment open interest recently
1263178366900793344,2020-05-20 18:42:46,looking forward to discussing the macro case for bitcoin and cryptocurrency with longtime friend
1260643759383076866,2020-05-13 18:51:08,had a great discussion on the bitcoin halvingbitcoin isnt even priced into bitcoin every time t
1258446346165469184,2020-05-07 17:19:24,when janet yellen is telling the federal reserve to buy equities you shouldbuybitcoin my thoughts here
1257763173618159616,2020-05-05 20:04:43,bitcoin could hit in aug based on the change in the stocktoflow ratio across each halvingmore d
1245791434537488385,2020-04-02 19:13:18,we believe bitcoin will probably outperform other tokens in the nearterm whyits already built it works
1127997688648294401,2019-05-13 18:03:00,rt today were pleased to update you on the launch of bitcoin futures contracts developed by bakkt in collaboration with ice futur
1027350398313459712,2018-08-09 00:26:36,rt waiting for a bitcoin etf dont hold your breath says ceo of
967197031046397952,2018-02-24 00:38:36,going on stage sun valley event tonight with my old college buddy talking bitcoinbl
943070690881785858,2017-12-19 10:49:08,pantera bitcoin fund returns featured on cnbcs squawk box at am est bitcoin
935587468392456192,2017-11-28 19:13:29,rt happening now the first us bitcoin investment firm fund up since laun
916009618567864320,2017-10-05 18:38:06,rt a good read bitcoin is essentially going to revolutionize currency or money bits
898304636121001984,2017-08-17 22:04:49,rt check out my cover story for this months about icos tokensales bitcoin ethereum crypto
888763815113785344,2017-07-22 14:13:00,its not bitcoin or ethereum this digital currency rose in the first half of
864873124281499648,2017-05-17 15:59:56,rt to be continued bitcoin was in need of a specialized online exchange and one thing led to another followtheline
863854246499725312,2017-05-14 20:31:16,updated sean spicer tweeted a bitcoin address not his password bitcoin has so many use cases
862689561536626689,2017-05-11 15:23:14,rt us market debit and credit card bitcoin purchases now available in the us simple trading
850829455463333888,2017-04-08 21:55:24,the first investor in snapchat thinks bitcoin could realistically be worth by via
847163617766080512,2017-03-29 19:08:40,rt shapeshift raises million series a blockchain finance bitcoin ethereum venturecapital
845061786185412609,2017-03-23 23:56:44,rt morning market map bitcoin and blockchain cos pulled down m in amp heres where the went
844591033472106496,2017-03-22 16:46:08,todays euphoria over bitcoin ethereum tokens bipolar opposite of the dejected depression when we last made trade recommendation
826266811565961218,2017-01-31 03:12:13,congratulations to on raising mm to build out bitcoinenabled crossborder payments via
816009274228817920,2017-01-02 19:52:26,rt a new order of magnitude to celebrate a new year bitcoinonethousand
792070742657511425,2016-10-28 18:29:15,the feature sets can be compared zcash is the superset of bitcoin bitcoin has a tremendous network effect
783365619852816386,2016-10-04 17:58:12,rt really interesting talk by on and the future of bitcoin at the judge business school
778233114539679745,2016-09-20 14:03:28,rt now you can transfer your bitcoins tofrom your ledger hw wallet using bitstamps interface
760138635861561345,2016-08-01 15:42:28,content producers should want bitcoinenabled micropayments huge long tail of content to monetize
760135225619812352,2016-08-01 15:28:55,x faster securely shielded from rd party tracking bitcoinenabled micropayments browser awesome
751984537865842689,2016-07-10 03:40:59,or bitcoin miners still crazy cheap x cheaper than
750432126663745536,2016-07-05 20:52:16,riskadjusted bitcoin best performing asset class sharpe ratio normalizes return rel t vol
748565025355247617,2016-06-30 17:13:04,for reference the price of bitcoin increased over similar period during the first bitcoinhalving in late
748564356842029056,2016-06-30 17:10:24,btc bet change from mo prior to bitcoinhalving to after median increase bitcoin since june
748562545066156032,2016-06-30 17:03:13,so far bitcoin price action over the bitcoinhalving spot on forecast from sept bitcoin pacifica conference
748203563977891841,2016-06-29 17:16:45,peak ccy market cap bn mm invested in venture bn total value bitcoin ecosystem todaybn bn bn
