id,created_at,text
1187827348818841602,2019-10-25 20:24:43,rt ok while btc is up on a china comments lets enjoy this commercial break from digitalassetr
1083492284765753353,2019-01-10 22:34:25,lcherlich dieser typ
1081230677897564161,2019-01-04 16:47:36,rt iota ber das tangle mit private key und public key chatten
1064901377355337728,2018-11-20 15:20:47,coordinator suicide quite an ingenious term for the most important research topic in iota
1044164660767977472,2018-09-24 10:00:29,its ridiculous how exchanges charge listing fees nowadays btc and more usually are we going to get a share of
985158291608268800,2018-04-14 14:10:14,rt the internet of everything blockchain crypto iota iotastrong bitcoin iotday
942329465446727680,2017-12-17 09:43:46,nothing to see here except for concern trolls like peter todd
942328728318894081,2017-12-17 09:40:51,sigh i tried to help him figure out what happened he didnt even know how to attach an address tu
942328497393012736,2017-12-17 09:39:56,funny how peter todd is spreading false news without even fact checking articles what are you even
915095203714945025,2017-10-03 06:04:32,rt we met dom the cofounder of iota in seoul read our latest article iota bitcoin blockchain cryptocurrencyh
910084384291684352,2017-09-19 10:13:20,rt die blockchain revolution heute gastbeitrag im handelsblatt bitcoin iota
833947002752753665,2017-02-21 07:50:34,life goal achieved making it to the front page of rbitcoin i guess were doing the right thing after all iota
797891333826473984,2016-11-13 19:58:12,rt whenever i see a bitcoiner play the lightning network trump card i shake my head and channel my inner
792007079091396608,2016-10-28 14:16:17,rt updated the meetup page with the exact agenda well have sessions by patrick schidler and
791237767443386368,2016-10-26 11:19:18,rt lol at antpool mining an empty block while rbtc is hysterical over the transaction backlog
748847478280187904,2016-07-01 11:55:26,klar willst du einen skype call machen evtl meine email ist domme
744045931482472449,2016-06-18 05:55:48,didnt take too long for the bitcoin community to pat their backs for being conservative boring unwilling to try
718504663570653187,2016-04-08 18:23:55,officially have no more bank account i guess ill be unbanked for the next few months at least until im in berlin surviving on btceth
711896093852835840,2016-03-21 12:43:49,rt well here it is my thoughts on women in bitcoin and blockchain tech would love feedback and ideas
708419835391246338,2016-03-11 22:30:25,of course the largest mining hardware producer thinks that bitcoin is the one and only one bitcoin blockchain
690435423563337728,2016-01-22 07:26:47,bitcoinmagazine just published my short interview on cargochain hackathon bitcoin ethereum
677523945696940032,2015-12-17 16:21:11,and rbitcoiners were like omg thats not the real blockchain
