id,created_at,text
1268141560404815872,2020-06-03 11:24:43,rt the battle for the future of money part of moneyreimagined on on where bitcoin usd tether libra
1239937810028810240,2020-03-17 15:33:05,guessing that brings you down to about try ac
1219576429609996288,2020-01-21 11:04:14,rt how blockchain will shake up the financial world questions for author alex tapscott
1165079642186899456,2019-08-24 01:53:27,this is amazing and inspiring everybody take note rt this please blockchain bitcoinnews bitcoin ethereum
1143974361801658374,2019-06-26 20:08:36,great explanation of the bitcoin surge
1143919587924332544,2019-06-26 16:30:57,be interested to see the extent to which bitcoins recent rally might be attributed to the libra announcement any thoughts
1143218435398279168,2019-06-24 18:04:49,as the price of bitcoin increases so too does the number of impersonators trying to scam my followersi will nev
1128728048705122304,2019-05-15 18:25:12,this is the first time a major tech company has built on top of the bitcoin blockchain and for a decentralized id
1072866210012774400,2018-12-12 14:50:12,a lot has been made of the current price of bitcoin and the crypto asset market this piece does a good job explain
1066166294939123712,2018-11-24 03:07:07,rt canadas crypto companies are wondering if theyre better or worse off with the governments delay in regulating bitcoin bl
1057712351988908034,2018-10-31 19:14:10,rt replace netflix with bitcoin sound familiar leaders of old paradigms are always the last to embrace the new
1057703806736195586,2018-10-31 18:40:13,there is nothing more powerful than an idea whose time has come victor hugobtcbirthday blockchain btc
996066154581020673,2018-05-14 16:34:11,rt just chatting about bitcoin backstage with founderceo of fedex executive vp of fedex and the indomitable n
984518586898239489,2018-04-12 19:48:17,rt i will be speaking at in vienna on april th about how blockchain bitcoin and other cryptocurrencies a
968838154680717312,2018-02-28 13:19:50,rt major players in blockchain newswhat has been creating buzz about dlt tech crypto bitcoin cryptocurrency in las
952212387150598144,2018-01-13 16:14:59,rt reading review by of books by amp on blockchain amp bitcoin and my
950387468486021120,2018-01-08 15:23:24,rt and interview for the biggest portuguese newspaper this bitcoin wave will continue http
943653250015879168,2017-12-21 01:24:01,rt we were ridiculed for forecasting that bitcoin would triple in value reviews his blockchain predictions
924992515521908736,2017-10-30 13:32:55,rt why bitcoin is making banks nervous technology
895658667688767488,2017-08-10 14:50:41,rt on how blockchain changes monetary transactions blockchain bitcoin security cryptocur
892889591237271552,2017-08-02 23:27:22,rt ideacity alum launches million investment company focused on bitcoin and ethereum
892759069865496576,2017-08-02 14:48:43,rt from bartering to bitcoin lay out the evolution of currency in this trailblazers episode
888061560085766145,2017-07-20 15:42:29,rt must watch how the blockchain is changing money and business bitcoin ethereum
875100869037092864,2017-06-14 21:21:20,rt innovation is doing not talking thanks for sharing insights into bitcoin technology and
846663150887948288,2017-03-28 10:00:00,rt think of bitcoin like email and like the world wide web
834167160717012992,2017-02-21 22:25:23,s new report concludes that digital currencies such as bitcoin need government support to flourish
823947955354894338,2017-01-24 17:37:55,my received million views and counting bitcoin blockchain blockchainrevolution
821398499292049408,2017-01-17 16:47:17,rt ive never seen a technology that i thought had greater potential for humanity on bitcoin via ht
820988731029147649,2017-01-16 13:39:01,thank you my reached million views blockchainrevolution bitcoin icymi
809415387460829184,2016-12-15 15:10:41,rt and i share our thoughts for bitcoin to centralbank adoption commercialization and more http
