id,created_at,text
1343012917839618054,2020-12-27 01:56:46,rt if you invested in bitcoin seconds ago youd have right now
1342856049968242689,2020-12-26 15:33:26,bitcoin
1342219489614688257,2020-12-24 21:23:58,ok milton
1329924326003445760,2020-11-20 23:07:22,bitcoin is soooo the dirk diggler of the global financial system
1328924471630159873,2020-11-18 04:54:18,bitcoin says fuck your shorts
1327724002211598336,2020-11-14 21:24:04,buy bitcoin
1324466046162497536,2020-11-05 21:38:07,i purposely dont read or post cnn articles but its clear you are swinging on project veritas fo
1324444155519512577,2020-11-05 20:11:08,you may want to consider learning the definition of the word credible pretty sure it would improve your life
1324442900235608064,2020-11-05 20:06:09,lol project veritas garbage in garbage out
1324416929017163776,2020-11-05 18:22:57,you would think for such a claim you would have at least one example you could quickly reference tsk tsk
1324407479787163650,2020-11-05 17:45:24,what fraudulent practices are you specifically referring to feel free to cite credible sources to back up any claims
1323711498330337280,2020-11-03 19:39:49,lol please go back under your rock
1321212936489103360,2020-10-27 22:11:25,microstrategy announces rebrand to macrostrategy after making million hodling bitcoin
1321136534070960128,2020-10-27 17:07:49,printing was not priced in to bitcoin
1319044719201091585,2020-10-21 22:35:42,rt after paypala news every major bank is having a meeting about how to support bitcoin its no longer optional
1301677970117914624,2020-09-04 00:26:26,rt live bitcoin poker game and epic crypto chats follow for our weekly live stream show
1300313161782849538,2020-08-31 06:03:11,rt me explaining you can buy a fraction of a bitcoin
1296824016661954561,2020-08-21 14:58:34,rt how the blockchain creates a bitcoin
1292118016201613313,2020-08-08 15:18:36,we will all be dead soon so none of this matters except bitcoin bitcoin will keep going long aft
1288531486933577728,2020-07-29 17:47:00,is he long bitcoin
1288524525404131329,2020-07-29 17:19:21,thanks to s algo my feed has gone very long bitcoin short politics and holds a small amount of dogs and cats
1284964477960478723,2020-07-19 21:32:59,hoodies arent for surfing
1283377727655907328,2020-07-15 12:27:48,how i feel about bitcoin the last few days
1269400935945682945,2020-06-06 22:49:02,rt why would anyone dislike bitcoinbecause it has withdawl limits hidden fees asks for a reason when i want to spend my m
1266459273598504966,2020-05-29 19:59:55,i know my post was sarcastic
1266455885557227527,2020-05-29 19:46:27,wait are you saying its not a conspiracy against how can that be
1266068499299921920,2020-05-28 18:07:07,rt tonight ceo of is playing on crypto after dark bitcoin poker game what questions do you h
1266032271783534593,2020-05-28 15:43:09,rt episode live bitcoinpoker game thursday pm et on our twitter amp twitch channelsfollow us to watch the stream
1266031268279566336,2020-05-28 15:39:10,i am only answering softball questions tonight will try for no meltdowns
1261318361146744833,2020-05-15 15:31:46,rt one of the best paragraphs ever written about bitcoinafter six months of studying and using bitcoin i decided to dedicat
1260642624857391104,2020-05-13 18:46:38,rt billion billion in gold in bitcoin
1258060326567739393,2020-05-06 15:45:30,a lot goes into determining the bitcoin price whats happening in the larger markets who is holding bitcoin at a
1256445407804059648,2020-05-02 04:48:23,rt anyone else lose track what day of the week it is but never forget how many days left until the bitcoin halving
1254918327597752325,2020-04-27 23:40:19,they are just coming for the halvening
1250511136916566017,2020-04-15 19:47:43,rt most my life no idea what monetary policy meanta week hodling bitcoin the federal reserve cant possibly think theyr
1248243995823591425,2020-04-09 13:38:54,rt the fed just announced the equivalent of an additional bitcoin stimulus
1245807269427556355,2020-04-02 20:16:13,i just bought my first bitcoin for today
1245792612151263233,2020-04-02 19:17:59,when its time to buy real estate you can cash in your btc that wont be for a while prob years
1245721004678066184,2020-04-02 14:33:26,i heard satan bought his first bitcoin this week he said the price was too god damn tempting and he couldnt resist
1245114674506424320,2020-03-31 22:24:06,rt spouse where did our bank account gome i bought bitcoinspouse what forme no only
1241204669906669568,2020-03-21 03:27:08,justice
1240682133300998144,2020-03-19 16:50:45,rt hi bitcoin any one else seeing these messages from friendsfamily
1238342340474888192,2020-03-13 05:53:15,while equities still have a long way down to go btc wont rally
1235954754901049344,2020-03-06 15:45:51,rt me paying taxescpa show me what you haveme i did a mix of bitcoin trading and mining this year converted some to e
1233312094214393862,2020-02-28 08:44:51,rt this is wildbitcoin was half of cash apps revenue last quarterbitcoin revenue millionnonbitcoin revenue
1232062400158994433,2020-02-24 21:59:01,rt im still holding to my prediction that bitcoin by the start of will hit i believe that it will be the curr
1230954151061835777,2020-02-21 20:35:14,ill happily bet you bitcoin reaches k before gold reach k
1230207906802364416,2020-02-19 19:09:55,rt give a man a bitcoin and hell spend it in a day teach a man to hodl bitcoin and he will spend the rest of his time on cr
1227389063331606529,2020-02-12 00:28:51,rt toss a bitcoin to your taxman taxes arent fun for anyone but are especially rough for crypto holders so were thri
1226344525678796800,2020-02-09 03:18:13,bitcoin
1223886997585981440,2020-02-02 08:32:53,bitcoin
1223703071571628032,2020-02-01 20:22:02,rt when you first learn about bitcoin
1221350050401419264,2020-01-26 08:31:58,corona gotta be lovin the free brand awareness
1207122686083645440,2019-12-18 02:17:30,rt criticizing bitcoins future as a reserve currency and foundation for a new financial system based on its current volatil
1203433998183104512,2019-12-07 21:59:58,did bitcoin pump in or cuz the halving was years ago right
1195957904362196992,2019-11-17 06:52:38,of ur followers are trolls
1187461434722181120,2019-10-24 20:10:42,rt dear zuck notice that no one gave shit when square launched bitcoin on cashapptake notes stay humble stack sats
1186524246651981824,2019-10-22 06:06:39,nah its just more memorable when it happens to the best people
