id,created_at,text
1339306352196378624,2020-12-16 20:28:12,avalanche blockchain taps into the billion market with an initial litigation offering token via
1296535076184952835,2020-08-20 19:50:25,congratulations to for sponsoring the turkish national soccer teammainstreaming is happening one step a
1273818190867554306,2020-06-19 03:21:37,i believe i identified the root cause of your confusion imagine a powbtc and posbtc pow
1270418872009711618,2020-06-09 18:13:56,rt tune in with discussing in a round table everything from transaction fees scalability th
1270345796676960257,2020-06-09 13:23:34,in the immortal words of slightly paraphrasedi dont know who has the moral high ground any more s
1262283258085232640,2020-05-18 07:25:55,nonsense
1262281307880591366,2020-05-18 07:18:10,no libras consensus protocol was firstauthored by
1262275096158375938,2020-05-18 06:53:29,bitcoin didnt need me i did it because i liked the
1258750658154508289,2020-05-08 13:28:38,quick truefalse quiz at the bitcoin halvening bitcoin value will go up because there will be half as many bitcoins
1251412179234041856,2020-04-18 07:28:08,looks like a reentrancy bug might be allowing someone to drain imbtc from uniswap
1230856369198202884,2020-02-21 14:06:41,rt i dont know who needs to hear this but bitcoin is not made more secure by your thinkpieces and tweetstorms reiterating ti
1229433421988016134,2020-02-17 15:52:24,there may also be a component of using customers btc funds to prop up their own token or trading with them
1219076872056791042,2020-01-20 01:59:10,interesting demonstration of the lengths bitcoiners will go to justify the environmental costs of mining
1209906998185201665,2019-12-25 18:41:22,i imagine someone like sacha baron cohens brigadier general erran morad walking the streets for t
1209666595049607168,2019-12-25 02:46:05,rt hot take all the bitcoiners complaining about how large ethereums premine was are actually complaining about
1202269480770048000,2019-12-04 16:52:35,stablecoins help expand the reach of their underlying peg currency they confer a small but tangible benef
1199901335438659589,2019-11-28 04:02:26,rt ok bitcoiner
1195466739888218112,2019-11-15 22:20:56,for almost every attack there is a bitcointalk forum post from you describing it
1193514767543091202,2019-11-10 13:04:29,rt you shouldnt have an opinion on bitcoin unless you truly understand the technical details of how it operates why becau
1185730259221647360,2019-10-20 01:31:38,i evidently missed this last month botnet uses the btc blockchain for campc rendezvous
