id,created_at,text
1202329997941317633,2019-12-04 20:53:04,from bitcoin pizza to defi take a walk down blockchain memory lane with this exhaustive list of the most notabl
1181750001841537024,2019-10-09 01:55:30,rt we are now able to receive hold and disburse donations in cryptocurrencies ether and bitcoin learn more about our new uni
1169964303266525186,2019-09-06 13:23:21,rt getting jobs in the web space is a little easier with the help of amp
1146831280895594496,2019-07-04 17:20:59,rt this weeks episode is finally up rob dawson head of product joins us to talk about the enterpr
1118597487198187524,2019-04-17 19:29:58,rt i am more and more bullish btc and our whole space ill make the case at the and then at
1100442045804658689,2019-02-26 17:06:43,the team wrote an incredible piece on blockchain adoption comparing our strategies to warm memorie
1084225435561574402,2019-01-12 23:07:42,rt icymi new episode is up were joined by joseph lubin founder and ceo of consensys since
1082782632147120131,2019-01-08 23:34:31,big thanks to for having me on the show we went deep on my preblockchain days early ethereum stor
1053422607570255872,2018-10-19 23:08:15,rt kevin owocki joined us recently to talk about gitcoin an ethereumbased marketplace that leverages t
1032703374939107328,2018-08-23 18:57:25,rt read about why our integrating with chainlink could be big for smart contracts in this is important b
966745281885868033,2018-02-22 18:43:31,rt cofounder of amp founder of gives insight on bitcoin and blockchain complexcon
938773827575799809,2017-12-07 14:14:56,rt ethereum cofounder discusses the difference between bitcoin and ethereum bitcoin is like a money system et
938451330812825600,2017-12-06 16:53:27,rt whats in store for bitcoin ether and other cryptocurrencies hear from on this morning on
931548227861733376,2017-11-17 15:42:59,rt the brains behind two of the worlds biggest cryptocurrencies face off on bitcoin cash and icos
750929253928173568,2016-07-07 05:47:40,nah we are longtime bitcoinrs extended we are going to hack the pinata according to the protocol
644961014161780736,2015-09-18 19:47:43,youtube consensys dappathon recap there are two of them
644959573409988608,2015-09-18 19:41:59,watch consensys hackathon youtube vids to see what can be built in days
644959296669794304,2015-09-18 19:40:53,xx speedup in decentralized app development time tools for faster dev are coming
644958902753357825,2015-09-18 19:39:19,in btc special devs stuff data in bytes amp build code on protocol w crypto primitives
644958388221267968,2015-09-18 19:37:17,eth enables an avg sw dev to build secure smart contracts with arbitrary logic and storage
626865208477249537,2015-07-30 21:21:26,rt
537538798406864897,2014-11-26 09:30:11,rt when black friday comes the bitcoin deals come with it
494227859465306112,2014-07-29 21:07:58,rt digital currency panel featuring bitcoinbankers bitcoin
468875213032394752,2014-05-20 22:05:36,rt the future of bitcoin panel
466606242006593536,2014-05-14 15:49:31,the audio is excellent except for the intro speaker fast forward secs
