id,created_at,text
933521509175386113,2017-11-23 02:24:06,sacred objects bitcoin genesis block
892430186997731332,2017-08-01 17:01:51,people discrediting other currencies is evidenced by rbitcoin trashing ethereum because it is seen as a threat
786324733637763072,2016-10-12 21:56:40,rt the gdax team is growing were looking for experienced engineers nodejs ethereum bitcoin
746440703211769856,2016-06-24 20:31:46,regardless of other opinions nice to see make progress on general communication
744929369005527040,2016-06-20 16:26:16,rt buying bitcoin and cryptocurrencies is kind of like buying early internet stocks on
704502824390885376,2016-03-01 03:05:37,rt travelling abroad hours notice and my debit visa is still getting declined my bitcoinbacked shift visa however is worki
676526188853006336,2015-12-14 22:16:27,rt bip opchecklocktimeverify can now be used in production on bitcoin mainnetwhat are you going to build with it http
668877105376051200,2015-11-23 19:41:43,rough around the edges but a glimpse into the future of gaming battle people online in seconds for bitcoin
665229480894427136,2015-11-13 18:07:22,awesome opchecklocktimeverify finally in new bitcoin core bitcoin unspendable until specific time in future
664258012354207744,2015-11-11 01:47:06,such volatility undermines bitcoin nobel winner agrees reality its decreasing
664253939051683840,2015-11-11 01:30:54,personal favorites bitcoin just a glorified list of liabilities surely they considered the networks value
664252321266708481,2015-11-11 01:24:29,the masterfully conflates bitcoin a ponzi scheme and every scary event into a single uninformative piece
661281369121669120,2015-11-02 20:38:59,a year later case won in highest european court tldr bitcoin is distributed but can come together to solve important issues
661281279837474816,2015-11-02 20:38:37,our legal collaborated with him and seeded the effort with k for outside counsel other bitcoin cos joined in dec to keep it going
661281128465104898,2015-11-02 20:38:01,david from small exchange bitcoinse approached us in aug for help with the case he had been working on it for quite a while
661281075188994048,2015-11-02 20:37:48,pretty cool background story behind the eu exempting bitcoin from value added tax vat last week
649028898919833603,2015-09-30 01:12:02,rt wired interview of amazing how easy it is to replace tcpip with bitcoin
636017713131884544,2015-08-25 03:30:14,did anyone record
615958206553063424,2015-06-30 19:00:55,while greeks rush to bitcoin makes for a very compelling headline it is false we saw a uptick from a low base in greece
608317212827525120,2015-06-09 16:58:20,great min video from to explain the basics of bitcoin sidechains and sidechain enhancements
597115509864148992,2015-05-09 19:06:46,rt usaa creates research team to study use of bitcoin technology blockchain
580776090320375808,2015-03-25 16:59:44,this is pretty funny submitted one for in the quest of making bitcoin easy to use ht
578230105983451136,2015-03-18 16:22:54,big deal for bitcoin uk eu leader for financial regulation announces it wants to create one of the worlds most supportive environments
568458561438617601,2015-02-19 17:14:17,rt dell is now the largest merchant to accept bitcoin internationally
560150648579452930,2015-01-27 19:01:36,rt great discussion w on bitcoin and the future of digital currency at sotn
557591769479540736,2015-01-20 17:33:32,rt pleased to share weve raised m led by and others focused on helping bitcoin grow i
545282366667632645,2014-12-17 18:20:21,rt coinbase cofounder will deliver the luncheon keynote at sotn bitcoin
543481177642786816,2014-12-12 19:03:04,using bitcoin for solving musics complex distribution payouts problem solid article by s
514090136984756225,2014-09-22 16:33:34,my attempt to explain what bitcoin is and why it matters to googles largest clients in minutes
512458690318708736,2014-09-18 04:30:47,rt i just backed bitcoin coverage with bitcoin on
496393323683512320,2014-08-04 20:32:45,french senate despite identified risks bitcoin offers multiple opportunities as a payment system and a decentralized validation protocol
494517609044254720,2014-07-30 16:19:20,the foundation is now accepting bitcoin a great union of open networks
492013515532562434,2014-07-23 18:28:57,rt vault is now live for all users securely store longterm bitcoin holdings here
486670442988466176,2014-07-09 00:37:30,rt just booked family vacation on with bitcoin using buying online using bitcoin remains best user experienc
449658922316468224,2014-03-28 21:26:56,rt check out the coinplanter bitcoin locations the island off the coast of australia is a member of our support team http
445279960970702848,2014-03-16 19:26:30,pretty cool visually pleasing pp bitcoin payments built on twitter and the api
441443251061403648,2014-03-06 05:20:47,rt come see coinbase cofounder with from the in the featured bitcoin session of sxsw
438933149192450048,2014-02-27 07:06:32,rt congratulations on your one millionth customer bitcoin
438166877827629057,2014-02-25 04:21:39,rt gox failure will mark the end of bitcoin immaturity phase st round of true pros stepping up
428353603259346945,2014-01-29 02:27:12,great conversation on bitcoin held by this evening at promising to see healthy and intelligent conversation
427802325261246464,2014-01-27 13:56:37,ill be on cnbcs squawk box this morning at am et from the nyse talking bitcoin
418959573001584640,2014-01-03 04:18:40,every thought about using the api for would be useful to allow buying bitcoin from the app
416642997762404352,2013-12-27 18:53:26,holiday family tech horrors dad opens laptop youve got mail blares out some recovery points for gifting my grandmother a bitcoin
411177172049481728,2013-12-12 16:54:11,thoughts on bitcoin regulatory landscape with thanks to for making it possible
403367594339495937,2013-11-21 03:41:43,rt im doing my holiday shopping with bitcoin this year bitcoinblackfriday
