id,created_at,text
1344007666604126210,2020-12-29 19:49:32,if those pizzas ever e
1344001927349231616,2020-12-29 19:26:44,we will have to ask th
1343961373500469251,2020-12-29 16:45:35,rt its true also a slice is a d
1343949097225621507,2020-12-29 15:56:48,its true also a slic
1342532112067555329,2020-12-25 18:06:13,
1340160994732072962,2020-12-19 05:04:14,rt fincen has proposed a new rule that if adopted would require regulated companies to verify the name and address of unhosted n
1339913109516013568,2020-12-18 12:39:14,rt id be a billionaire now if i hadnt sold the bitcoins i mined on my laptop in way too early mostly be
1339274088502747147,2020-12-16 18:19:59,to be clear im not dismissing it as a solution for a narrow group of people who are able to sec
1338942063635812353,2020-12-15 20:20:38,rt do people think convertible notes are only used to buy bitcoin
1332776680155451396,2020-11-28 20:01:36,good idea
1332305483814866946,2020-11-27 12:49:15,i think you need to reread the article you linked to
1332279717467222019,2020-11-27 11:06:51,precisely they werent seized previously by police
1328433573985136641,2020-11-16 20:23:39,rt imagine abandoning your crypto influencer campaign to pursue a rap career when bitcoin is k
1322523269623328770,2020-10-31 12:58:13,rt today marks the th anniversary of the day satoshi nakamoto published the bitcoin white paper weve compiled a few facts surrou
1322047661332189189,2020-10-30 05:28:19,for physical goods thats fine for digital downloads
1322044790859509763,2020-10-30 05:16:55,this is how it works for paypal transactions you get
1320670918247653377,2020-10-26 10:17:38,that sounds suspect i mean i have a multipurpose asic right nowits called a cpu
1319706783112364032,2020-10-23 18:26:30,posted by bitcoingolem on reddit if they arent the creator then i sadly have no clue who the original author is
1318235303841247233,2020-10-19 16:59:22,rt ep riccardo spagni aka is in funkytown thx bitcoin crypto pri
1314917630009057283,2020-10-10 13:16:07,is good at his job and good for bitcoin
1314217675212697600,2020-10-08 14:54:45,rt not only square inc have bought bitcoin but they outlay to every other company how to do itwhite paper downloadable
1312393005425471489,2020-10-03 14:04:10,rt not number go up not number go sideways but number goes guantanamo hcpp
1312306768647782400,2020-10-03 08:21:29,
1312125769242435584,2020-10-02 20:22:16,sure thing more than happy to
1312124482794921984,2020-10-02 20:17:09,
1312100946978111488,2020-10-02 18:43:38,rt coming up next in mins minor delay i gave time to current group the hcpp rewind of
1311708745710403585,2020-10-01 16:45:10,rt the layah heilpern show talks monero and bitcoin fyi you can get when you join he
1311308589508759554,2020-09-30 14:15:05,i feel like im showing my age but if someone created space quest nfts id even use ethereum to own them
1309800171786690560,2020-09-26 10:21:10,rt breaking glv endomorphism a feature originally proposed by hal finney but never deployed due to patent concerns can now be acti
1309439601816342529,2020-09-25 10:28:23,rt while the majority of bitcoin conferences this year have been either cancelled postponed or moved to zoom rooms mmo developer
1309389137087287297,2020-09-25 07:07:52,rt join btcturk ceo for his exciting panel a closer look at one of the most vibrant bitcoin markets in the wo
1309378951408766977,2020-09-25 06:27:23,so exactly like samourai who knew
1309372725400608768,2020-09-25 06:02:39,rt you can check the last stream of bitcoin rally here was won with a kart
1308768937568595968,2020-09-23 14:03:25,if its that important to you then you sho
1308768571703648259,2020-09-23 14:01:57,youre trying to do the impossible the no
1308697482004754435,2020-09-23 09:19:28,rt hang out with your favorite bitcoiners on a tropical islandmccvr the first fullvr bitcoin conferenceexpl
1307177781965488129,2020-09-19 04:40:44,rt has been accepting bitcoin since now the domain registrar has added support for payments via aft
1306999482781966336,2020-09-18 16:52:14,
1306826430882492416,2020-09-18 05:24:35,
1306514253512404994,2020-09-17 08:44:06,rt crypto twitter influencer bitcoin maximalists are actively pushing people away from adopting bitcoin with their toxic
1306458187613106182,2020-09-17 05:01:19,ah lbtc as in localbitcoins
1305895560046678016,2020-09-15 15:45:38,yes but sadly had his seed backup taped to the wallet for safekeeping
1305817985916063744,2020-09-15 10:37:23,rt join us tomorrow at the privacy in cryptocurrencies panel with former lead maintainer bitcoin pri
1305608044672364546,2020-09-14 20:43:09,sounds about right no wonder binance smart chain is eating eths lunch
1304509680828510208,2020-09-11 19:58:39,rt the irs is looking to pay developers to crack the privacyenhancing features of the lightning network alongside monero and crypto
1303067273742213126,2020-09-07 20:27:02,to go back to the original idea though someone could do java bindings for libbtc
1302918741630615552,2020-09-07 10:36:49,rt last week early bitcoin investor and venture capitalist shocked his followers when he tweeted about bitcoin cash it
1302308516644913157,2020-09-05 18:12:00,rt live with on competing with bitcoin privacy join http
1301095256042110976,2020-09-02 09:50:56,rt in the first of a new series of interviews podcaster and filmmaker talks to the btctimes about his bitcoinjourn
1300918538182557696,2020-09-01 22:08:44,its bitcoin adjacent per the latest episode of magical crypto friends
1298932480951627776,2020-08-27 10:36:51,rt following a proposal that bitcoin and ethereum nodes audit the respective networks monetary supplies at a designated point in t
1298346036008812544,2020-08-25 19:46:31,but the f is public so how can anyone not disclose that
1298152544586412032,2020-08-25 06:57:39,of course there are some altcoins that have a genuine ideology and are tryi
1298152209360867328,2020-08-25 06:56:19,nah most altcoins at least were about enriching the founders
1297435974646083584,2020-08-23 07:30:16,rt peertopeer bitcoin exchange shared that it recently processed its th trade after facilitating trades
1296889095134875649,2020-08-21 19:17:09,my top three in no particular order would be firefox use this guide
1296508948963627009,2020-08-20 18:06:36,rt oxt research analysts have identified and verified two vulnerabilities in the software provided by
1296129494173069312,2020-08-19 16:58:46,and bitcoin dash
1295692310148255746,2020-08-18 12:01:34,even if that were true its not and ignores the exis
1295673475487670274,2020-08-18 10:46:43,rt how is this possible without a premine nobody knows it is a mystery
1295655533932838917,2020-08-18 09:35:26,its the monero enterprise alliance token aka meat
1295650539745824775,2020-08-18 09:15:35,when can we yield farm this
1295627089958313984,2020-08-18 07:42:24,how is this possible without a premine nobody knows it is a
1294235293042774016,2020-08-14 11:31:54,rt someone inquired about my bitcoin exit strategy i said the exit occurred in the front end it is a fiat exit
1293900532013244417,2020-08-13 13:21:40,a yamcident
1292168419735937028,2020-08-08 18:38:53,rt today marks the third anniversary of the day segwit reached lockin threshold on the bitcoin networktoday also marks the laun
1292106340257734656,2020-08-08 14:32:12,in the context of the discussion of independently verifying eth supply it absolutely is
1292018811244294145,2020-08-08 08:44:23,yes although bitcoinknots is a fork of bitcoin core a better example is btcd which is a r
1291737024353972225,2020-08-07 14:04:40,
1291734889981673472,2020-08-07 13:56:11,hes trying thats why he invented rgb
1291722054782390274,2020-08-07 13:05:11,i think they mean a google spreadsheets expert like
1291106735529299971,2020-08-05 20:20:08,rt over the last to years there has been an uprising of people who value privacy not because they are weird and want t
1289485632390205441,2020-08-01 08:58:26,rt updated watch as the twitterhack bitcoins are traced using softwarethe victims funds are being split into eve
1288528821864538115,2020-07-29 17:36:25,congrats on the big
1285306266651447298,2020-07-20 20:11:08,
1285288814454480898,2020-07-20 19:01:47,ok i retract my previous tweet we can legitimately hand the and accounts off to gpt a thread
1284954670692290560,2020-07-19 20:54:01,
1283738833427869700,2020-07-16 12:22:43,how long before samourai wallet is declared an enemy of bitcoin
1283510896682307584,2020-07-15 21:16:58,rt crazy video of a bitcoin being made if you ever wonder why its so expensive
1281671273286971398,2020-07-10 19:26:58,and yes we dont know if they are legitimately owned by a hispanic female but
1281670698277232647,2020-07-10 19:24:41,the issue here is eligibility nobody is debating overheadsask what affect d
1281670252976377858,2020-07-10 19:22:55,as an aside if youre a bagholder youre of course going to view this as a go
1281669830211403777,2020-07-10 19:21:14,the fed printed the extra money they didnt steal it from anyone if anyone sto
1280470179483394049,2020-07-07 11:54:15,titan v ive had it for years and it still makes mincemeat of anything i throw at it mostly vr s
