id,created_at,text
1333399191834464269,2020-11-30 13:15:15,then again being able to say the block reward is exactly bitcoins right now is valuable
1333398285764136964,2020-11-30 13:11:39,we make arbitrary things theatrical if bitcoin had continuous deflation i bet there would be celeb
1311092582081069057,2020-09-29 23:56:45,still eat only from noon until most days
1305863200051785736,2020-09-15 13:37:03,extremely unpopular opinion a coinbase account is better for most fami
1283525366687182848,2020-07-15 22:14:28,dont send me a bitcoin ive already got one
1275081605271490560,2020-06-22 15:01:59,so i guess the follow up question is if my friend doesnt report the zer
1274494648690503681,2020-06-21 00:09:37,has anybody asked the irs if btc to wbtc or dai to usdc are likekind exchanges asking for a friend
1265432073587875847,2020-05-26 23:58:11,more plausible btc was hijacked by a corporation named blockstream by hiring key developers and heavil
1265427216478986243,2020-05-26 23:38:53,you can run a pruning node and accomplish that well privacy in bitcoin is tricky you
1215402232268627968,2020-01-09 22:37:27,launched in actually it was giving out btc by if i recall correctly
1201926561169104898,2019-12-03 18:09:57,does it work if i have never used lightning or bitcoin before who pays the tax fee to open the channel
1065051381197869057,2018-11-21 01:16:51,when there were only bitcoin nodes a deep reorg due to network partition was a real
1003764884411121664,2018-06-04 22:26:12,
997100839461376000,2018-05-17 13:05:40,maybe we should taper the introduction of bitcoin over time so less energy is expended creating it
996180191360815106,2018-05-15 00:07:20,the bitcoinbuildassert files contain sha checksums for the binaries they are humanreadable yaml
983662577900277761,2018-04-10 11:06:48,you dont think one of the goals of bitcoin is to replace existing governmentissued currencies what i
949499351721799680,2018-01-06 04:34:20,is there a word for been a victim of thefthad stolen btc were stolen from the faucets wallet something like at the time
949494947065073664,2018-01-06 04:16:50,i just realized i have bought sold earned spent given received lost destroyed had stolen and mined bitcoins
941809316952190978,2017-12-15 23:16:53,if you own a small amount of btc leave it on coinbase unlikely youll lose it all
941293918058110978,2017-12-14 13:08:53,people are avoiding using bitcoin because of high tx fees have you
939871481416306690,2017-12-10 14:56:37,i was saying what i felt in when i said it is an experiment that could easily fail i didnt jus
939864032005296128,2017-12-10 14:27:01,where did i say im bullish on bch i hope bch succeeds but i dont know whats going to happen
931532300424241152,2017-11-17 14:39:42,
931529500235616256,2017-11-17 14:28:34,
928371591024693248,2017-11-08 21:20:10,eth rose that fits trend of bitcoin losing market share to more innovationfriendly chainsbut i coul
916670684880949249,2017-10-07 14:24:56,early bitcoin devs luckily picked the right project at the right time none are irreplaceable bitcoin will succeed with or without us
914814476867784704,2017-10-02 11:29:02,rt amazing post by takeaways bitcoin dev and client centralization is worse than mining centralization surprised and
909773640643874816,2017-09-18 13:38:33,it is not what is proposed and implemented it is not even
909770788856836096,2017-09-18 13:27:13,this thread started with jeff correctly saying adam was a
909756918087942144,2017-09-18 12:32:06,strawman proposal a starting point for discussioncomprom
909429248766734336,2017-09-17 14:50:03,it is a straw man i never proposed unlimited blocks in hi
881840250838028288,2017-07-03 11:41:14,why fewer btc transactions now its part of a pattern
865299391527231489,2017-05-18 20:13:46,it better be ok all of bitcoins security relies on incentives and probability eg improba
865298886499422208,2017-05-18 20:11:45,maybe you misread me you control your bitcoin but nobody individually controls the system
865292867161518080,2017-05-18 19:47:50,you should expand in a whitepaperblog post nobody has individual control of bitcoin
865288465856024577,2017-05-18 19:30:21,what is your vision for bitcoin mine is pretty much
864603315694448642,2017-05-16 22:07:48,rt the truth about scaling bitcoin very well written and spot on
862324228477116416,2017-05-10 15:11:31,rt what ive learned from several years of engineering bitcoin fee estimate algorithms
859520233110999041,2017-05-02 21:29:27,ssl for wwwrandomsanity is harder because
859518400212717568,2017-05-02 21:22:10,certificate installed website updated to recommend thanks
859188546825056257,2017-05-01 23:31:27,and patches welcome to detect other bad rngs
859188233271472130,2017-05-01 23:30:12,good point ill make getting a certificate a higher priority
859164795655917568,2017-05-01 21:57:04,hassle howhttp is a design choice because requires a functioning rng to be secure
853398272874090496,2017-04-16 00:02:58,more than about btc in the wallet taxable
848604117320773633,2017-04-02 18:32:42,rt money and state thoughts on segwitmb bitcoin blockchain segwit
837134883277406208,2017-03-02 02:58:04,rt having too much fun on bitcoinlightning join in
831208193279873024,2017-02-13 18:27:31,rt more thoughts on bitcoin transaction costs and game theory the parable of alpha bitcoin block
830182098954760192,2017-02-10 22:30:11,rt i just published scaling bitcoin reflections from the portfolio bitcoin blockchain
824778603942572033,2017-01-27 00:38:37,rt my impressions of satoshi roundtable i the good outstanding and beautiful and more bitcoin
823542551730946050,2017-01-23 14:46:59,it seems smallblockers will not even talk about compromisingid be delighted to be wrong
821027722545733633,2017-01-16 16:13:57,did you do the math how fast is your home connection
821026946054242305,2017-01-16 16:10:52,false dichotomy
819180346956742660,2017-01-11 13:53:09,fun fact doesnt mean anythingsize mb homepagesbitfury blockstream btcc blockchain coinbase viabtc
816811567048261632,2017-01-05 01:00:27,rt whats happening in bitcoin tech
814296777763540992,2016-12-29 02:27:35,rt announcing opendime v now genuine verified bitcoin credit stick bitcoin cyberpunk anon priv
806519431438405632,2016-12-07 15:23:11,rt when blocks are full all consumerfacing bitcoin businesses have to deal with endless support tickets from pissed off custo
800695208778137600,2016-11-21 13:39:48,of course it was rbitcoin is an echo chamber and should be boycotted
793112245765017600,2016-10-31 15:27:49,rt obligatory reading there will be no bitcoin split by bitcoin
788499876820680704,2016-10-18 21:59:54,rt my published altcoin index fund simulations after many weeks of work surprising bitcoin is hard to beat
787678821977886720,2016-10-16 15:37:20,rt the bitcoin podcast with prominent bitcoin figure
780092904761155584,2016-09-25 17:13:36,ethereum has more nodes today than bitcoin prediction its lead will grow even as its blockchain size exceeds bitcoins
771676466354483200,2016-09-02 11:49:41,rt tumblebit an anonymous offblockchain payment channel for bitcoin revised paper github
764260531964301312,2016-08-13 00:41:24,rt confused about the bitfinex hack multisig and bitcoin security check out my latest article min read
763863171077509120,2016-08-11 22:22:26,rt check out the worlds most advanced full node bitcoin implementationand its open source
756699732706226176,2016-07-23 03:57:29,rt this trend impacts any pp architecture including bitcoin and lightning fewer amp fewer alwayson desktops
754518784132517888,2016-07-17 03:31:11,rt human values underlie the bitcoin blocksize debate
753270074853711872,2016-07-13 16:49:15,rt the best way to make sure bitcoin is decentralized is to make it big enough for everyone to be able to participate
751950593778868224,2016-07-10 01:26:06,rt once again bitcoin shows its monetary might by doing exactly what it says it will do this is unprecedented learn to
749222267406655488,2016-07-02 12:44:43,rt the likely near term impact of high bitcoin fees is turning to centralized systems pause for year while lightning etc bu
746520801218859008,2016-06-25 01:50:03,rt regardless of other opinions nice to see make progress on general communication
743056066074804224,2016-06-15 12:22:26,rt if youre connected to illicit bitcoin nodes and good one its still possible to determine whos lying and whos no
739859455811014656,2016-06-06 16:40:14,rt i actually sent bitcoin during my presentation and explained why its important summary here
729004217080283137,2016-05-07 17:45:24,gitian and code review and pgpsigned commits not to mention multisig but thats too long for the original tweet
727606602589704193,2016-05-03 21:11:46,rt we just launched the the first uswide visa debit card you can load using bitcoin check out the card
727053314848886784,2016-05-02 08:33:12,time for the anomaly hunters to start their engines bitcoin
719205266571530241,2016-04-10 16:47:52,time to pay uncle sam takes most of the pain out of figuring cap gains on bitcoin transactions
718995466550120448,2016-04-10 02:54:12,rt linus decisionmaking has lessons for bitcoin do not overengineer or plan for years down the road lt predictions usua
705324012499443712,2016-03-03 09:28:43,i say let them snipe most work chain will win in the end it might just take a little longer meh
704772741807771649,2016-03-01 20:58:10,rt s original btc faucet addresses crush firstever bitcoin donation address rankings
703453968299646977,2016-02-27 05:37:50,rt my mind blown by two bitcoin developments presented today
700493849131622400,2016-02-19 01:35:22,rt great analysis of the bitcoin transaction fee landscape by
692134437123919877,2016-01-26 23:58:03,rt what are the benefits of segregated witness
691113860346937344,2016-01-24 04:22:39,i guess you dont care about security because you didnt pick bit my tweet was about reasonable tradeoffs
689935407832629248,2016-01-20 22:19:54,rt didya think its actually a governance growing pain bitcoin
686537638472474624,2016-01-11 13:18:22,rt new post what did bitcoin movements look like in w the assistance of
684190068844564480,2016-01-05 01:49:58,rt partly inspired by my piece on why economists shd be studying bitcoins bold experiment
684082511794802688,2016-01-04 18:42:35,rt posted an article about the role miners play in controlling bitcoin
677200312755728384,2015-12-16 18:55:10,never heard of decred my only current project is better gossip protocol researchtesting
668548910080749568,2015-11-22 21:57:35,rt btcd version released alternative fullnode bitcoin implementation in go
663759544389103616,2015-11-09 16:46:22,rt more iblt nuggets for you simulating bitcoin blocks in real network thanks for test data
660822693370048513,2015-11-01 14:16:22,rt psa global ponzi mmm is fundraising in bitcoin if you are asked how to get bitcoin by people interested in mmm discourage amp
657002196832231425,2015-10-22 01:15:04,since realworld friends decide outcome of contract could implement today in bitcoin with funds locked in multisig
652462681442648065,2015-10-09 12:36:40,if youre running bitcoind on a public lan restart with upnp critical miniupnpc library vulnerability
