id,created_at,text
1344585282386059267,2020-12-31 10:04:47,rt calm down
1344585265948581888,2020-12-31 10:04:43,rt ill take it that you now do recognise that the sec would test whether xrp
1344585155734867969,2020-12-31 10:04:16,rt investopedia says the samefrom the perspective of the howey test the o
1344581416517054464,2020-12-31 09:49:25,rt no i pulled it out of hinmanthis is how the sec are applying howey to
1344507202489491458,2020-12-31 04:54:31,youre also an ugly person
1344506924100890625,2020-12-31 04:53:25,you are the reason accredited investors are a thing
1344506674401452032,2020-12-31 04:52:25,after reading this article analyzing how the sec has applied the h
1344196927630540801,2020-12-30 08:21:36,rt working in a crypto company since april i only accept bitcoin
1344195256837943297,2020-12-30 08:14:57,
1344180949383262208,2020-12-30 07:18:06,rt bitcoin just printed another ath of
1344146120134565889,2020-12-30 04:59:42,rt rule number one of the bitcoin spa
1344136522841415681,2020-12-30 04:21:34,rt t w e n t y e i g h tbitcoinsee you in
1344136129373753344,2020-12-30 04:20:00,
1344135165455585281,2020-12-30 04:16:10,rt
1344127583760347136,2020-12-30 03:46:03,
1344126043398021120,2020-12-30 03:39:56,
1344124603921289217,2020-12-30 03:34:12,
1344124471691649026,2020-12-30 03:33:41,rt
1344124461830856706,2020-12-30 03:33:38,rt
1344049075826659342,2020-12-29 22:34:05,rt mark karpeles reveals new information regarding the ongoing mt gox creditor saga coinlab karpe
1343084678748794880,2020-12-27 06:41:55,rt wake upcheck bitcoin pricecelebrate new alltime highshitpostgo back to sleeprepeat
1343045550686543873,2020-12-27 04:06:26,rt if you invested in bitcoin seconds ago youd have right now
1343038277356560387,2020-12-27 03:37:32,rt the bitcoin market cap just crossed half a trillion dollars
1342935165543317504,2020-12-26 20:47:48,rt bitcoin done next
1342837702341881856,2020-12-26 14:20:31,rt bitcoin just set another alltime high of lfg
1342563059144011776,2020-12-25 20:09:11,rt bitcoin alltime highmerry christmas
1341378639787638785,2020-12-22 13:42:43,rt with bitcoin climbing its time to make preparations for your bitcoin inheritance to loved ones for example im going to
1341228894247071749,2020-12-22 03:47:41,rt in all fairness took the picture if i didnt see it i might not be in bitcoin its amazing how one insigni
1340519252357427200,2020-12-20 04:47:50,rt the problem is bitcoin community sees this but dont care longest price goes up in was accusing tether f
1340401870284701706,2020-12-19 21:01:23,rt we hit a new bitcoin all time high of over today will we breach k in the next hours
1340019903848321024,2020-12-18 19:43:36,rt id be a billionaire now if i hadnt sold the bitcoins i mined on my laptop in way too early mostly be
1339705621197844482,2020-12-17 22:54:45,rt tulipsminecraft bitcoin jokes humor
1339502985345429504,2020-12-17 09:29:33,rt done nextbitcoin
1339424837492756481,2020-12-17 04:19:01,rt wednesday december bitcoin btc btc
1339424804324208640,2020-12-17 04:18:53,rt k bitcoin btc btc
1339225589056679936,2020-12-16 15:07:16,rt hey how about you come on and talk bitcoin with me my mic is ready
1339211552281518081,2020-12-16 14:11:30,rt you cant tell me shit today bitcoin at k bitcoin
1339209242516086784,2020-12-16 14:02:19,i knew it keep those
1339187458781614080,2020-12-16 12:35:45,the money seems to only flow into a few select pockets
1339187275465433095,2020-12-16 12:35:02,i found a quite a few ill post them later
1339185911343538177,2020-12-16 12:29:36,have you noticed a lot of morgan stanley connections down this path
1339183651762954240,2020-12-16 12:20:38,
1339183410984660992,2020-12-16 12:19:40,or implode spectacularlys
1339183041051287553,2020-12-16 12:18:12,i think youre pulling my l
1339182023961956353,2020-12-16 12:14:09,rt ive noticed thank you go bitcoin also please
1339181951501164546,2020-12-16 12:13:52,ive noticed thank you go bitcoin also
