id,created_at,text
1343257047052087297,2020-12-27 18:06:51,rt for most people the leap from no coin to bitcoin is much harder than the leap from owning btc to also owning eth and
1336829264339988481,2020-12-10 00:25:08,indeed
1336828538540810241,2020-12-10 00:22:15,amaze
1336826364796624898,2020-12-10 00:13:37,time to update your twitter bio
1336702640781029382,2020-12-09 16:01:58,rt very very exciting get access to of the largest crypto assets with one purchase bitcoin and etherum etc firs
1327059212334026752,2020-11-13 01:22:26,most people have only two modes when it comes to bitcoin not paying attention am i too late
1326322450552877056,2020-11-11 00:34:48,rt when write about bitcoin you owe to yourself to sit down and read
1324788635305062400,2020-11-06 18:59:58,awesome that you do this john
1323078727891234816,2020-11-02 01:45:25,rt love this article by from on bitcoinwhile stocks oil and gold prices careened last week one asset se
1320845502867361792,2020-10-26 21:51:22,rt more on that seminal jp morgan bitcoin note demographic trends favor btc over gold jpm says bitcoin may be over
1319376972741394432,2020-10-22 20:35:57,rt i came to the conclusion that btc was going to be the best of the inflation tradesthe defensive trades says paul tudo
1319367115384631296,2020-10-22 19:56:47,i like bitcoin even more now than i did then i think were in the first inning
1319366719731683328,2020-10-22 19:55:13,rt best minute pitch on bitcoin ive heard
1319363637706854400,2020-10-22 19:42:58,rt having a deep and thoughtful readwhen bitwise speaks we better listen bitcoin is freedom sat
1319048648039092225,2020-10-21 22:51:19,rt after paypala news every major bank is having a meeting about how to support bitcoin its no longer optional
1318946291632664578,2020-10-21 16:04:35,rt bitcoin quoted in brazilian reais is now at an athwho will start the count of in how many currencies btc is already there
1318937392728862720,2020-10-21 15:29:13,rt new mode global holdings plc a uklisted company has announced it will place of its cash reserves into bitcoin as par
1317582639969099776,2020-10-17 21:45:55,of course
1314219726239744001,2020-10-08 15:02:54,rt today announced that it has purchased m in bitcoin square believes cryptocurrency is an instrument of economic e
1313597866032594945,2020-10-06 21:51:51,rt bitwise has one of the best products for getting exposure to bitcoin and crypto
1311500594750783488,2020-10-01 02:58:02,ht
