id,created_at,text
1344314821756518400,2020-12-30 16:10:04,the sec itself has already repeatedly said bitcoin is not a security both publicly and to institutio
1341468226815991809,2020-12-22 19:38:43,d has only moved in one direction its a safety mechani
1339962000097619975,2020-12-18 15:53:30,youre still a fucking legend thanks for the bitcoin logo and being the first bitcoin core developer
1326572191555706880,2020-11-11 17:07:11,thank all the people who bought bitcoin youre forgetting that ive been around since son
1306088601248296961,2020-09-16 04:32:43,so youll support biden debating him then with rogan love to see you tweet the biden campaign your op
1284595197142171648,2020-07-18 21:05:36,furthermore all the other factors that enable bitcoin decentralization that arent consensus
1280636532789936128,2020-07-07 22:55:17,ask him about the bitcoin trapped on an ironkey
1279534994596257793,2020-07-04 21:58:09,cryptobriefing is a dumpster fire of a publication thanks for letting a journalist who holds both bitcoin and ethe
1267598373244276743,2020-06-01 23:26:17,i gave this speech when bitcoin was in free fall right after the european travel ban crypto
1265715571926036480,2020-05-27 18:44:42,goldman sachs we do not recommend bitcoin on a strategic or tactical basis for our clients investment portfolio
1258484078032060416,2020-05-07 19:49:20,welcome back to k bitcoin see you at k
1257085870357843980,2020-05-03 23:13:21,well they are pretty terrifying and literally have murder in their name
1246814098303725568,2020-04-05 14:57:00,which demonstrated that the federal government is really bad at responding to a big crisis involving l
1218918546908090368,2020-01-19 15:30:02,so when bitcoin does it its ok
