id,created_at,text
1344021380866576384,2020-12-29 20:44:02,rt panthers ot russell okung will get half of his m contract paid in bitcoin
1336354473636085761,2020-12-08 16:58:29,rt theres one input that matters in defeating the bitcoin is boiling the oceans fallacy clean energy usage we are wel
1336354389510877185,2020-12-08 16:58:09,bitcoin
1333844392063369216,2020-12-01 18:44:19,rt the grant we gave brink is going to support gloria zhao the first recipient of a brink fellowship
1326672413027782656,2020-11-11 23:45:26,rt africa will define the future especially the bitcoin one afts is pleased to welcome to answer the who
1314260941077270529,2020-10-08 17:46:40,bitcoin
1283169859233214465,2020-07-14 22:41:49,bitcoin
1276543093370523648,2020-06-26 15:49:25,rt we founded square crypto with plans to hire a unicorn designer who could help us foster a bitcoin design community only m
1263926286910550016,2020-05-22 20:14:44,rt for those that dont know a decade ago today laszlo hanyecz paid bitcoin for two papa johns pizzasbeliev
1262466443007766528,2020-05-18 19:33:50,you can now do automatic recurring purchases of bitcoin in daily weekly or every weeks and change t
1260727538080342016,2020-05-14 00:24:02,bitcoin
1260052905228263424,2020-05-12 03:43:17,yes
1259917329518850052,2020-05-11 18:44:34,lots more topics to follow now including covid bitcoin local news and astrology
1243369564739489792,2020-03-27 02:49:39,happy early birthday
1235279276296949760,2020-03-04 19:01:44,rt grant time weve got two going out today plus instructions on how you can get your bitcoin project funded by us learn more
1232823180797992960,2020-02-27 00:22:05,bitcoin
1231466838757765120,2020-02-23 06:32:28,yessir would love for you to come to square to speak to our team as well
1231424810783109120,2020-02-23 03:45:28,excellent interview with on his book bitcoin and black america
1230680905464729600,2020-02-21 02:29:27,talked bitcoin africa with niiquaynor and
1223841364711854080,2020-02-02 05:31:33,bitcoin cc
1207768162592145409,2019-12-19 21:02:23,not yet
1204766089353129984,2019-12-11 14:13:13,square is doing exactly this for bitcoin with for social media wed like this team to either find an ex
1199774792917929984,2019-11-27 19:39:36,sad to be leaving the continentfor now africa will define the future especially the bitcoin one not sure wher
1194621754825756672,2019-11-13 14:23:16,rt who are the best crypto and bitcoin companies and entrepreneurs in ghana that i dont know about
1193937460553633792,2019-11-11 17:04:07,mini bitcoin ghana meetup with
1189979959701299200,2019-10-31 18:58:25,rt happy birthday bitcoin still the only birthday i have committed to memory sorry mom
1179829800107724800,2019-10-03 18:45:19,design bitcoin
1174721936775159810,2019-09-19 16:28:29,rt steve lee matt corallo the guy who writes these tweets if you thought we already had the bitcoin dream team think again
1159897104569049088,2019-08-09 18:39:54,inspired by your message today would love to partner in some way bitcoin
1143936730413899776,2019-06-26 17:39:04,now your can withdrawal and deposit bitcoin through
1116796673429086208,2019-04-12 20:14:10,rt give us your best talking to friends and family about bitcoin story be quick the portal is closing
1110088030419714049,2019-03-25 07:56:25,bought these minecraft legos with bitcoin and here in tokyo for bizs son jake
1108487927078674432,2019-03-20 21:58:11,are you currently contributing to bitcoincore or other crypto ecosystem projects for free in your offtime wed l
1104301421145387008,2019-03-09 08:42:30,
1103797027022893057,2019-03-07 23:18:13,just bought a hardware wallet with bitcoin through
1103111484098269185,2019-03-06 01:54:07,both im excited about helping bitcoin to be a fast and efficient currency an
1098310194965012480,2019-02-20 19:55:30,rt is strictly superior to for purchasing bitcoins because they had the focus amp discipline to streamline the
1093028833177960450,2019-02-06 06:09:15,arent the bitcoin cash folks behind it
1092963539407405056,2019-02-06 01:49:48,working on it but youll need to keep coinbase to buy fakebitcoin
1092927831468761089,2019-02-05 23:27:55,rt twitters cofounder just accepted a bitcoin payment that has been sentreceived by other users across continents
1092914316729147392,2019-02-05 22:34:13,i only have bitcoin
