id,created_at,text
1339733949023723521,2020-12-18 00:47:19,regrettably the is probably the worst take on bitcoin that youve ever had to read its basically misinformation
1337808806378614785,2020-12-12 17:17:29,for example six badgers can agree to mine the six required nfts in order to win th of the bitcoin prize if
1336830038180835328,2020-12-10 00:28:12,rt ray dalio founder of the worlds largest hedge fund says bitcoin can form part of a diversified portfolio though he may st
1316914298241810438,2020-10-16 01:30:10,rt bitcoin is email which is coolbut ethereum is the whole internet the cftc
1306441506576834560,2020-09-17 03:55:02,see here
1306440876105887745,2020-09-17 03:52:32,you would throw your children into a dark forest
1305842786894258176,2020-09-15 12:15:56,
1305673529149583360,2020-09-15 01:03:22,buy nfts or rari not investment advice
1305619373995024384,2020-09-14 21:28:10,rt youre about to earn bitcoin on everything imagine that
1296775851946708999,2020-08-21 11:47:10,if youre experiencing il youre losing units of your assets not clear h
1294710752792772609,2020-08-15 19:01:12,rt long btc puts
1294249047163838465,2020-08-14 12:26:33,december
1290508012881420288,2020-08-04 04:41:01,rt namecoin feathercoin mastercoin garlicoin monero iota cardano golem gnosis chronologic bitcoin finally
1287791209780514816,2020-07-27 16:45:25,rt this past friday was my last day at multicoinits been a great years and ive learned so much from
1286117804031315968,2020-07-23 01:55:54,rt weve been working with for a while now at and ive been blown away by the awareness and commitment to bitcoin a
1286109834325233665,2020-07-23 01:24:13,rt few people talk about how is running a literal bitcoin faucet in the year two thousand and twenty
1280989885415985155,2020-07-08 22:19:22,uncollateralization and decentralization are two completely different axes
1276496927740383232,2020-06-26 12:45:58,hodling a bitcoin is just about the least interesting thing you can do on a blockchain todaystaking mining
1275614630526812161,2020-06-24 02:20:02,rt for those who werent around in this is what the age of icos felt like
1261360762678915073,2020-05-15 18:20:15,rt i dont understand bitcoin please explain it to me
1260764425545539589,2020-05-14 02:50:37,on the edge of my seat waiting for tbtcneed trustlessbitcoinonethereum to yololong to eth saturn with maker
1256192301958868996,2020-05-01 12:02:38,rt i think needs to come out and publicly make a statement about this since he prides himself on being a bitcoiner a
1256175029668192257,2020-05-01 10:54:00,earn some bitcoin try some defi market make a portfolio of all your friends social currencies leverage
1255555038602235914,2020-04-29 17:50:22,dont ask me ask mr hinman at the sec d
1248386976685809671,2020-04-09 23:07:03,ha you should have been on rbitcoin in maybe you were where a company even s
