id,created_at,text
1263834207081512962,2020-05-22 14:08:50,rt coinqvest has just released its cryptocurrency payment processing platform online merchants can now accept btc and other
894907835942707200,2017-08-08 13:07:09,rt mobius is being featured on product hunt today find us and ask questions there ripple bitcoin ethereum
880962467190390784,2017-07-01 01:33:14,rt i wish people would question how the dollar works like they question me how bitcoin works
846759028482977792,2017-03-28 16:20:59,rt were distributing up to billion lumens to bitcoin holders get all the details here blockch
833877688733478912,2017-02-21 03:15:08,rt til there are bots on github that create pull requests to projects using ci replacing all code with bitcoinmining code
820691600065990656,2017-01-15 17:58:19,rt weird way to try to win a girls heart on the blockchain but good luck budbtc bitcoin
789578897583017984,2016-10-21 21:27:33,if you have bitcoins you can use and to buy ask on our slack
781203941413363717,2016-09-28 18:48:28,there are a few more rounds of the bitcoin distribution left so if you think of a better way please let us know
763151670184284160,2016-08-09 23:15:11,stellar isnt a private blockchain it is decentralized anyone can be a validator like with bitcoin
748166347314495489,2016-06-29 14:48:52,rt stellar protocol announces stellar build challenge for developers bitcoin news finance
725136665086324736,2016-04-27 01:37:08,rt new joins us to discuss and the vision of an open financial system
684897030444068865,2016-01-07 00:39:11,new by me whats new on the upgraded stellar network
672121582110699520,2015-12-02 18:34:07,good post id add that internal blockchains can also be made interoperable with the outside world more easily if need be
664470753702576128,2015-11-11 15:52:27,pretty cool decentralized twitter on the blockchain bitcoin
