id,created_at,text
1334118677264953344,2020-12-02 12:54:14,rt brain walletman sold all his assets bought bitcoin memorized the passphrase crossed the border from venezuela to colomb
1324010753742016512,2020-11-04 15:28:57,rt they might not grab headlines like bitcoin but stablecoins could have a huge growth trajectory as a digital money format backe
1323301464551362561,2020-11-02 16:30:29,rt they might not grab headlines like bitcoin but stablecoins could have a huge growth trajectory as a digital money format backe
1314211605635235840,2020-10-08 14:30:38,rt today announced that it has purchased m in bitcoin square believes cryptocurrency is an instrument of economic e
1280600751086206982,2020-07-07 20:33:06,rt circle founder jeremy allaire saw that we are very much approaching a time when digital currency wil
1280598496907837440,2020-07-07 20:24:08,speech at hangzhou blockchain week the three phases of global digital currency adoption
1240678209898844160,2020-03-19 16:35:10,rt bitcoin buyers catching on to the fact that the us govt is about to print trillions of dollars
1146550772177485825,2019-07-03 22:46:20,rt nice work jeremy way to stay composed today w this aggressive disrespec
1124485306055630848,2019-05-04 01:26:03,rt bitcoin is where it is as a result of the hard work of exchanges in providing on ramps i would not cheer any crypto exchange
998987997826764800,2018-05-22 18:04:33,rt fresh off raising m bitcoin startup circlelaunches a new product aimed at mom and pop cryptocurrency investors htt
894928206112882688,2017-08-08 14:28:05,we use bitcoin and ether and we are nd largest crypto asset trader i
834970743196758018,2017-02-24 03:38:32,rt aaaand bitcoin passed the all time high
808460451591942148,2016-12-12 23:56:06,no blaming the incentive and governance system of bitcoin not specific groups or individuals
808443736921436160,2016-12-12 22:49:41,is it actually controversial to say there has been extremely limited progress in bitcoin runtime in years
760238103902625792,2016-08-01 22:17:43,many models to consider and adopt ietf jcp wc apache foundation linux foundation
751523338971996161,2016-07-08 21:08:21,rt here you go
727963270917836806,2016-05-04 20:49:03,while the bitcoin broll images are a bit out of hand pretty decent interview that helps explain what were doing
720344149917110272,2016-04-13 20:13:23,sure you can just send some bitcoin to your address under qr code in the apps
719968079292297216,2016-04-12 19:19:01,acquires bitcoin company quartz speculates on whats up with that
718781198940692480,2016-04-09 12:42:46,rt is circle ushering in an era of using bitcoin without knowing bitcoin
718097128275443713,2016-04-07 15:24:31,rt this marks a massive moment in bitcoin congrats to our portfolio co and for making history
697241582324490240,2016-02-10 02:12:02,given the inability of btc devs to innovate on bitcoin protocol eth looks promising for next wave of crypto apps
694586356950044672,2016-02-02 18:21:06,umm u can pay any bitcoin address with usd using just scan qr code
693883830453796866,2016-01-31 19:49:31,nice you can pay for the new louis ck show horace and pete using and bitcoin open payments rule
681620678504787968,2015-12-28 23:40:08,venmo is another closed network circle is building on the open internet you are able to pay get paid via btc
680809347857936384,2015-12-26 17:56:12,thats correct we are a consumer internet company focused on finance not a bitcoin company
680807629673873408,2015-12-26 17:49:22,thats really nice good luck with actual people who actually want to get utility value from bitcoin
680805424975732736,2015-12-26 17:40:36,and steal peoples money and launder it through bitcoin sadly we are unable to trust everyone
676845694284652544,2015-12-15 19:26:03,no by default in the us its usd but you can still makereceive payments over the bitcoin network
669139319228145664,2015-11-24 13:03:40,and use bitcoin as a glue to connect value on the open internet
668426560182067200,2015-11-22 13:51:25,not an accurate view of strategy but the more companies who use bitcoin under the hood the more bitcoin succeeds
667172804245221376,2015-11-19 02:49:26,with your usd becomes bitcoin instantly if you send dollars to a btc qr code or payment address and vice versa
661957084624396288,2015-11-04 17:24:02,rt bitcoin will serve as a better substrate than existing networks
651710118938210304,2015-10-07 10:46:15,love this work from and open innovation on the bitcoin blockchain yes that one
634528172827086849,2015-08-21 00:51:20,i hope that we all are part of the majority supporting scalable adoption of the bitcoin network
604027893937741824,2015-05-28 20:54:06,rt thanks for featuring circle at io were celebrating by giving you of btc for trying the app
572230580013645824,2015-03-02 03:02:56,rt bitcoin investment trust gets finras ok to become first public bitcoin fund via
565266492594606081,2015-02-10 21:50:08,rt weve updated our ios and android apps new features nfc androidwear card scan notification widget bitcoin http
561304646070050819,2015-01-30 23:27:10,josh lim on why we need ledgerx bitcoin derivatives exchange
557163277374193664,2015-01-19 13:10:51,latest build of circle for bitcoin on ios yo
555926402399076352,2015-01-16 03:15:57,ios bitcoin notification center widget instapayments
553206662014959616,2015-01-08 15:08:40,rt to host bitcoin event to help launch lineup me
546779899613437953,2014-12-21 21:31:01,rt sent bitcoin via yesterday from china to the us literally sent it from the bank of the yangtze river http
543374495806156800,2014-12-12 11:59:09,rt great pizza from dirham bill paid with bitcoin on
543082697984602112,2014-12-11 16:39:39,adds bitcoin as payment option for apps games content very cool
543079786005159938,2014-12-11 16:28:05,rt exjpmorgan exec to be cfo of more mainstreaming of bitcoin amp digital currency
540921343857131521,2014-12-05 17:31:12,bitcoin can support and enable crowdsourced humanitarianism
539859595083415552,2014-12-02 19:12:12,rt i made a donation to the for bitcoingivingtuesday
539859574397087745,2014-12-02 19:12:07,rt i made a donation to for bitcoingivingtuesday
538030446161182720,2014-11-27 18:03:49,annual growth in merchants and retailers accepting bitcoin to not bad on pace with website growth from
538030078975016960,2014-11-27 18:02:21,if you know someone who hasnt tried using bitcoin no better excuse than trying on bitcoinblackfriday
538029816025718784,2014-11-27 18:01:18,powering new user wallets and bitcoin purchases this year on bitcoinblackfriday
537314253678862336,2014-11-25 18:37:55,rt miss on this am catch him bringing bitcoin amp blackfriday to now
535472816121184256,2014-11-20 16:40:42,rt pantera bid for the majority of the june bitcoin auction now accepting syndicate bids for the dec bitcoin auction http
534456110477221889,2014-11-17 21:20:41,rt the blockchain can help solve the problem of protecting consumer identities bitcoin bbgfx http
527555175083683840,2014-10-29 20:18:49,yes agree and is something we focused on for users removing complexity around security of storing bitcoin
520632020717019136,2014-10-10 17:48:41,using or other bitcoin wallet helps free you from insecurity of pullbased ach payments understand reluctance
520330765515902977,2014-10-09 21:51:36,rt heard of a company called looks like meets bitcoin great desig
516661059571441664,2014-09-29 18:49:30,rt took just mins to get a account link a credit card buy some bitcoins and rickroll the blockchain
516558637079470080,2014-09-29 12:02:30,rt no more waiting were happy to announce that weve opened our doors to a global audience bitcoin
510428130675556353,2014-09-12 14:02:04,us cftc approves btc otc swap product price volatility insurance on bitcoin now legal financial product in us
509733229025181696,2014-09-10 16:00:46,rt ready to party at sibos and are hosting a bitcoin bash on sept c
506974842189795328,2014-09-03 01:19:56,consumers can fight back against creditcardattacks like homedepothacks using bitcoin payments
506974673977237504,2014-09-03 01:19:16,irony of homedepothack is that russian criminals use more secure payment systems bitcoin than their victims
506974382947061760,2014-09-03 01:18:06,homedepothack punctuates need for stronger security in tx like bitcoin provides
503911523635716097,2014-08-25 14:27:24,rt talks about the total madness of legacy payment systems bitcoin payments
499593032493465601,2014-08-13 16:27:15,rt really impressed with product and support first bitcoin wallet ive found thats a better experience than most
498869726870007808,2014-08-11 16:33:06,rt is bitcoin the future of money vote now to let make the case http
498869617767755776,2014-08-11 16:32:40,rt is bitcoin the future of money vote now to let make the case http
496653038636244993,2014-08-05 13:44:46,not now other runtimes counterparty viacoin ethereum hold promise but i would love to see extensibility for bitcoin
496645859829088256,2014-08-05 13:16:14,yes when the volume of real trade happening in bitcoin eg bitcoin gdp requires an m of trillion no idea when
