id,created_at,text
1341967578705453056,2020-12-24 04:42:57,bullshit lawsuits is hig
1337282124030726144,2020-12-11 06:24:38,no surprise best thing we can do for bitcoin is to put it in the pockets of politicians guaranteed to act in the
1336067628385779712,2020-12-07 21:58:40,im looking to borrow trillion to buy bitcoin
1322923397815308289,2020-11-01 15:28:11,kraken doesnt charge or accept any listing feespayments if we list somet
1320026612746760196,2020-10-24 15:37:24,most traders dont buy bitcoin directly from miners either the bsa applies to those subject to its juri
1319712799317053441,2020-10-23 18:50:25,have seen this scene so many times im no longer able to distinguish new videos fr
1317879426495901696,2020-10-18 17:25:14,you spend bitcoin at the same time you would spend fiat maybe you think a little harder about whet
1317873041594986497,2020-10-18 16:59:52,spent some of my first bitcoin at this joint wish wed had a chance to say goodbye will never forget the taste o
1317864736503910400,2020-10-18 16:26:52,rt sad farewell today to room in berlin a legendary bitcoin bar where much of our history and even some of our code was
1314282556230037504,2020-10-08 19:12:34,you think kraken hasnt been accumulating bitcoin over the last years
1306486184948822016,2020-09-17 06:52:34,i used to buy the mag with cash at a local bookstore id buy a lifetime digital sub if you accepted bitcoin
1305228545191370752,2020-09-13 19:35:09,if you had a time machine would you buy bitcoin and go in to the future or take your dollars and go in to the past
1304845102993387520,2020-09-12 18:11:30,rt if you want to self custody large amounts of bitcoin multisig is the preferred method for creating highly robust secure storage
1302350620339220480,2020-09-05 20:59:19,
1302322840981524480,2020-09-05 19:08:55,this is why you need to keep your hot wallet on you at all times
1302321411197816833,2020-09-05 19:03:15,mining is eating bean burritos
1301733096971149317,2020-09-04 04:05:30,rt bitcoin is pristine collateral says brilliant macro perspective on true essence of btc valueshortage of saf
1301723643697745921,2020-09-04 03:27:56,if you like watching the numbers flash check us out on
1299528223198507009,2020-08-29 02:04:07,rt rip who left us six yrs ago today this artwork is still running bitcoin in his honor
1295241666589126656,2020-08-17 06:10:52,yeah thanks ive been following it its never going to end there will nev
1295237141794926592,2020-08-17 05:52:53,well see if these new taxes pass getting harder to justify living in ca for anyone with a remote job
1292638680285290496,2020-08-10 01:47:32,same i follow for the bitcoin shilling
1288190778548711424,2020-07-28 19:13:09,people often say i bought im hodling but im bored buy amp hold profityour bag could be your btc
1287640320922943489,2020-07-27 06:45:50,totally fine if they show up with their own currency we can figure out an exchange rate at least
1287592151673577472,2020-07-27 03:34:25,awesome debate going on right now on bitcoin vs gold w amp currently on the topic of gold
1283136915957379079,2020-07-14 20:30:54,bitcoin
1283130493446180864,2020-07-14 20:05:23,heres some light you have to buy bitcoin with something alt research amp specu
1273414212371378176,2020-06-18 00:36:21,one step at a time first thing people need to worry about is buying bitcoin
1271146812993224705,2020-06-11 18:26:31,rt pentagon documents reveal the us has planned for a bitcoin rebellion by
1269031341493940225,2020-06-05 22:20:23,great interview shared it with the whole team this morning thank you
1269031157061939201,2020-06-05 22:19:39,rt new interview
1268932388232425472,2020-06-05 15:47:11,rt wbd bitcoin amp black america with isaiah jackson we discuss the killing of george floyd protest
1268729284127948800,2020-06-05 02:20:07,i will personally part with at least satoshi for
1268237469369036802,2020-06-03 17:45:50,no but i am giving jobs away employees have the option of taking payment in bitcoin
1260685021729316865,2020-05-13 21:35:06,rt had a great discussion on the bitcoin halvingbitcoin isnt even priced into bitcoin every time the halv
1253890885063856128,2020-04-25 03:37:37,in terms of investing a loss is the benchmark outperforming your portfolio happy to buy bitcoin instea
1253752563251310593,2020-04-24 18:27:59,rt the stock to flow overlay forecasts bitcoins price to rise after each halving check it out using a logarithmic scale
1251322089354653696,2020-04-18 01:30:09,yes cash should be printed and distributed equally you increase the size of the pie and you inc
1247344231045185538,2020-04-07 02:03:33,if its ok to support buying bitcoin with
1247342244153065475,2020-04-07 01:55:40,if we delisted everything but bitcoin how would you buy bitcoin
1240576989733384194,2020-03-19 09:52:57,rt the dollar and bitcoin is all i got right now im adding to bitcoin and im max long dollars vs eurgbp aud brl mxn krw
1240527911808950272,2020-03-19 06:37:56,get to building those bitcoin mining facilities better to burn it than barrel it
1239315520534413312,2020-03-15 22:20:20,plaid bitcoinization coming up
1212163940186066944,2020-01-01 00:09:38,except that time in jan when xrp market cap surpassed bitcoin
1210694509895409664,2019-12-27 22:50:39,looks promising thanks
1199508229337702400,2019-11-27 02:00:22,very cool looking forward to being a dolphin in the time before humans not so sure abo
1198316652376383488,2019-11-23 19:05:28,yes my point was that nobody owns the name bitcoin nobody controls which evolving conc
1198058009106104321,2019-11-23 01:57:42,i think theyre great and better align incentives in education they also open up oppor
1198050503046729728,2019-11-23 01:27:53,good thing is internet is a lot faster and cheaper in many parts of the world
1198050004234977285,2019-11-23 01:25:54,could be a stipend for these things as part of the benefits package but this is nickels
1198047213638672384,2019-11-23 01:14:49,assume employee will since relocation costs are hugely variable and the employee could choose to n
1197261073914548224,2019-11-20 21:10:58,what is the base level what are you do
1197254400219082753,2019-11-20 20:44:27,how does the government make sure its
1197248133186506752,2019-11-20 20:19:33,nobody is arguing against voluntary col
1180343277519638528,2019-10-05 04:45:41,basically yes you could think of them as a broker
1180341339776413696,2019-10-05 04:37:59,yup but not an exchange th
1157039205547040768,2019-08-01 21:23:38,rt highlight kraken is one of the oldest and largest bitcoin exchanges out there says cofounder
1156066848263159808,2019-07-30 04:59:49,they get blocked by a paywall please accept bitcoin
1143745854748028928,2019-06-26 05:00:36,when i hear people talking about a bitcoin correction im thinking k maybe m thats whats correct
1141357233407610880,2019-06-19 14:49:04,before bitcoin before libra there was qq coin
