id,created_at,text
1176783872333189120,2019-09-25 09:01:53,rt this telegram channel is an excellent resource for staying on top of everything thats happening in the bitcoin cash e
1098892385067520001,2019-02-22 10:28:55,
1063131107024003073,2018-11-15 18:06:22,congratulations
1063130719981957120,2018-11-15 18:04:50,rt we are committed to put our users first check new replay protection tool for the bitcoinca
1039199143921627136,2018-09-10 17:09:17,
1039198293014638592,2018-09-10 17:05:55,welcometothereality moment for jimmy
1034678183881191424,2018-08-29 05:44:37,rt omni core maintainer and developer udexxomni and wormhole do not benefit from canonical transaction ordering
1034625182759940096,2018-08-29 02:14:00,rt it has always been known that bitcoin needs to
1034624634522460160,2018-08-29 02:11:49,coingeek believe they will be able to manipulate the mass seeing lying reporters like kyle succeeded in manipulation the mass
1033382987767762945,2018-08-25 15:57:58,
1005356768229142528,2018-06-09 07:51:46,are you responsible for this recent censorship action
1001363233570148352,2018-05-29 07:22:53,rt to bitcoin folks taking advantage of the extra opreturn capacity here is a tiny utility to speedup your protocol identifi
992210181084798976,2018-05-04 01:11:56,it is a good possible way to provide a quick perceived confirmation experience
984186691660398592,2018-04-11 21:49:27,rt
984186566531694593,2018-04-11 21:48:57,rt a new resource for finding bitcoin cash development projects submit yoursreddit thread
979018599393214465,2018-03-28 15:33:18,both are good tokens in my point of view
974753257884024833,2018-03-16 21:04:21,fact check viabtc is not owned by bitmain we own shares in viabtc that only has significant less vo
961108772256145410,2018-02-07 05:26:02,rt bitcoincash has a community rapidly moving forward example people are taking up paid subscription with i
948133361783934976,2018-01-02 10:06:23,rt segwit in your wallet bitcoin
944855751691968512,2017-12-24 09:02:20,welcome to spam the bch blockchain while you want to donate to torproject dont spam btc
943053627685445633,2017-12-19 09:41:20,rt list of things that has been discussed by cash devs so far
936387616630390784,2017-12-01 00:12:59,rt zebpay india adding bitcoincash among other new currencies
935302879631392768,2017-11-28 00:22:38,rt support in lamassus machines nice
935170481837170688,2017-11-27 15:36:32,rt update btc com wallet users can now securely recover their bitcoin gold funds at learn mor
934995423638327297,2017-11-27 04:00:55,rt bch analyst moves from censored platform to bitcoincash powered
934321757225287687,2017-11-25 07:24:00,rt bitcoincash prepaid card on the horizon bitcoincash fast easy peertopeer electronic money bitcoin cash
931132322719547392,2017-11-16 12:10:19,rt btcc has introduced bitcoin cash bch mining
931015009701785600,2017-11-16 04:24:10,rt
931014751856893952,2017-11-16 04:23:08,rt
930998140513107969,2017-11-16 03:17:08,rt look what arrived anyone in perth want a bitcoincash sticker sorry no bitcoin stickers i dont suppor
