id,created_at,text
1328175021714530304,2020-11-16 03:16:16,we have bitcoin dot com which is a site that promotes a coin pretending to be bitcoin and bitcoincash dot com whic
1314211500249153537,2020-10-08 14:30:13,on bitcoin fixes this i talk to about a lot of the issues in the black community how so much of
1293340550838525952,2020-08-12 00:16:31,i always thought hyperbitcoinization would come from consumer creditim reconsidering its possible corporation
1287768671281184768,2020-07-27 15:15:51,the institutions are coming utreexo demo segwitbatching calculating bitcoin hash rate dynamic channel commit
1279153334407041024,2020-07-03 20:41:35,
1272185677161984002,2020-06-14 15:14:36,sunday surveyhow have you done on your investments stocks bitcoin bonds etc this year
1264211815740866562,2020-05-23 15:09:19,more bitcoin newbie advice gbtc lt coins on exchange lt software wallet lt hardware wallet lt multisignoncustodi
1261770587334197248,2020-05-16 21:28:45,tips for noobs to bitcoin holding is saving trading is a skill if you dont have an edge dont spending
1260303422802341890,2020-05-12 20:18:45,if you got into bitcoin before digit blocks youre still early
1249368575791464457,2020-04-12 16:07:35,most funds compete against the depreciating ever expanding dollar bitcoin will make that business much tougher in the long run
1247216817220792320,2020-04-06 17:37:16,in a few minutes lsat bitcoin action and more bitcoin tech talk is coming up
1238512490461433856,2020-03-13 17:09:22,reminder not your keys not your bitcoins volatility exposes flaws and there will be businesses who will be c
1229944878848782337,2020-02-19 01:44:45,we will never see have less than million followers
1229917383986499584,2020-02-18 23:55:29,calling all github users rotate your ssh key on github make some bitcoin worth as of now
1229107966885974019,2020-02-16 18:19:09,are you satisfied with the security around your bitcoinssk single key
1225531748924129285,2020-02-06 21:28:32,bitcoin conferences are evolving focuses on developer learning bitcoin reformation focuses on economi
1224044320354897921,2020-02-02 18:58:02,bitcoin is building stuff that actually meet peoples needs theres a real lack of good stores of value in the wo
1216827322306830338,2020-01-13 21:00:15,in a few minutes how do we get more bitcoiners bitcoin tech talk qampa starting soon
1216021174079098880,2020-01-11 15:36:55,you can obsess about price or actually learn something is having a conference in london february
1207765706546257921,2019-12-19 20:52:38,contenders to the bitcoin maximalist throne token sales blockchain not bitcoin ethereum se
1201968555677356037,2019-12-03 20:56:49,what will be the most surprising about hyperbitcoinization
1181716302425182209,2019-10-08 23:41:36,what percentage of your bitcoins will you leave to your kids
1171475489958973441,2019-09-10 17:28:16,rt if you dont get it then you are going to get it eventually because bitcoin is the hardest money in existence
1161415309804417024,2019-08-13 23:12:42,why did you buy bitcoin
1150989295353618432,2019-07-16 04:43:27,fun panel with and at
1150621392674664448,2019-07-15 04:21:32,short rant about quantum computing breaking bitcoin if you study even a little of it you realize very quickly
1137989249746317313,2019-06-10 07:45:54,enjoyed the netherlands home of and thank you for a wonderful con
1131563560738467845,2019-05-23 14:12:30,if you want to learn bitcoin and know some clojure heres a port of my books codethanks
1127554394931769344,2019-05-12 12:41:31,sunday surveyhow many bitcoin books have you read something mentioning bitcoin doesnt count has to be about bitcoin
1126163296908972032,2019-05-08 16:33:47,a reorg is indistinguishable from an attack the bitcoin network immune system works the same way for both without
1121495455316180993,2019-04-25 19:25:27,thoughts about the twitter handle
1119679460905820160,2019-04-20 19:09:20,the account should be
1106952003559845888,2019-03-16 16:14:58,re blockchain not bitcoin hypewhen did encrypted data become a part of blockchain technology what sort of
1100485308074942465,2019-02-26 19:58:38,happening soon bitcoin tech talk issue bitcoin development libbitcoin message signing bip raspiblitz ro
1093850183102652416,2019-02-08 12:33:01,rt bitcoin brief w from advancingbitcoin in london to talk revising mtgox
1093824245430394880,2019-02-08 10:49:57,learning how to program my own hardware wallet mind blown is teaching this at
1089948594881392647,2019-01-28 18:09:29,in less than hours were going live talking the past weeks tech news unconfiscatable coming up
1080892200144302081,2019-01-03 18:22:37,id like to see if we can record something in a three part harmony next time we see each other in person
1063623370980421635,2018-11-17 02:42:27,i look forward to a year from now when well be watching rbtc argue about which coin is the real abc more split
1048640076958375936,2018-10-06 18:24:11,question for the crowd how would you bring btc to north korea
1041316333957378048,2018-09-16 13:22:15,sunday surveyhow often do you check rbitcoin or rbtc
1039147245164273664,2018-09-10 13:43:04,ok one thing from the debate if you will lock up btc with a third party ill take the year flippening bet
1037362985159852032,2018-09-05 15:33:03,ive been trying to send testnet bitcoins for days now the problem isnt the supply of coins its that th
1025889677507801096,2018-08-04 23:42:13,i predict that as bitcoin becomes a bigger part of society that there will be more creativity innovation futu
1005975618729758728,2018-06-11 00:50:52,i frankly dont care what you think of btc you accused me of being blind to the wonder
1005930523309559810,2018-06-10 21:51:40,in bitcoin you have the same dynamics as gold its very expensive to get into bitcoin mining you would think
1005084398826508288,2018-06-08 13:49:28,only if you use the word use to mean paying for stuff most people use bitcoin as a store of value
1004075331488309248,2018-06-05 18:59:48,in a couple minutes mining pools and other bitcoin stuff with
999675382012915712,2018-05-24 15:35:58,rt bitcoin brief w amp to talk moving into shitcoin trading att
998726579638489089,2018-05-22 00:45:46,ive been thinking a lot about this anything free has this problem and its the reason why rbitcoin
