id,created_at,text
1333345005423869952,2020-11-30 09:39:56,had a great time talking thank you
1278204402361233408,2020-07-01 05:50:52,rt a farm is a more productive environment than a city apartmenta modern farm can have solar fiber internet and bitcoin vault
1261408744677601280,2020-05-15 21:30:55,rt jk rowling asked me to explain bitcoin to her think of the nodes as horcruxes so long as one remains value transfers are c
1225242841238003713,2020-02-06 02:20:31,rt confidence in filecoin implementation just went up anything chainsafe works on just works you guys ought to consider
1054405597183930369,2018-10-22 16:14:18,rt funkhaus studio is packed for s talk about web web systematizes economics and law it makes things v
985481979842912258,2018-04-15 11:36:28,rt the amazing overlooked story of bitcoin an open source project without central servers or management has run a secure op
905876311650041856,2017-09-07 19:31:57,rt interviewer what aremost interesting to you beyond bitcoin and ethereum zcash tezos filecoin
887849779480285189,2017-07-20 01:40:57,rt filecoin ico launching next week aims to resolve token sale problems tokensales bitcoin ethere
876954479681126400,2017-06-20 00:06:55,rt heres a quick teaser shout out to for coding this beast crypto btc http
872646630268207106,2017-06-08 02:49:04,cc bitcoin ethereum
872641996069851136,2017-06-08 02:30:39,it has to get easy to do payments on all major wallets to multiple outputs btc or contracts w data eth from qr codes amp copypaste
852609505867087872,2017-04-13 19:48:41,rt very good talk by on decentralised networks clear intro to complicated concepts libpp bitcoin ethere
805012394451709953,2016-12-03 11:34:45,rt via how many national currencies are smaller than bitcoin
799394698150301696,2016-11-17 23:32:02,
799394251633106944,2016-11-17 23:30:16,yeah this was excellent
