id,created_at,text
1340503192312811520,2020-12-20 03:44:01,rt bittorrent uri for downloading magnetxturnbtihecddaeaebbeddampdnbitcoincoreamptr
1332530424808042496,2020-11-28 03:43:05,rt i kinda wish to tweet more about bitcoin positively
1332523463152603138,2020-11-28 03:15:25,bitcoin seized by chinese authorities have been sold at q so the crypto market doesnt need to worr
1329012991614803968,2020-11-18 10:46:03,rt everyone hating on but ive been enjoying zero fees comission on usdt payments thanks to the tron network
1320998894138847232,2020-10-27 08:00:53,chance to get free bitcoin just deposit btc ad btctron over the next days tron
1320979897339162624,2020-10-27 06:45:24,rt to celebrate bitcoin th anniversary our special steemcryptochallenge is all about bitcoin as well as guess the
1316297345982582787,2020-10-14 08:38:37,rt tron trx is on btcturkprojoin turkeys largest bitcoin and cryptocurrency exchange btcturkpro now ios http
1316297303624347648,2020-10-14 08:38:27,rt trxtry trxbtc and trxusdt pairs are on btcturkprojoin turkeys largest bitcoin and cryptocurrency exchange btc
1314260310572769280,2020-10-08 17:44:10,smart move bitcoin
1313103877764341760,2020-10-05 13:08:55,rt the site is live folk tron bitcoin wbtt trx
1282581459719434241,2020-07-13 07:43:43,check out tron monthly report of junetrx is available on trx can be used on trc
1271028979634286593,2020-06-11 10:38:17,rt mark the date will be live on rightbtc telegram on june tomorrow at am utc join telegram gro
1269126370426142720,2020-06-06 04:38:00,trx will be listed on trxbtc trxusdt will be available soon thanks for the support to tron trx
1268448333393039360,2020-06-04 07:43:43,rt fantastic news is here with gifts tron is going to be listed on we will organize a series of
1266732107792932866,2020-05-30 14:04:03,rt the tron shielded protocol selects the hash value of bitcoin block to generate the final random beacon
1264815553492865025,2020-05-25 07:08:21,rt the number of tweets about bitcoin are starting to pick up again and its crazy how for all intents and purposes no one i
1262748737010454536,2020-05-19 14:15:34,rt great newshappy to announce that will be supporting jst airdrops for trx holders
1261490835742265344,2020-05-16 02:57:07,rt i dont understand bitcoin please explain it to me
1259011703288721409,2020-05-09 06:45:56,bitcoin hodler confirmed
1259008492540575748,2020-05-09 06:33:10,rt this is pathetic vitalik asserts that bitcoiners a wellknown homogeneous demographic dont really care about selfcustod
1251288325337448448,2020-04-17 23:15:59,still bitcoin
