id,created_at,text
1312469196769386497,2020-10-03 19:06:55,the btcpegged token will ease access for holders of the worlds largest market cap cryptocurrency and provide a
1184588846543101952,2019-10-16 21:56:04,according to the justice department law enforcement was able to trace payments of bitcoin to the d
1074703092564688896,2018-12-17 16:29:18,my talk about how the btc blockchain was used to catch public corruption amp money laundering by a pair of cor
1013861569074065408,2018-07-02 19:06:49,rt thanks to crypto the kinds of people who hung out on bitcointalk in are going to be allocating a lot of capital in co
995078746943045632,2018-05-11 23:10:35,valpo
975521848648548353,2018-03-18 23:58:27,but to answer the broader q yep wouldve preferred they used btc v western union
958790760064720896,2018-01-31 19:55:05,rt square cash expands bitcoin buying and selling to all users by
954414472109551616,2018-01-19 18:05:16,cftc to tighten how it reviews bitcoinrelated product launches via
949010136554643456,2018-01-04 20:10:22,us derivatives regulator to review bitcoin futures risks article amp reuters
943968219999510531,2017-12-21 22:15:36,goldman sachs launching trading desk for bitcoin report says
943614203478323206,2017-12-20 22:48:52,new york stock exchange looking to dive into bitcoin with new etfs
942459041254596608,2017-12-17 18:18:40,rt bitcoins popularity in venezuela is a no brainer given that the bolivar has ceased to function and bitcoins can be mined
941892184613167104,2017-12-16 04:46:10,rt breaking td ameritrade to allow bitcoin futures trading monday
940950307906785280,2017-12-13 14:23:30,rt this power couple bought bitcoin in and just donated all their gains to a cancer hospital
938490772873031680,2017-12-06 19:30:11,rt achievement unlocked weve created a fully compatible lightning network on bitcoin
932307733147037696,2017-11-19 18:00:59,rt feeling dumb because you dont know much about bitcoin youre not alone weve got you covered
930907447451033600,2017-11-15 21:16:45,rt interactive brokers chairman warns about the dangers of bitcoin futures in a fullpage wall street journal ad
930500765570908160,2017-11-14 18:20:45,billion aum man group will add bitcoin to its investment universe if futures launch via
929012124327714817,2017-11-10 15:45:25,mnuchin we are looking very carefully at bitcoin
926177094307942400,2017-11-02 20:00:01,that would cause him to reexamine his position on bitcoin
926176954507657216,2017-11-02 19:59:28,i asked if there was any price point bitcoin could reach or if there was any level of demand on the part of jpmorgan clients
925887896791289856,2017-11-02 00:50:51,and i should clarify facts other than the docket that resulted in that dramatic example but still
925887425926201345,2017-11-02 00:48:59,i couldnt agree with you more and the more people that are outside looking in and thinking about t
925886560452702210,2017-11-02 00:45:32,that need redoing that are easy fixes like the one you just proposed
925886393846439937,2017-11-02 00:44:53,dont follow dockets closelyknow about this having had cooperator murdered once by codefts rea
925885722044669958,2017-11-02 00:42:12,absolutely correct theres zero reason for them to be in numerical order only thing thats kept
925884076866727937,2017-11-02 00:35:40,and i kind of doubt they did you are exactly right
925883672108003328,2017-11-02 00:34:04,had the same thought as i typed it but you put it much more succinctly unless mueller amp co got aro
925883173858189312,2017-11-02 00:32:05,rt holy moly is bitcoin really at
925476528774774785,2017-10-31 21:36:13,what im handing out for halloween this year one kid commented btc way too valuable to give away onlyinsf
925376733477343233,2017-10-31 14:59:40,rt us exchange operator cme group to launch bitcoin futures via
923598623203397632,2017-10-26 17:14:06,people are underestimating the great potential of bitcoin billionaire peter thiel says
918961461375918080,2017-10-13 22:07:40,prosecuted money launderers using btc but prosecuted a lot more using fiat they all also used internet email etc
918349477966000128,2017-10-12 05:35:52,wow ponder this an investment of in bitcoin in would now be worth about million
914909569171709956,2017-10-02 17:46:54,goldman sachs is weighing a new trading operation dedicated to bitcoin other digital currencies via
914909116300062720,2017-10-02 17:45:06,rt exclusive goldman sachs weighing a new trading operation dedicated to bitcoin other digital currencies
914871663736512512,2017-10-02 15:16:16,rt are icos for utility tokens selling securities prominent crypto players say yes bitcoin ethere
911644529400332289,2017-09-23 17:32:48,rt why jpmorgan ceo jamie dimon is wrong about bitcoin
910638666678013952,2017-09-20 22:55:51,rt asking a bank ceo what he thinks of bitcoin is like asking the head of the post office what he thinks of email http
907113976181530624,2017-09-11 05:29:59,rt china to shut bitcoin exchanges via
901211645145268224,2017-08-25 22:36:14,rt no one knows how much to pay in bitcoin cash taxes via
900421873326067713,2017-08-23 18:17:58,a small european nation is launching its own version of bitcoin
900029896600178688,2017-08-22 16:20:23,rt awesome crypto trading story by on bitcoin ethereum tokens icos
892377588714283008,2017-08-01 13:32:51,rt i know the dows about to hit but this morning im sitting here with my oatmeal waiting for the first bitcoincash bl
891876757111881728,2017-07-31 04:22:43,rt so this just happened in one of israels busiest streets welcome to bitcoin
890676266797486080,2017-07-27 20:52:24,rt i just published update for customers with bitcoin stored on gdax
890464546032320512,2017-07-27 06:51:06,rt the unsealed indictment explains how bitcoin exchange stole from another generally enabled bitcoinrelated crime h
890405464042864640,2017-07-27 02:56:20,rt seems like the dumber criminal is the more likely heshe conducting illegal activity using bitcoin
890218059700600832,2017-07-26 14:31:39,at long last greece arrests russian suspected of running billion bitcoin laundering ring
880986633641672704,2017-07-01 03:09:16,rt i wish people would question how the dollar works like they question me how bitcoin works
