id,created_at,text
1328766774595231748,2020-11-17 18:27:41,ive only received one text from a noncrypto friend commenting on bitcoins price its crazy how different the bu
1314225156227690496,2020-10-08 15:24:29,rt today announced that it has purchased m in bitcoin square believes cryptocurrency is an instrument of economic e
1308551507105652736,2020-09-22 23:39:25,sedona arizona
1308458902661468160,2020-09-22 17:31:27,a trustless version of tokenized bitcoin on ethereum has been one of the areas ive been most excited about and now
1296597343542710272,2020-08-20 23:57:50,its cool to see crypto people excited about yfi but please stop comparing it to the price of bitcoin and please st
1294014676834033665,2020-08-13 20:55:15,rt book club we discussed the mandibles economic dystopian fiction political ideologies bitcoin as a systemic hedge and so
1293763051754106882,2020-08-13 04:15:23,is the best
1292725643088498691,2020-08-10 07:33:05,so for some of the reasons i stated above i personally want to hold bitcoin as a digital gold but use eth
1284906942482116608,2020-07-19 17:44:22,rt openais gpt may be the biggest thing since bitcoin
1283608716667875328,2020-07-16 03:45:41,rt i love this bio of so much thrilled that shes working on bitcoin core and approaching some of bitcoins fundament
1281063110036426752,2020-07-09 03:10:21,i personally dont think this will happen and hope not since once the bitcoin is on their platform ex
1270170396428431360,2020-06-09 01:46:35,an opportunity to work on bitcoin and with
1264607503230177282,2020-05-24 17:21:38,some background on why bitcoin is valuable to me my explainer is in s anthology cypherpunk women am
1261352960304361472,2020-05-15 17:49:15,rt i dont understand bitcoin please explain it to me
1261327676347801600,2020-05-15 16:08:47,rt okay were doing this tbtc is being deployed to mainnetbuckle up bitcoin ethereum
1253208751756070913,2020-04-23 06:27:04,its really neat that the new edition of the ascent of money by now has a section on bitcoin and cryptoc
1225118260665843712,2020-02-05 18:05:29,its highly recommend
1199445293646798849,2019-11-26 21:50:17,bitcoin its a hill im willing to die on
1190314234866884608,2019-11-01 17:06:43,rt on this day in the bitcoin whitepaper was publishedwe talk a lot about the technological breakthroughs of that
1183736735320039425,2019-10-14 13:30:05,i basically said the same two examples just now
1183736347170766849,2019-10-14 13:28:32,daoscoordinating governance decentralized identityreputation
1183732467221483521,2019-10-14 13:13:07,i have a different view that these will not only be financial protocols although that will be dominant
1183728361727647753,2019-10-14 12:56:48,meant to say major use cases that are nontradingspeculative but didnt have text space for nuance there
1181121460229689344,2019-10-07 08:17:54,yep about hour train ride away
1180366951194877953,2019-10-05 06:19:45,yes did as a team made it clear from the start were all on the same team so theres no blame he
1177274790471581696,2019-09-26 17:32:37,rt new base layer w from heavy bitcoin show folks jordan amp i talk the discussed new functionality
1166780710134239235,2019-08-28 18:32:53,rt what would happen to the bitcoin network if the internet went downthis week on we finally delve into one
1162956166957113344,2019-08-18 05:15:31,was just talking about this today with some people many bitcoiners i have met have been really nice it j
1156322673347063808,2019-07-30 21:56:23,spent the past few years explaining bitcoin to newcomers and found that people often struggle with understanding th
1153022303556362240,2019-07-21 19:21:53,rt a bitcoin address is like an email addressno its not does your email provider let anyone who knows your address v
1152257754079232000,2019-07-19 16:43:51,i dont think bitcoin is inevitable i think it has by far the be
1152037826533347329,2019-07-19 02:09:56,rt its been a crazy week for the bitcoin community starting with chair jerome powell to the trump tweet
1143262391313915904,2019-06-24 20:59:29,still hanging up in my home
1143262001424027649,2019-06-24 20:57:56,this would be way later down the line but i could imagine using zero knowledge proofs f
1143259879055822848,2019-06-24 20:49:30,what if identities werent known
1141490415318646785,2019-06-19 23:38:17,my most facepalm moment when talking to an institutional investor about bitcoin after a full hour of explaining wha
1132752588816838656,2019-05-26 20:57:17,reading masters of doom right now
1130202123314970624,2019-05-19 20:02:38,my dad wont wear the coinbase shirts i gave him anymore since he says people stop him in public to talk about the price of bitcoin
1121266284522381312,2019-04-25 04:14:49,i love how most of these answers are buyhold bitcoin
