id,created_at,text
1334534629483819009,2020-12-03 16:27:04,rt mining software provider announced the creation of titan pool a bitcoin mining pool based in north amer
1330652396607967245,2020-11-22 23:20:28,rt i had the same reaction to bitcoin as to when i used a computer or a mobile phone the first time coinsum
1329859602079510534,2020-11-20 18:50:11,rt its hard to say whether its btc worth the price it is trading at today but do i think it is a durable mechanism that
1313456576716582912,2020-10-06 12:30:25,rt heres a tutorial on how to compare block times on bitcoin and bitcoincash part of our ongoing howto series
1304541706751217668,2020-09-11 22:05:54,rt heres a comprehensive tutorial on how to querysubmit to bitcoin bitcoincash ethereum and ethereumclassic using the bl
1298723786569609220,2020-08-26 20:47:34,rt breaking fidelity president just filed for a previously unknown bitcoin fund by
1283079473529860097,2020-07-14 16:42:39,rt the new record comes a little over two months after bitcoins halving on may which reduced the block subsidy from
1240365495804624897,2020-03-18 19:52:33,rt are you up to date with the latest bitcoincore with bloqcloud we focus on btc network upgrades so you can focus on develo
1232455254936969216,2020-02-26 00:00:05,rt spin up node clusters for bitcoin bitcoincash ethereum ethereumclassic and litecoin all from one place on our bloqcloud
1220478471287246849,2020-01-23 22:48:37,rt bitcoin hashrates reaching new aths in shows increasing miner confidence reports check out
1216789668420780034,2020-01-13 18:30:38,rt this week catch cofounder and chairman in his keynote address at tnabc btcmiami discussing mining
1196630424186847232,2019-11-19 03:25:00,rt heres s wideranging interview with of early bitcoin explorations payments science fict
1170019444925566977,2019-09-06 17:02:28,rt see you there cofounder and chairman discusses bitcoin and cryptocurrency markets on the main stag
1156261316966924303,2019-07-30 17:52:34,rt today we celebrate years of bitgive leveraging bitcoin amp blockchain for charity and philanthropy huge thanks to a
1087762548705972229,2019-01-22 17:22:55,rt honored to receive the very limited edition of kialara physical bitcoin from crypto og and thank y
1023805927130972161,2018-07-30 05:42:09,big fun at the first annual charity poker tournament also gave her very first bitcoin
993564807574929408,2018-05-07 18:54:44,rt can new crypto assets live in harmony with bitcoin and cofounder talks with
908434197395705856,2017-09-14 20:56:05,temporary handbrake as taking bitcoin out of china is like taking water out of the ocean
892480492217524226,2017-08-01 20:21:45,this entire process will be a key test for bitcoin in its evolution beyond a store of value and show its
863129499755462656,2017-05-12 20:31:23,amazing time discussing bitcoin blockchain and beyond with the legendary
815666117192470529,2017-01-01 21:08:51,significant bitcoin milestone achieved happy
813432927442833412,2016-12-26 17:14:57,excellent analysis by my friend on the current bitcoin price dynamics
795713348843302912,2016-11-07 19:43:40,rt bloq is looking for some great blockchain engineers who love to code bitcoin ethereum
725841689429053440,2016-04-29 00:18:38,just gave his first bitcoin furthering financial sovereignty
702131946755923969,2016-02-23 14:04:35,rt bloqs bigname founders see bitcoins future as the root of an internet of chains
685599077849935872,2016-01-08 23:08:52,rt the good the bad and the halving s bitcoin predictions digitalmoney ces
667736901927964672,2015-11-20 16:10:58,bitcoin computer first gen golden goose of bitcoin
658705561228185600,2015-10-26 18:03:38,rt welcome amp thank you amp new bitgive founding donor bitcoin socialimpact tothemoon
658395303175979009,2015-10-25 21:30:47,rt tally capitals will be speaking at on about bitcoin and blockchain technology
632637176656719873,2015-08-15 19:37:11,rt the killerapp is upon us clt bitcoin
619589352528547840,2015-07-10 19:29:47,rt kicking off bitcoinconf in chicago with our board director bitgivechicago bitcoin http
600866122641121280,2015-05-20 03:30:21,bitcoin has been a tale of two cities via bitcoin blockchain
600011270406942720,2015-05-17 18:53:29,reid hoffman why the block chain matters blockchain bitcoin
597113269019611137,2015-05-09 18:57:51,blockchain the next big thing via bitcoin
588422035048689665,2015-04-15 19:22:00,bitcoin vc investment on track to reach billion bitcoin
587678944574496768,2015-04-13 18:09:13,to truly appreciate the potential of bitcoin one needs to understand the history of money bitcoin
580419792160595969,2015-03-24 17:23:56,there is not one single whiteboard on wall street that doesnt have the word bitcoin on it
577513424457842689,2015-03-16 16:55:04,jeff garzik at sxsw we want to bring space to humanity martinerothblatt bitcoin
576576218427969536,2015-03-14 02:50:57,rt bitbeat bitcoin coder garzik signs deal to deploy bitsats in space via
569891182127374336,2015-02-23 16:07:00,the economy of things by bitcoin
569882825228488704,2015-02-23 15:33:48,thank you truly honored bitcoin
566300234817757184,2015-02-13 18:17:51,excited for to be a part of this keystone effort to educate the world about bitcoin bitcoin
558785750666604544,2015-01-24 00:37:59,thank you for speaking and inspiring at the chicago bitcoin center bitcoin
