id,created_at,text
1338024383101669376,2020-12-13 07:34:06,i can bring some bitcoins on your show and let you see them
1337253122419249152,2020-12-11 04:29:24,lets put everyone on a level playing field crypto and bitcoin are likely the most important piece of social justice in this century
1337253015451942912,2020-12-11 04:28:58,thats what bitcoin is all about bitcoin doesnt care if you are rich or poor it doesnt need mega fees and it d
1322979306717392896,2020-11-01 19:10:21,rt bitcoin is the best performing asset this year last years and last years even riskadjusted bitcoin outperform
1259931117039153152,2020-05-11 19:39:21,computers are so much better at enforcement of fiscal policy than humans bitcoin
1129933658125508608,2019-05-19 02:15:51,
1129895564353531904,2019-05-18 23:44:29,
1088851155080245248,2019-01-25 17:28:39,rt crypto banking we partnered with a leading swiss online bank to enable bitcoin account funding for thei
1067200073056976896,2018-11-26 23:34:59,rt given the transparencyregulation of the futures markets futures price in a oneday physically settled bitcoin contract will se
1067077902011785217,2018-11-26 15:29:31,with these extended black friday sales on bitcoin kids are getting nothing but stockings full of btc this year
1057107085870096384,2018-10-30 03:09:04,you would make a good bitcoiner
1056013204659167233,2018-10-27 02:42:22,amazing collaboration on wbtc will enable decentralized exchanges and is onchain auditable
1040444090326892545,2018-09-14 03:36:16,rt qualified custodian bitgo trust company launches today read the story by race to solve bitcoins secur
989573803045896193,2018-04-26 18:35:54,rt today bitcoins supply passed btc that is of total btc good day to learn on how bitcoins s
954999349150298112,2018-01-21 08:49:22,huge bitcoin block
942258302972452864,2017-12-17 05:01:00,rt breaking td ameritrade to allow bitcoin futures trading monday
937765078891339776,2017-12-04 19:26:32,rt one two three bitcoincash bch trading starts tomorrow tuesday at am utc get ready to trade
933799478133374977,2017-11-23 20:48:39,rt i have never been so popular amongst my parents friends as this thanksgiving howdoibuybitcoin
925377933547511808,2017-10-31 15:04:26,rt cme plans to launch bitcoin futures by yearend
905998359873323008,2017-09-08 03:36:56,it is a fact that of blocks in that period signaled for segwitx no lies verify it yourself
899492474086768640,2017-08-21 04:44:52,sigh cant produce a quote because he made it up i dont have time for him
896259742514823168,2017-08-12 06:39:08,i agree lets prevent centralization that is why segwitx takes great care to not impact bitcoins decentralized properties
888245750039183360,2017-07-21 03:54:24,rt of blocks mined today supported bitcoin segwitx intention
886978242850074624,2017-07-17 15:57:47,hey matt you could help miners with a segwitx patch into core or a patch into btc
881942678522417153,2017-07-03 18:28:14,i believe the bitcoin community can become stronger if we use real names on twitter
878273173845794816,2017-06-23 15:26:56,actually in bitcoin it technically does
877188113163878401,2017-06-20 15:35:18,rt my thoughts on segwitx bitcoin
856639218008768512,2017-04-24 22:41:19,rt uks royal mint the blockchain and gold a look ahead bitcoin blockchain fintech
854061890602807296,2017-04-17 19:59:57,although bitcoin is not an autoupdate issue we can and should strive for far b
835568890671292417,2017-02-25 19:15:22,rt remove control of money from government and you may find both to be much improved bitcoin
834790255689478144,2017-02-23 15:41:21,rt bitcoin is only few dollars shy from all time high
831633771573211136,2017-02-14 22:38:36,pls help irs says bitcoin is an asset to tax fincen says its money cftc says its a commodity can we get one regulator
829767253797187585,2017-02-09 19:01:44,well said mr obvious not all payments just of them
829544668719304705,2017-02-09 04:17:15,it is possible that bitcoin never gets segwit larger blocks or capacity increases high fees would eliminate onchain payment processors
826294281740496898,2017-01-31 05:01:23,will be talking tomorrow at the bitcoin meetup in sj hope to see you all there
810277659854905344,2016-12-18 00:17:02,relative to the global economy yes nobody uses bitcoin
807667318012510208,2016-12-10 19:24:29,rt zebpay gains new users in the past one month in india
803954779873361920,2016-11-30 13:32:10,thx chris we welcome scrutiny of our products if you find issues let me know
801747204146921472,2016-11-24 11:20:03,this is why not to use reddit
800284286171516928,2016-11-20 10:26:57,no figures cant lie but liars can figure that is the real underlying problem
792402684057755648,2016-10-29 16:28:16,were all glad segwit is on the way finally moving on lets get the blocksize increase going now
