id,created_at,text
1344466202333163520,2020-12-31 02:11:36,sats vs bits ah im at bits level right now youre at full hyperbitcoinization
1338887024934260737,2020-12-15 16:41:56,rt every time i buy more bitcoin i feel a little relieved grateful for all the hours of work and effort that has made it po
1337080086558859264,2020-12-10 17:01:49,contracts in clarity have visibility into bitcoin state so a bitcoin transaction can
1333765619779452929,2020-12-01 13:31:18,bits is a simpler unit for bitcoins bit is satoshis m bits in a bitcoinpeople will learn to think of sa
1330867535256948737,2020-11-23 13:35:21,buying bitcoins is easy holding on to them for a decade is the hard part
1324515923055808513,2020-11-06 00:56:19,i remember when id only buy bitcoin when itd dip below three digits felt just too expensive at the timei
1321477250781503493,2020-10-28 15:41:43,a map of miners the map itself is hosted on runkod decentralized web publishingbuilt on stacks and bitcoin
1318597001412489216,2020-10-20 16:56:38,rt as i like to say bitcoin is the millennial retirement account
1309665841940770817,2020-09-26 01:27:23,yes we are open positions
1309658572276596736,2020-09-26 00:58:30,its a transfer not a burn to the stx holders whore actively participating in consensusthe trans
1306223030713147392,2020-09-16 13:26:53,rt new with his newly launched startup freehold is paying nocoiners to learn about bitcoin will it be eno
1293204964714729472,2020-08-11 15:17:44,bitcoin rush noun a situation where multiple parties discover that bitcoin is the best hedge against fiat inflat
1287929626891898885,2020-07-28 01:55:26,people think that bitcoiners got lucky luck merely favors the prepared mind
1283413777048903681,2020-07-15 14:51:03,irs did you acquire bitcoin in me not enough to match the money printer thanks for the free marketing
1225176086008532992,2020-02-05 21:55:16,rt today were one step closer to bringing bitcoin to a billion peoplelightning is making this a reality cant believe
1217877762091995136,2020-01-16 18:34:20,rt you can accept that bitcoin is the currency that won the proofofwork wars and anchor on top of it
1176094173931495424,2019-09-23 11:21:16,rt electricity the internet and then the internet of money on btc cryptocurrency
1169689118449778688,2019-09-05 19:09:52,very interesting chart
1152228086408187904,2019-07-19 14:45:57,more miners on the stacks blockchain make bitcoins more scarcemechanisms to anchor sec
1150245207008600065,2019-07-14 03:26:42,there was a time when only computer geeks talked about bitcoin
1149073081153052672,2019-07-10 21:49:05,rt sec clears blockstack to hold first regulated token offering via crypto bitcoin
1093117827500949506,2019-02-06 12:02:53,rt phew takes the lightning torch sends it to me tweets a bunch about bitcoin agrees to do a podcast on the spot wit
1092097700722606080,2019-02-03 16:29:16,rt i like bitcoins relative platform stability and security i like lightnings work on fast cheap txs i like blocks
1066729031725400064,2018-11-25 16:23:14,as journalists are writing bitcoins th obituary a country of m people is beginning to learn about crypto
997296000736878593,2018-05-18 02:01:10,humans do work and get paid computer do work and get paid in bitcoins its their currency
938801207941967872,2017-12-07 16:03:44,rt stop looking at the bitcoin price chart its a technology adoption curve in log scale bitcoin
