id,created_at,text
1340121913318764544,2020-12-19 02:28:57,rt i got the bitcoin epiphany amp tripped on a gaping rabbit hole on july all thanks to
1252197513139859456,2020-04-20 11:28:46,thats what id thought why are there hotspots but even these ifrs indicate some room for that ie
1252153873730383873,2020-04-20 08:35:22,there was another source about how even after the immunity window reinfections tend to be milder
1252153652803850240,2020-04-20 08:34:29,its not quite permanent seems years its a tight window but reachable by vaccines
1252150018514931714,2020-04-20 08:20:02,from what ive read this virus has an error correcting mechanism and is this much more stable th
1246838104255684610,2020-04-05 16:32:23,mass gatherings
1246834430095683586,2020-04-05 16:17:47,yeah etc
1244794008083165184,2020-03-31 01:09:53,we have too much uncontrolled community spread in urban areas for that to work we also dont have eno
1244791589429325825,2020-03-31 01:00:16,i agree with regional lockdowns until the virus is eliminated locally and then strict borders and test
1238181716528730113,2020-03-12 19:15:00,see this thread could be touch only but there is as yet no indication for the exact transmission vector
1221721199798996992,2020-01-27 09:06:47,or to corporations that want social credit
1221646689548636160,2020-01-27 04:10:42,
1214810750616629248,2020-01-08 07:27:07,same thing but horizontal instead of vertical and evening instead of morning
