id,created_at,text
1342932661250248704,2020-12-26 20:37:51,bitcoin just passed
1339540204709928960,2020-12-17 11:57:26,today is exactly years since bitcoin ath of record that remained unbroken for days bitcoin
1339207890209566720,2020-12-16 13:56:56,rt bitcoin
1339199206771318785,2020-12-16 13:22:26,yes and buy bitcoin
1339164777650790401,2020-12-16 11:05:38,very accurate depiction of bitcoin market at the moment
1334578442264834048,2020-12-03 19:21:10,rt billionaire hedge fund manager paul tudor jones on bitcoin im going to assume that its the wrong price for the possib
1328988979543367680,2020-11-18 09:10:38,bitcoin will surpass ath of dec by
1328278430434127878,2020-11-16 10:07:10,citibank bitcoin is bull bull bull when dance video
1324417686814760963,2020-11-05 18:25:57,us government siezed bitcoin and alts from subsequent forks from individual x who stole it from silk
1324331046184329223,2020-11-05 12:41:40,question for ct is bitcoin in fomo zone yet
1322768313026596864,2020-11-01 05:11:56,rt october close highest red dot to date bitcoin stock to flow on track
1321446312206880774,2020-10-28 13:38:46,pretty impressive but i dont think it is ever a good idea to publicly reveal your bitcoin holdin
1320722376091410432,2020-10-26 13:42:06,well even if you bought bitcoin at day ma alltimehigh june you still bought at k usd pretty good imo
1320371904658767874,2020-10-25 14:29:28,guess im hloding bitcoin from now on
1318949842203312128,2020-10-21 16:18:41,bitcoin
1318923656454656006,2020-10-21 14:34:38,microstrategy inc nasdaq mstr is up today after bitcoin moves microstrategy holds btc
1318921241206640640,2020-10-21 14:25:02,bitcoin hits yearly high
1318900091466428418,2020-10-21 13:01:00,boom paypal is allowing customers to buy sell and hold bitcoin and other virtual coins using the us digital pay
1316054850833190912,2020-10-13 16:35:02,rt exclusive billion asset manager stone ridge reveals million bitcoin position as part of a larger plan
1314215625808437256,2020-10-08 14:46:36,another publicly traded firm invests in bitcoin sq
1259919616253612032,2020-05-11 18:53:39,blocks till halving bitcoin
1259826620518596614,2020-05-11 12:44:07,will bitcoin trade above k usd before halving
1257779138154369025,2020-05-05 21:08:09,rt bitcoin could hit in aug based on the change in the stocktoflow ratio across each halvingmore details
1257579156252045312,2020-05-05 07:53:30,one week left till bitcoin halving history in the making
1256480348856344578,2020-05-02 07:07:14,rt the halvening is coming with only out until a major bitcoin supply cut breaks down why there could be
1255442512447262725,2020-04-29 10:23:14,bitcoin is back at levels before black thursday days of recoveryit also surpassed day moving average what is next
1252239163392430081,2020-04-20 14:14:16,three more mondays until bitcoin halving
1246337395575881734,2020-04-04 07:22:45,liquidity infrastructure and market integrity are the reasons that make the definitive bitcoin trading v
1239457555799248897,2020-03-16 07:44:43,financial crisis is one of reasons why bitcoin exists todaywhat disrupting technology can we expect from crisis
1234903659164639237,2020-03-03 18:09:10,rt psa bitcoin doesnt sleep weve added dark mode and support for bech bitcoin transactions to our app
1215660751538597903,2020-01-10 15:44:43,and years later it is still running bitcoin
1211965052141617153,2019-12-31 10:59:20,will bitcoin outperform gold in
1187908256166858753,2019-10-26 01:46:13,bitcoin melt up
1181877735431516160,2019-10-09 10:23:05,on this day years ago we had a bitcoin meetup in slovenia good old days
1179022760846209024,2019-10-01 13:18:26,rt did you know that it will take years to mine the last bitcoin from block to expected between ye
1148500946978332672,2019-07-09 07:55:38,that works
1148493874886774784,2019-07-09 07:27:32,how does august work for you
1121807783173734400,2019-04-26 16:06:32,rt follow the line lightning network incoming liquidity bitcoin ln
1109727952848203776,2019-03-24 08:05:36,really glad to see taking a deep dive into the bitcoin trade volumes and exposing the discrepancies
1088800164666638336,2019-01-25 14:06:02,rt crypto banking we partnered with a leading swiss online bank to enable bitcoin account funding for thei
1080744977767022592,2019-01-03 08:37:36,years ago today an anonymous cryptographer made historythank you satoshi bitcoin
1076746278078435329,2018-12-23 07:48:12,thank you sir
1075091164414574592,2018-12-18 18:11:22,rt cryptomyths its been exactly five years since the original hodl post on bitcointalk is it still considered a typo today
1067041847183331328,2018-11-26 13:06:15,so this just arrived today thanks bitcoin lightningnetwork
988342040953065472,2018-04-23 09:01:19,rt in suggested that big funds could do worse than drop a million into bitcoin we didnt we
968211582634332160,2018-02-26 19:50:04,being a bitcoiner is to own one bitcoin satoshi or more it may sound silly now but in years it may not
966804900469530624,2018-02-22 22:40:25,rt smooth running almost no unconfirmed bitcoin transaction in the mempool were happy to contribute to faster network opera
954096155666931713,2018-01-18 21:00:24,rt could bitcoin offer a viable alternative to traditional currencies join in our third ecbyouthdialogue and tell us what you thin
950726867727929344,2018-01-09 13:52:03,jamie dimon i regret calling bitcoin a fraud
941940078691090432,2017-12-16 07:56:29,rt breaking td ameritrade to allow bitcoin futures trading monday
939591481391763457,2017-12-09 20:24:00,bulgarian government is sitting on an approximate billion worth of bitcoins bitcoins seized in an anti
937696478360940544,2017-12-04 14:53:56,cboe futures exchange llc cfe plans to launch trading in cboe bitcoin futures at pm central time on decem
912298059366887425,2017-09-25 12:49:41,rt the technology behind bitcoin could transform how the economy works
910789689585684480,2017-09-21 08:55:58,rt then they fight youchina bitcoin
902528147081617410,2017-08-29 13:47:33,bitcoin just reached new all time high at
894839074841866240,2017-08-08 08:33:55,today is exciting day for bitcoin segwit is about to be lockedin great achievement for the industry
890638464299008001,2017-07-27 18:22:11,rt important notice read all about s position and measures in a potential bitcoin hard fork scenario
871636675054751744,2017-06-05 07:55:52,rt hey the bitcoin network is about to beat slovenia power consumption
867358978585620481,2017-05-24 12:37:49,those who purchased bitcoins at the peak in november can sell them today with profit
866617476800540672,2017-05-22 11:31:22,rt bitcoin pizza day although the price has changed nothing beats the taste of a good pizza enjoy amp trade bitcoin
865651743832498180,2017-05-19 19:33:53,rt growing since st fully licensed bitcoin exchange in the eu and expansion of trading portfolio with more currencies to come
864863848695832576,2017-05-17 15:23:04,rt to be continued bitcoin was in need of a specialized online exchange and one thing led to another followtheline
864752310811066369,2017-05-17 07:59:51,one billion dollars worth of bitcoins amp half billion dollars worth of ripples exchanged in past hours bitcoin
862643410255196162,2017-05-11 12:19:50,rt us market debit and credit card bitcoin purchases now available in the us simple trading
850074571046834176,2017-04-06 19:55:46,rt as simple as that joins forces with to enable simple bitcoin purchases by credit card
834850999709884420,2017-02-23 19:42:43,worth mentioning that bitcoin market cap today is bn compared to bn november that is over increase
834836005324804100,2017-02-23 18:43:08,aaaand bitcoin passed the all time high
834745566244532224,2017-02-23 12:43:46,bitcoin is only few dollars shy from all time high
832232073553395712,2017-02-16 14:16:03,we are considering others yes
832231995602305024,2017-02-16 14:15:44,i know you were just wanted to make it clear for others
832226392607748096,2017-02-16 13:53:28,onecoin never
829688184648978434,2017-02-09 13:47:32,rt bitstamp launches fix api bringing bitcoin closer to institutional traders more info here tradin
