id,created_at,text
1233407170307166208,2020-02-28 15:02:39,rt no filing will meet the evershifting standards that this commission insists on applying to bitcoinrelated produc
1215309107353141250,2020-01-09 16:27:25,nice article on bitcoins upcoming taprootschnorr upgrade wcommentary from
1201668361551253509,2019-12-03 01:03:57,s spencer bogart talking bitcoin and and
1190067529927950336,2019-11-01 00:46:24,nice piece on funding bitcoin development from s and s and others
1132871740021923840,2019-05-27 04:50:45,ive heard the question wont quantum computing ruin bitcoin many times over the last six years m
1126643985542336512,2019-05-10 00:23:52,rt the video of s call to ban bitcoin is the best advertisement for the digital asset ive seen in quite some tim
1055869206841896960,2018-10-26 17:10:10,rt in the justreleased episode of the crux of crypto of talks about life as a bitcoin pm and
1040337061700526080,2018-09-13 20:30:58,congrats to is both an investor and a customer companies race to solve bitcoins securi
1022513731329122304,2018-07-26 16:07:25,thanks for organizing a great dinner btc and are both rare
1022486970851680256,2018-07-26 14:21:05,rt as bitcoin gets its groove back this month sees the crypto headed back to highs
994253345043791872,2018-05-09 16:30:44,tech investor of im a warren buffett disciple but hes wrong about bitcoin
989515713726464001,2018-04-26 14:45:05,true but it shows institutional interest in bitcoin and crypto assets in general for physic
989513848779501568,2018-04-26 14:37:40,announces that bitcoin contracts traded yesterday m usd in notional value and accou
989161374113714176,2018-04-25 15:17:03,rt hey female developers want to build the future of bitcoin and cryptocurrency and i organized scholarships fo
988610218681511942,2018-04-24 02:46:58,congratulations john did you give a btc price target
976814678226518016,2018-03-22 13:35:42,i wonder if part of jamies m in compensation was a bashing bitcoin bonus
976526555575869442,2018-03-21 18:30:48,jack dorsey expects bitcoin to become the worlds single currency in about years
969385189142028288,2018-03-02 01:33:34,bitcoin has existed during a period of historically low interest rates globally with the raisi
963492575612030976,2018-02-13 19:18:25,the other side of the coin as bitcoin plunges and regulators circle some hear echoes of the dotcom collapse
959445638973833216,2018-02-02 15:17:20,rt when the bitcoin price goes down pundits say its a failure when price goes up they say its a bubble
956031688852869120,2018-01-24 05:11:31,today chairman clearly with bitcoin this is a speculative investment i dont call it currency and retail c
955117822966771712,2018-01-21 16:40:08,rt huge bitcoin block
954111753775759360,2018-01-18 22:02:23,shocker government sanctioned oligopoly ceo says we wont process transactions in bitcoin because its no
943120060507238401,2017-12-19 14:05:19,rt are you a prosumerpowr powrtoken btc blockchain greentech pp energytradingplatform solarpower renewables
938555546822512640,2017-12-06 23:47:34,avocado toast and bitcoin a match made in millennial heaven via
919939138027126784,2017-10-16 14:52:36,heres another reason why bitcoin could soon hit via
918901903458742272,2017-10-13 18:11:00,rt more dimon on bitcoin youll pay the price one day jpm
