id,created_at,text
1343279299902668803,2020-12-27 19:35:16,rt that bitcoin is not at its heart a ponzi scheme doesnt mean some of the entities pumping the price right now arent using it
1341808223146233857,2020-12-23 18:09:44,rt bitcoin optech newsletter yearinreview special is here summarizes developments in bitcoin during outli
1339989302277599232,2020-12-18 17:42:00,rt id be a billionaire now if i hadnt sold the bitcoins i mined on my laptop in way too early mostly be
1339299841554321408,2020-12-16 20:02:19,rt bitcoin optech newsletter is here describes two suggested improvements to ln static backups links to a propos
1338693385251643393,2020-12-15 03:52:29,december in the freenode irc channel haskellblah lt sipagt i suppose a bitcoin includes a uniq
1336728510463758336,2020-12-09 17:44:46,rt bitcoin optech newsletter is here describes proposed change to the bech address format for taproot mentions
1335786071871746049,2020-12-07 03:19:51,yeah see the bitcoindev discussion
1335432807393484800,2020-12-06 03:56:07,rt that makes btc days destroyed a measure of distance where each btcdd is worth billion trips to the moon
1332426390596030464,2020-11-27 20:49:41,rt a thread on how taproot improves bitcoin privacy
1331361710872018944,2020-11-24 22:19:02,
1329527198198296576,2020-11-19 20:49:20,i wrote an answer on bitcoin stackexchange adding instead of concatenating hashes in merkle trees
1328435427871604736,2020-11-16 20:31:01,done
1328434708485554176,2020-11-16 20:28:10,
1328432525560090624,2020-11-16 20:19:29,oh dont worry me personally i dont need tips im paid well and happy to continue
1328431892761178113,2020-11-16 20:16:58,tipping for work including reviewing on a specific pr isnt the same thing at all bu
1328430749045821440,2020-11-16 20:12:26,there used to be this site that distributed tips automatically to authors of commits th
1328430039461883906,2020-11-16 20:09:37,i read youi dont have much of an opinion on tipping except that i dont think its
1327190453523890176,2020-11-13 10:03:56,i think it has made its way into english
1321147490578518017,2020-10-27 17:51:22,rt slp amp of whats musig what does it mean for bitcoin multisig jonas and ti
1320898632934019072,2020-10-27 01:22:29,what if the original has a flemish accent already
1314118048689713153,2020-10-08 08:18:52,number of bitcoin nodes number of bitcoin nodes on awsvs
1309915036278693889,2020-09-26 17:57:36,in this context it is specifically referring to the software called bitcoin cor
1309912179471130625,2020-09-26 17:46:15,furthermore its an optimization so it was always available to any
1309911827300540421,2020-09-26 17:44:51,youre both wrong at the time hal was experimenting with it the
1307099564361551874,2020-09-18 23:29:55,rt business trendsetter or mcafeelevel nutball ceo with prior sec violations and a pliant board who bought bitcoin becau
1303818609341296642,2020-09-09 22:12:34,the bitcoin ideathe bitcoin protocolthe bitcoin networkthe bitcoin currencyjust my bitcoins
1303580127381434369,2020-09-09 06:24:56,the real joke is always in the comments
1303350799221751810,2020-09-08 15:13:40,rt not a coder but still want to contribute to bitcoin core there are languages available and only of those languages hav
1300967532673658880,2020-09-02 01:23:25,hell no
1299511074786476032,2020-08-29 00:55:58,inspired by this thread added a test to the taproot pr to make sure
1299426725877682177,2020-08-28 19:20:48,rt i am very very happy about the fundraiser in honor of halfinney to help find a cure for als here is the
1299196759336394752,2020-08-28 04:06:59,in electrum no idea
1299196034342481921,2020-08-28 04:04:07,in pwsh up to of should work but more than keys needs a differ
1299194298282303494,2020-08-28 03:57:13,oh absolutelyi thought you meant something like i have no idea if th
1299174213358514176,2020-08-28 02:37:24,why wouldnt it be practical
1298340164608040960,2020-08-25 19:23:11,sudo make bitcoin a sandwich
1296855320178827266,2020-08-21 17:02:57,rt my latest in the series about real people around the world who rely on bitcoin
1296115056623497216,2020-08-19 16:01:24,rt bitcoin optech newsletter is here describes possible update to bip schnorr signatures spec details bip tha
