id,created_at,text
1342559230868545536,2020-12-25 19:53:58,buying bitcoin because everyone else is buying bitcoin isnt a sound investment principle
1283690538257059846,2020-07-16 09:10:48,those who need cryptocurrency the most prefer bitcoin that works as cash bitcoincash
1259849614737518594,2020-05-11 14:15:29,ill be giving away more free bitcoincash today on the bitcoinhalving live stream using
1242796953479426048,2020-03-25 12:54:18,so many people that are angered by price gouging with facemasks eagerly want to price gouge with the sale of their bitcoin
1229118896558362624,2020-02-16 19:02:35,our stance on the recent bitcoin block reward diversion proposals
1199791459534290946,2019-11-27 20:45:49,pp electronic cash fans love building on bitcoincash because bitcoin stopped functioning as cash in
1190107079387648000,2019-11-01 03:23:33,happyhalloween is better when spending bitcoin cash at wallstreet bar in tokyo
1185993647252049921,2019-10-20 18:58:14,i had nothing to do with the creation of bitcoin i had nothing to do with the creation of bitcoincash
1178053921756962819,2019-09-28 21:08:36,the market is never done decidingmyspace bitcoin
1132381140201947136,2019-05-25 20:21:17,it is amazing how little the biggest proponents of lightningnetwork and bitcoin core actually understand about th
1110536760419733504,2019-03-26 13:39:31,if you dont like the message being put forth by then you dont like bitcoinbitcoincash
1050044375340740608,2018-10-10 15:24:22,the bitcoincash bchdevcon starts today in san francisco as part of sfblockchainweek bitcoin bch
1045715613505576961,2018-09-28 16:43:25,how and why bitcoin split into bitcoinbtc and bitcoinbch by everyone intere
1034588904878366720,2018-08-28 23:49:51,rt bitcoin jesus aka explains why bitcoincash is a better investment than bitcoin
1023275527606390784,2018-07-28 18:34:31,my speech about bitcoin hasnt changed since btc has changed and is no longer bitcoin
983372983912751104,2018-04-09 15:56:04,as an advisor for im happy to say that the axp token is now listed on adoption counts
982964459663646720,2018-04-08 12:52:44,so this is how free speech dieswith thunderous applause
976991788736036864,2018-03-23 01:19:28,the man who had the vision to go all in on bitcoin in is one of bitcoin cashs biggest supporters
960878230243815424,2018-02-06 14:09:57,special thanks to and for helping spread the good word about bitcoin bch
938137951518773248,2017-12-05 20:08:12,andreas is one of the most eloquent speakers on the topic of bitcoin but if he had invested even in bitcoin b
936686840790298624,2017-12-01 20:02:00,limiting bitcoins block size has limited bitcoins utility
911222055915229184,2017-09-22 13:34:02,bitcoins utility plus its scarcity ultimately determines the price if you damage bitcoins usefulness in commerce you damage its price
907964278363136001,2017-09-13 13:48:47,come meet all of us and more at the giant bitcoin conference in hk next week
892359899245535232,2017-08-01 12:22:33,tell two friends to tell two friends that rbitcoin is censored so they should subscribe to rbtc today
875748995120775168,2017-06-16 16:16:45,if every single bitcoin user switched to using today the zcash network would still have extra capacity
868327809080360960,2017-05-27 04:47:37,and have deliberately choked bitcoins growth by capping onchain scaling this is why
866351339021910016,2017-05-21 17:53:49,having everyone use bitcoin for payments would provide far more censorship resistance than keeping it small enough to run on a rasbry pi
865009747426131968,2017-05-18 01:02:49,rt best plan mb hard fork on bitcoin now test segwit on litecoin
864869561010593793,2017-05-17 15:45:46,the bitcoin network worked great for years without segwit segwit doesnt solve any of the problems bitcoin users are experiencing today
864151850584489984,2017-05-15 16:13:51,thanks to blockstreams intentional plan bitcoin fees are higher double spends are easier and confirmations take
863401443696427008,2017-05-13 14:32:00,blockstream is intentionally crippling how bitcoin has always worked in order to force users onto their solutions
862683910827847680,2017-05-11 15:00:46,the mb limit is reversing bitcoins network effect by pricing users out of the btc blockchain sending them to cen
862322130792308737,2017-05-10 15:03:11,the current core team dont understand the economic reasons bitcoin came to be used as money and they refuse to be guided by those who do
